SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,exchange
20MICRONS,EQ,41.5,41.5,36.7,40,40.2,41.75,245622,9839859.05,02-NOV-2016,1702,INE144J01027,nse
3IINFOTECH,EQ,6.6,6.6,6.35,6.45,6.45,6.65,3589860,23325955.95,02-NOV-2016,1168,INE748C01020,nse
3MINDIA,EQ,13224,13224,12970,13057.15,13008,13180.25,392,5126880.7,02-NOV-2016,272,INE470A01017,nse
8KMILES,EQ,780,785.55,766,768.85,766.25,784.85,24299,18819752.65,02-NOV-2016,1593,INE650K01021,nse
A2ZINFRA,EQ,47.95,49.7,47.25,47.65,47.35,49.05,2719496,131268407.2,02-NOV-2016,12272,INE619I01012,nse
AARTIDRUGS,EQ,652,668.65,647,654.75,650,671.9,18119,11930986.55,02-NOV-2016,1009,INE767A01016,nse
AARTIIND,EQ,740,758.9,726,735.25,740,746,16573,12225222.95,02-NOV-2016,1231,INE769A01020,nse
AARVEEDEN,EQ,101,102.35,96,97.85,99.5,103,52699,5252991.8,02-NOV-2016,640,INE273D01019,nse
ABAN,EQ,261,264.35,253,258.15,257.95,267.15,1314150,342452978.85,02-NOV-2016,16916,INE421A01028,nse
ABB,EQ,1090.1,1095,1071.05,1089.4,1090,1098.1,30288,32830547.45,02-NOV-2016,2502,INE117A01022,nse
ABBOTINDIA,EQ,4881.05,4905.5,4761.05,4790.75,4792,4928.05,1901,9171202,02-NOV-2016,339,INE358A01014,nse
ABFRL,EQ,162,162,157.05,159.05,159.5,162.65,350279,55582197.7,02-NOV-2016,4818,INE647O01011,nse
ABGSHIP,EQ,34.65,34.65,32.65,33.3,33.3,34.85,348078,11742585.75,02-NOV-2016,1659,INE067H01016,nse
ABIRLANUVO,EQ,1379.7,1382.75,1342.9,1351.1,1360,1385.4,301393,409613501.5,02-NOV-2016,9193,INE069A01017,nse
ACC,EQ,1483,1512,1483,1488.15,1490,1503.85,192484,288130918.7,02-NOV-2016,13314,INE012A01025,nse
ACCELYA,EQ,1423.95,1423.95,1398,1410.2,1405,1423.95,1891,2665658.85,02-NOV-2016,436,INE793A01012,nse
ACE,EQ,57.1,59.7,55,55.65,55.35,56.2,5307515,305270248.8,02-NOV-2016,25192,INE731H01025,nse
ADANIENT,EQ,66.2,66.2,64.55,64.75,64.7,66.75,3024115,197228248.3,02-NOV-2016,9974,INE423A01024,nse
ADANIPORTS,EQ,300,304.15,297.15,299.9,301.5,305.15,4954922,1489748756.25,02-NOV-2016,77800,INE742F01042,nse
ADANIPOWER,EQ,26.9,26.95,26.45,26.55,26.55,27.15,4950453,132032891.9,02-NOV-2016,7773,INE814H01011,nse
ADANITRANS,EQ,46,46.6,44.8,45.3,45.2,46.8,878762,40103302.5,02-NOV-2016,6135,INE931S01010,nse
ADFFOODS,EQ,180,182.8,173.95,175.1,174.55,183.45,176350,31398649.25,02-NOV-2016,3565,INE982B01019,nse
ADHUNIK,EQ,8.1,8.35,7.9,7.95,7.9,8.25,78859,635959.05,02-NOV-2016,626,INE400H01019,nse
ADHUNIKIND,EQ,105.25,113,105.25,111.5,111.5,112,87687,9787932.15,02-NOV-2016,96,INE452L01012,nse
ADI,EQ,502.2,518.75,488.85,509.35,512.25,511.85,6939,3477785.75,02-NOV-2016,447,INE959A01019,nse
ADLABS,EQ,101.35,102.75,100.05,100.6,100.6,103.65,233967,23645656.1,02-NOV-2016,2619,INE172N01012,nse
ADORWELD,EQ,308.1,312.8,303,307.8,310.05,310.5,6501,1990948.3,02-NOV-2016,351,INE045A01017,nse
ADSL,EQ,31.6,34.5,31.35,33.05,33.3,32.1,397721,13317030.6,02-NOV-2016,2639,INE102I01027,nse
ADVANIHOTR,EQ,59.95,66.2,55.05,58.6,58.75,58.8,222244,13618855.4,02-NOV-2016,3084,INE199C01026,nse
ADVENZYMES,EQ,2170,2190,2050.25,2101.05,2117,2203.85,277223,591236409.05,02-NOV-2016,20222,INE837H01012,nse
AEGISCHEM,EQ,156.05,157.4,151.8,154.25,154.05,157.95,272911,42059981,02-NOV-2016,2528,INE208C01025,nse
AFL,EQ,69,72,67.1,69.6,69.2,69.2,136459,9586717.7,02-NOV-2016,1124,INE020G01017,nse
AGARIND,EQ,323.9,336,316.3,327,326.45,322.6,29489,9706410.25,02-NOV-2016,1362,INE204E01012,nse
AGCNET,EQ,88,90,85.75,86.75,87,89.1,17670,1549509.9,02-NOV-2016,257,INE676A01019,nse
AGRITECH,EQ,39,40.2,38.05,39.1,39.1,40.05,6746,265105.9,02-NOV-2016,72,INE449G01018,nse
AGRODUTCH,BZ,2.1,2.15,2.1,2.15,2.15,2.05,2250,4835,02-NOV-2016,3,INE135B01014,nse
AHLEAST,EQ,215.6,221.4,215.6,218.55,218.55,218,436,95104.55,02-NOV-2016,22,INE926K01017,nse
AHLUCONT,EQ,293.85,293.9,287.05,290.75,293,290.5,4124,1198700.45,02-NOV-2016,129,INE758C01029,nse
AHLWEST,EQ,223.95,223.95,210.25,220.35,222,215.55,457,98918,02-NOV-2016,26,INE915K01010,nse
AIAENG,EQ,1290,1305,1269.85,1291.65,1281.9,1293.7,17174,22070209.25,02-NOV-2016,2712,INE212H01026,nse
AIFL,EQ,427,439.7,425,429.95,426.5,433.4,35691,15415875.15,02-NOV-2016,482,INE428O01016,nse
AJANTPHARM,EQ,1997.85,1997.9,1935.5,1957.85,1961.15,1998.95,150186,294890916.55,02-NOV-2016,11546,INE031B01049,nse
AJMERA,EQ,155.25,155.75,151.15,153.05,152.55,158,27178,4177371.1,02-NOV-2016,663,INE298G01027,nse
AKSHOPTFBR,EQ,28.95,29.4,28.3,28.5,28.5,29.9,7735234,222854024.45,02-NOV-2016,14382,INE523B01011,nse
AKZOINDIA,EQ,1635,1684.4,1613,1663.25,1666.95,1637.6,21423,35373931.9,02-NOV-2016,1643,INE133A01011,nse
ALANKIT,EQ,68.45,68.85,66,66.55,66.5,68.8,393493,26362949.6,02-NOV-2016,1466,INE914E01032,nse
ALBERTDAVD,EQ,372.6,383.9,371.05,375.15,375,387.2,5381,2020855.2,02-NOV-2016,269,INE155C01010,nse
ALBK,EQ,74.1,74.7,73.2,73.5,73.45,75.65,2683228,197609370.1,02-NOV-2016,8613,INE428A01015,nse
ALCHEM,EQ,26,26,24.6,25.3,25.1,26,12527,318452.8,02-NOV-2016,81,INE964B01033,nse
ALEMBICLTD,EQ,41.5,41.8,40.25,40.45,40.4,42,180316,7378187.5,02-NOV-2016,1211,INE426A01027,nse
ALICON,EQ,464.65,464.65,450,451.4,454.85,462.45,7831,3547940.05,02-NOV-2016,244,INE062D01024,nse
