SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,exchange
20MICRONS,EQ,35.5,36.6,34.3,36.3,36,34.8,64108,2297194.8,08-DEC-2016,331,INE144J01027,nse
3IINFOTECH,EQ,5.75,5.95,5.7,5.75,5.7,5.8,875187,5060308.65,08-DEC-2016,495,INE748C01020,nse
3MINDIA,EQ,11010,11254.5,10921.6,10992.85,11e3,11005.2,1108,12345395.6,08-DEC-2016,409,INE470A01017,nse
8KMILES,EQ,689.05,702.3,683.9,692.2,693,682.75,14279,9922781.95,08-DEC-2016,1492,INE650K01021,nse
A2ZINFRA,EQ,40.4,40.8,39.9,40.35,40.1,39.7,422961,17067262.95,08-DEC-2016,2743,INE619I01012,nse
AARTIDRUGS,EQ,645.1,654.5,645.1,653.2,654.5,650.35,4776,3113211.95,08-DEC-2016,317,INE767A01016,nse
AARTIIND,EQ,714.9,717.8,709,713.45,713,708.25,15169,10797500.95,08-DEC-2016,925,INE769A01020,nse
AARVEEDEN,EQ,82.15,87.5,82.1,85,84.4,82.45,12674,1081277.1,08-DEC-2016,203,INE273D01019,nse
ABAN,EQ,243.05,248.3,240.85,245.4,245.75,241.65,996228,243272822,08-DEC-2016,12557,INE421A01028,nse
ABB,EQ,1045,1059.7,1045,1052.1,1051,1042.75,12565,13199718.1,08-DEC-2016,3474,INE117A01022,nse
ABBOTINDIA,EQ,4780.05,4780.05,4716,4724.15,4716,4755.05,1682,7973944.8,08-DEC-2016,405,INE358A01014,nse
ABFRL,EQ,137.1,143.7,137.1,140.9,140.95,136.8,530024,74755873.5,08-DEC-2016,5951,INE647O01011,nse
ABGSHIP,EQ,32.1,33,31.75,32.35,31.85,31.55,533853,17323748.6,08-DEC-2016,2787,INE067H01016,nse
ABIRLANUVO,EQ,1269,1291,1265,1285.35,1287.85,1260.6,193146,246948017.9,08-DEC-2016,6127,INE069A01017,nse
ACC,EQ,1352.2,1371.4,1351,1358.65,1362,1350,189040,257470378,08-DEC-2016,17633,INE012A01025,nse
