SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,exchange
BODALCHEM,EQ,172.8,178.9,172.8,176.15,175,172.25,799196,140708178.9,04-SEP-2017,8297,INE338D01028,nse
BOMDYEING,EQ,122,134.8,118.3,134.8,134.8,122.55,23168784,2982319458.7,04-SEP-2017,95830,INE032A01023,nse
BOSCHLTD,EQ,22200,22530,22105,22468.75,22480,22167.95,14259,318647414.4,04-SEP-2017,5518,INE323A01026,nse
BPCL,EQ,537.4,546.1,527.5,531.15,529.85,537.4,4481134,2411503052.25,04-SEP-2017,64832,INE029A01011,nse
BPL,EQ,66.4,66.5,64.1,64.3,64.6,66.65,115259,7478496.75,04-SEP-2017,939,INE110A01019,nse
BRFL,EQ,135,136.5,132,132.7,132.5,134.15,17550,2348694.45,04-SEP-2017,325,INE589G01011,nse
BRIGADE,EQ,274,274,262.55,264.45,264,270.15,43647,11650992.75,04-SEP-2017,1945,INE791I01019,nse
BRITANNIA,EQ,4245,4259,4151,4219.65,4216.25,4243.95,114767,482535364.75,04-SEP-2017,14612,INE216A01022,nse
BROOKS,EQ,118.5,119.5,110.5,113,112.55,119.7,144496,16528450.55,04-SEP-2017,2141,INE650L01011,nse
BSE,EQ,978,984,969.05,973.95,974.6,976.9,138501,135084536.8,04-SEP-2017,4474,INE118H01025,nse
BSELINFRA,EQ,3.95,4.15,3.9,3.9,3.9,4,72009,290389.65,04-SEP-2017,95,INE395A01016,nse
BSL,EQ,65,66.4,63.75,65.75,66.4,65.7,9046,589050.15,04-SEP-2017,165,INE594B01012,nse
BSLGOLDETF,EQ,2839,2839,2782,2819,2819,2840,122,342278.1,04-SEP-2017,17,INF209K01HT2,nse
BSLIMITED,EQ,2.05,2.1,1.8,1.8,1.8,2,5216361,9742771.55,04-SEP-2017,1494,INE043K01029,nse
BSLNIFTY,EQ,104,104,103.55,103.55,103.55,104,50,5179.75,04-SEP-2017,3,INF209K01IR4,nse
BURNPUR,EQ,8.4,8.45,8.15,8.25,8.3,8.4,191998,1590221.8,04-SEP-2017,372,INE817H01014,nse
BUTTERFLY,EQ,172,174.9,165.45,167.9,169,171.75,7235,1211031.25,04-SEP-2017,263,INE295F01017,nse
BVCL,BE,28.4,29.95,28.4,29,29,29.2,1286,37557,04-SEP-2017,9,INE139I01011,nse
BYKE,EQ,187.95,188,184.1,185.2,185,186,23383,4361287.3,04-SEP-2017,399,INE319B01014,nse
CADILAHC,EQ,512.95,513,502.25,506.45,504,507.55,518926,263364382.05,04-SEP-2017,12575,INE010B01027,nse
CALSOFT,EQ,8.2,8.5,8.2,8.5,8.5,8.1,7609,64523.75,04-SEP-2017,9,INE526B01014,nse
CAMLINFINE,EQ,75.7,76.5,73.55,74.35,74.3,74.4,82231,6152909.45,04-SEP-2017,1289,INE052I01032,nse
CANBK,EQ,340.8,342.75,332.85,335.4,334.5,340.45,956283,322413489.05,04-SEP-2017,10123,INE476A01014,nse
CANDC,EQ,55,55,51.55,52.9,53.1,54.15,37603,1983039.15,04-SEP-2017,291,INE874H01015,nse
CANFINHOME,EQ,2850.1,2882.95,2801,2820.45,2811,2878.7,46953,133179101.3,04-SEP-2017,5209,INE477A01012,nse
CANTABIL,EQ,65.75,66.85,64.25,65.8,64.8,66.05,6212,406774.55,04-SEP-2017,70,INE068L01016,nse
CAPF,EQ,729.9,744,717.25,726.2,727.05,730.75,329160,240594075.4,04-SEP-2017,8296,INE688I01017,nse
CAPLIPOINT,EQ,645.1,664.8,645.05,648.05,646,651.5,57655,37617526.95,04-SEP-2017,2814,INE475E01026,nse
CAPTRUST,EQ,539.05,544.7,525,539.75,542,532.05,6805,3611710.05,04-SEP-2017,371,INE707C01018,nse
CARBORUNIV,EQ,349.9,350.95,341.1,342.8,343,349.35,48334,16640078.55,04-SEP-2017,1024,INE120A01034,nse
CAREERP,EQ,115,133.5,113,121.65,121.6,115.65,3452159,436214848.65,04-SEP-2017,23851,INE521J01018,nse
CARERATING,EQ,1510,1525,1480,1501.65,1508,1510,13146,19810434.95,04-SEP-2017,1652,INE752H01013,nse
CASTEXTECH,EQ,5.85,5.95,5.7,5.95,5.95,5.7,576619,3412836.7,04-SEP-2017,390,INE068D01021,nse
CASTROLIND,EQ,390.5,399.8,388.55,398.05,397.3,389.9,726048,285658266.55,04-SEP-2017,10146,INE172A01027,nse
CCCL,EQ,4.4,4.4,4,4.25,4.3,4.15,165718,675200.8,04-SEP-2017,100,INE429I01024,nse
CCHHL,EQ,13.3,13.3,13.05,13.2,13.3,13.05,49458,649541.3,04-SEP-2017,170,INE652F01027,nse
CCL,EQ,289.45,289.45,280.05,282.9,282.5,286.5,21999,6217620,04-SEP-2017,446,INE421D01022,nse
CDSL,EQ,337.5,338.2,327,331.05,331.5,338,1001248,333245317.15,04-SEP-2017,14751,INE736A01011,nse
CEATLTD,EQ,1725.5,1729,1680,1705.35,1700,1733.75,442985,755398211.7,04-SEP-2017,12586,INE482A01020,nse
CEBBCO,EQ,10.8,11.25,10.55,10.7,10.7,10.8,24420,264155.05,04-SEP-2017,104,INE209L01016,nse
CELEBRITY,BE,17.85,18.3,17.3,17.8,17.75,17.45,107369,1926450.75,04-SEP-2017,207,INE185H01016,nse
CELESTIAL,EQ,23.8,24.3,23.05,23.3,23.5,23.75,22971,540496.55,04-SEP-2017,122,INE221I01017,nse
CENTENKA,EQ,321.8,321.8,314.7,317.55,318,319.55,14736,4670692.7,04-SEP-2017,747,INE485A01015,nse
CENTEXT,EQ,4.45,4.75,4.45,4.55,4.6,4.7,93358,426695.3,04-SEP-2017,111,INE281A01026,nse
CENTRALBK,EQ,95.85,99.9,94,95.9,95.95,95.35,9638003,939621316.15,04-SEP-2017,28060,INE483A01010,nse
CENTUM,EQ,653,674.75,653,662.8,661.05,661.3,1910,1272059.2,04-SEP-2017,217,INE320B01020,nse
CENTURYPLY,EQ,251.95,252,247,249.5,248.5,251.95,274744,68656490.2,04-SEP-2017,3267,INE348B01021,nse
CENTURYTEX,EQ,1249.4,1265,1221,1243.3,1238.45,1246.85,575724,716856664.5,04-SEP-2017,14185,INE055A01016,nse
CERA,EQ,3e3,3e3,2880,2949.7,2970,2954.9,11408,33523644.55,04-SEP-2017,1133,INE739E01017,nse
CEREBRAINT,EQ,42.4,42.95,41.7,41.9,41.9,42.95,316192,13392576.75,04-SEP-2017,737,INE345B01019,nse
CESC,EQ,1042,1056.5,1023.65,1035.55,1037.95,1039.8,1518573,1581605607,04-SEP-2017,39182,INE486A01013,nse
CGCL,EQ,72.8,74,69.8,72.5,72.75,73.45,80765,5817001,04-SEP-2017,707,INE180C01026,nse
CGPOWER,EQ,81.4,81.9,80.25,81.05,81.15,81.8,1117656,90584187.15,04-SEP-2017,4005,INE067A01029,nse
CHAMBLFERT,EQ,145.6,150.7,142.45,149.7,149.6,145.05,1212553,178675584,04-SEP-2017,9800,INE085A01013,nse
CHENNPETRO,EQ,456.25,467,441.4,451.05,450,460.8,1059250,480044669.4,04-SEP-2017,14414,INE178A01016,nse
CHOLAFIN,EQ,1150.05,1159,1124.05,1135.15,1133.9,1150.05,103413,118161460.1,04-SEP-2017,7845,INE121A01016,nse
CHROMATIC,EQ,2.35,2.4,2.35,2.4,2.4,2.3,75089,179988.5,04-SEP-2017,42,INE662C01015,nse
CIGNITITEC,EQ,220.75,220.75,210,214.8,213.1,220.7,64211,13750306.95,04-SEP-2017,845,INE675C01017,nse
CIMMCO,EQ,85.7,91.4,85.5,87.85,89,83.55,335806,29579084.25,04-SEP-2017,3632,INE184C01028,nse
CINELINE,EQ,81.7,82.5,79.95,81.6,81.25,80,75756,6152055.6,04-SEP-2017,695,INE704H01022,nse
