SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,exchange
20MICRONS,EQ,32.5,32.8,32,32.25,32.35,32.4,18081,584973.15,25-APR-2016,115,INE144J01027,nse
3IINFOTECH,EQ,4.3,4.35,4.25,4.25,4.3,4.25,772675,3304799.4,25-APR-2016,302,INE748C01020,nse
3MINDIA,EQ,13151,13779.4,13151,13673.45,13605,13393.7,1051,14306451.85,25-APR-2016,467,INE470A01017,nse
549,MF,8,8,8,8,8,8,1,8,25-APR-2016,1,INF903J01O26,nse
8KMILES,EQ,1961,1981.05,1920,1942.7,1936,1943.15,15901,31035127.6,25-APR-2016,2420,INE650K01013,nse
A2ZINFRA,EQ,26.5,27.3,26.4,26.55,26.7,26.5,98606,2631633.35,25-APR-2016,546,INE619I01012,nse
AARTIDRUGS,EQ,465,476,465,472.05,471,472.4,9934,4696283.6,25-APR-2016,1056,INE767A01016,nse
AARTIIND,EQ,541.15,545,522.8,524.35,526.6,546.95,15470,8213617.85,25-APR-2016,1271,INE769A01020,nse
AARVEEDEN,EQ,53.1,54.5,52,53.4,53.2,54.75,6397,339239,25-APR-2016,115,INE273D01019,nse
ABAN,EQ,187,189.4,183.1,186.5,186.25,187.05,1018694,190308938.65,25-APR-2016,12624,INE421A01028,nse
ABB,EQ,1349.4,1379,1326.1,1345.6,1339,1337.35,288936,391632368.15,25-APR-2016,22992,INE117A01022,nse
ABBOTINDIA,EQ,4700,4750,4600,4692.2,4676,4644.1,2196,10320845.05,25-APR-2016,927,INE358A01014,nse
ABFRL,EQ,150.3,153.4,148.25,148.95,148.7,151.35,133405,20045848.9,25-APR-2016,3872,INE647O01011,nse
ABGSHIP,EQ,45.95,46.7,45.1,45.5,45.55,45.85,304302,13893642.55,25-APR-2016,2349,INE067H01016,nse
