SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,exchange
20MICRONS,EQ,35.5,35.5,34.65,35,34.8,35,14932,522415.15,16-DEC-2016,102,INE144J01027,nse
3IINFOTECH,EQ,5.65,5.8,5.65,5.65,5.65,5.75,687023,3929062.05,16-DEC-2016,384,INE748C01020,nse
3MINDIA,EQ,10615.5,10720,10561,10595.2,10571,10510.4,566,6018631.1,16-DEC-2016,279,INE470A01017,nse
8KMILES,EQ,691.9,693.95,675,683.45,687.95,683.8,22556,15487276.25,16-DEC-2016,1633,INE650K01021,nse
A2ZINFRA,EQ,42.6,43.8,41.75,42.6,42.7,42.1,1286922,55274178.65,16-DEC-2016,6713,INE619I01012,nse
AARTIDRUGS,EQ,659.95,660,645.5,655.15,655,656,4174,2729359.4,16-DEC-2016,319,INE767A01016,nse
AARTIIND,EQ,716.7,723.1,705,718.7,715.05,708.85,37807,27025801.95,16-DEC-2016,2740,INE769A01020,nse
AARVEEDEN,EQ,82.8,82.8,78.5,79.5,78.5,80.1,3528,281812.1,16-DEC-2016,59,INE273D01019,nse
ABAN,EQ,244.7,247.4,236.85,238.5,237.1,243.45,1122946,272948975.3,16-DEC-2016,16073,INE421A01028,nse
ABB,EQ,1050.55,1080,1043.25,1065.6,1062,1050.65,24233,25560097.85,16-DEC-2016,2071,INE117A01022,nse
ABBOTINDIA,EQ,4672,4748,4672,4699.7,4700,4692.05,1401,6581587.05,16-DEC-2016,271,INE358A01014,nse
ABFRL,EQ,138.5,140.8,138.15,139.05,139.1,139.45,128501,17907964.35,16-DEC-2016,2886,INE647O01011,nse
ABGSHIP,EQ,32.1,32.45,31.4,31.6,31.8,32.1,233827,7405057.95,16-DEC-2016,1591,INE067H01016,nse
ABIRLANUVO,EQ,1213.95,1214.45,1191,1195.35,1197,1210.45,136661,163914568.6,16-DEC-2016,10434,INE069A01017,nse
ACC,EQ,1316.8,1318.5,1283.05,1294.15,1295,1314.95,359428,466343226.85,16-DEC-2016,14792,INE012A01025,nse
