SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,exchange
20MICRONS,EQ,28.15,28.15,26.05,26.5,26.45,27.55,19357,519130.3,03-FEB-2016,144,INE144J01027,nse
3IINFOTECH,EQ,4.95,5.15,4.75,4.85,4.85,5,2545490,12489538.5,03-FEB-2016,1356,INE748C01020,nse
3MINDIA,EQ,9800,9884.95,9515,9826.6,9820,9881.25,470,4596649.15,03-FEB-2016,139,INE470A01017,nse
8KMILES,EQ,2107,2107,1961.1,2017,2035,2126,33334,67691730.65,03-FEB-2016,3853,INE650K01013,nse
A2ZINFRA,EQ,22.9,22.9,22.15,22.4,22.5,23.15,100383,2260168.65,03-FEB-2016,565,INE619I01012,nse
AARTIDRUGS,EQ,515.05,527,510.05,518.4,517,529.8,6699,3482461.3,03-FEB-2016,424,INE767A01016,nse
AARTIIND,EQ,477,477,460,461,460.15,480.6,29004,13557889.9,03-FEB-2016,2635,INE769A01020,nse
AARVEEDEN,EQ,65,65.8,59.2,59.55,59.25,65.25,7745,476611.45,03-FEB-2016,240,INE273D01019,nse
ABAN,EQ,176,176.8,170.25,173.65,173.9,179.9,646732,112033614.15,03-FEB-2016,10221,INE421A01028,nse
ABB,EQ,1e3,1038.6,995,1005.9,1008.95,1014.6,45024,45712776.5,03-FEB-2016,5436,INE117A01022,nse
ABBOTINDIA,EQ,5099.95,5120,5e3,5023,5025,5091.75,989,4976904,03-FEB-2016,312,INE358A01014,nse
ABFRL,EQ,216.05,217.85,206.1,209.1,206.1,219.8,57615,12214086.9,03-FEB-2016,4591,INE647O01011,nse
ABGSHIP,EQ,56.45,56.45,54,54.25,54.5,57,119201,6505381.8,03-FEB-2016,1227,INE067H01016,nse
ABIRLANUVO,EQ,867,867,822.05,828.8,825.05,870.05,726120,606487786.05,03-FEB-2016,30199,INE069A01017,nse
ACC,EQ,1244,1279,1241.45,1248.95,1251,1261.35,191044,240899602.05,03-FEB-2016,12021,INE012A01025,nse
ACCELYA,EQ,905,948,898,915.05,912,905.05,3585,3274263.1,03-FEB-2016,329,INE793A01012,nse
ACE,EQ,39.4,40.5,38,38.8,38.75,39.5,55022,2140656.5,03-FEB-2016,367,INE731H01025,nse
ACROPETAL,EQ,3.2,3.35,3.1,3.15,3.1,3.2,14988,47978.2,03-FEB-2016,30,INE055L01013,nse
ADANIENT,EQ,74.15,74.5,71.2,71.95,72.3,72.05,4952349,360273962.35,03-FEB-2016,23799,INE423A01024,nse
ADANIPORTS,EQ,212,214.5,208,210.2,210.4,213.25,3026403,638482182.55,03-FEB-2016,36493,INE742F01042,nse
ADANIPOWER,EQ,27,27,25.7,26.05,26.1,27.25,5802061,152080120.6,03-FEB-2016,10377,INE814H01011,nse
ADANITRANS,EQ,33.2,33.8,31.2,32.45,32.65,34.3,1285355,41997543.55,03-FEB-2016,4903,INE931S01010,nse
ADFFOODS,EQ,87,87.85,85.1,86.2,85.55,88.45,15475,1335414.25,03-FEB-2016,262,INE982B01019,nse
ADHUNIK,EQ,12.7,12.8,12.15,12.25,12.25,12.7,21518,266696.4,03-FEB-2016,134,INE400H01019,nse
ADI,EQ,221.05,239.9,220,234.4,231.15,224.3,5150,1192619.1,03-FEB-2016,274,INE959A01019,nse
ADLABS,EQ,109.7,109.7,105.05,105.65,105.5,110.7,62230,6664582.15,03-FEB-2016,1690,INE172N01012,nse
ADORWELD,EQ,265,265,251,252.4,254.6,262.4,4696,1211116.85,03-FEB-2016,243,INE045A01017,nse
ADSL,EQ,44.35,45.25,43.2,43.65,43.85,46.2,176874,7777075.6,03-FEB-2016,1142,INE102I01027,nse
