SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,exchange
20MICRONS,EQ,27.25,27.8,26.95,27.55,27.8,26.75,54044,1488006.6,25-JAN-2016,154,INE144J01027,nse
3IINFOTECH,EQ,4.65,4.9,4.6,4.65,4.65,4.6,1259046,5933601.5,25-JAN-2016,859,INE748C01020,nse
3MINDIA,EQ,10066.95,10068,9630,9643.4,9674,9925.5,1090,10657021.65,25-JAN-2016,299,INE470A01017,nse
8KMILES,EQ,2094,2153,2080.05,2097.7,2095,2073.05,32614,69199169.05,25-JAN-2016,3288,INE650K01013,nse
A2ZINFRA,EQ,24.15,24.2,22.5,22.7,22.6,23.05,250621,5802426.65,25-JAN-2016,1293,INE619I01012,nse
AARTIDRUGS,EQ,505,539,505,527.5,529.95,502.15,14550,7683660.85,25-JAN-2016,1194,INE767A01016,nse
AARTIIND,EQ,481.9,488,477.8,484.5,484.6,474.9,11601,5596495.55,25-JAN-2016,816,INE769A01020,nse
AARVEEDEN,EQ,53.25,53.25,51.05,51.75,51.05,52.05,2768,144065.7,25-JAN-2016,39,INE273D01019,nse
ABAN,EQ,188.6,191.4,184.7,186.85,187.9,184.65,838651,157556270,25-JAN-2016,12809,INE421A01028,nse
ABB,EQ,980,993.9,965,981.05,980,968.2,41164,40204066.35,25-JAN-2016,3458,INE117A01022,nse
ABBOTINDIA,EQ,5245,5245,4830,4863.85,4857.95,5063.95,5902,29357979.3,25-JAN-2016,2108,INE358A01014,nse
ABGSHIP,EQ,60,60.1,58.55,58.75,58.85,58.95,90606,5378070.45,25-JAN-2016,997,INE067H01016,nse
ABIRLANUVO,EQ,903,905,868.5,878.35,877.15,891.25,614367,543324759.15,25-JAN-2016,20849,INE069A01017,nse
ACC,EQ,1250,1263.5,1241.05,1245,1244.8,1241,124527,155909698.5,25-JAN-2016,9770,INE012A01025,nse
ACCELYA,EQ,852.05,874.95,852,870.1,874.95,852,742,640831.6,25-JAN-2016,127,INE793A01012,nse
ACE,EQ,39.3,40.7,39.05,39.55,39.85,38.8,79011,3148656.65,25-JAN-2016,460,INE731H01025,nse
ACROPETAL,EQ,3.15,3.4,3.15,3.4,3.4,3.15,48608,162822.1,25-JAN-2016,45,INE055L01013,nse
ADANIENT,EQ,74.45,75.4,72.7,74.1,74.55,73.75,2017645,149750920.55,25-JAN-2016,8525,INE423A01024,nse
ADANIPORTS,EQ,223,225.8,217.75,218.4,218.05,221.75,1804218,400854057.35,25-JAN-2016,26134,INE742F01042,nse
ADANIPOWER,EQ,28.25,28.6,27.55,28.2,28.2,27.75,5520084,156185065.55,25-JAN-2016,8825,INE814H01011,nse
ADANITRANS,EQ,33.6,34.35,33.3,33.75,33.7,33,600136,20349465.1,25-JAN-2016,1688,INE931S01010,nse
ADFFOODS,EQ,89,89.9,86.55,88.8,89.2,87.75,21854,1931571.2,25-JAN-2016,544,INE982B01019,nse
ADHUNIK,EQ,13,13.35,13,13.15,13.2,12.9,25516,335683.7,25-JAN-2016,117,INE400H01019,nse
ADI,EQ,215,233,215,224.65,225,219.9,13067,2955197.35,25-JAN-2016,385,INE959A01019,nse
ADLABS,EQ,110.05,113.1,107.3,108.1,108,109.45,108638,11961293.65,25-JAN-2016,1531,INE172N01012,nse
ADORWELD,EQ,274.1,279,271.05,272.9,272.5,274.15,1768,484604.55,25-JAN-2016,129,INE045A01017,nse
ADSL,EQ,44.95,46.75,44.2,45.1,44.9,43.8,217549,9912708.65,25-JAN-2016,1277,INE102I01027,nse
ADVANIHOTR,EQ,45,49,45,48.95,48.95,45.8,457,21325.95,25-JAN-2016,9,INE199C01026,nse
ADVANTA,EQ,407.05,411.1,401.1,408.9,407,405.2,7527,3057937,25-JAN-2016,539,INE517H01028,nse
AEGISCHEM,EQ,93.55,95.8,91.85,92.2,91.9,93.55,71989,6747603.7,25-JAN-2016,1003,INE208C01025,nse
AFL,EQ,74.9,74.9,71.3,72.4,72.95,72.85,5557,402243.5,25-JAN-2016,175,INE020G01017,nse
AGARIND,EQ,151,154.85,146.95,147.4,147,150.15,24108,3632508.95,25-JAN-2016,227,INE204E01012,nse
AGCNET,EQ,77.5,81.95,76,77.5,77.75,78.85,9070,705042.8,25-JAN-2016,170,INE676A01019,nse
AGRITECH,BE,10.4,10.4,10.05,10.15,10.15,10.4,580,5864,25-JAN-2016,5,INE449G01018,nse
AGRODUTCH,EQ,3.55,3.7,3.4,3.55,3.7,3.55,29633,103713.45,25-JAN-2016,44,INE135B01014,nse
AHLEAST,EQ,145,150,142.1,145,145,147.6,204,30577.1,25-JAN-2016,6,INE926K01017,nse
AHLUCONT,EQ,262.4,274.7,252.05,273.15,272,256.35,68882,18646569.35,25-JAN-2016,3972,INE758C01029,nse
AHLWEST,EQ,123,129.5,122.05,125.3,123,122,1905,238461.65,25-JAN-2016,10,INE915K01010,nse
AIAENG,EQ,810,816,802,805.3,803.5,800.5,10271,8303791.3,25-JAN-2016,794,INE212H01026,nse
AIFL,EQ,286.85,286.85,276.2,278.85,278,279.1,31319,8789203.9,25-JAN-2016,353,INE428O01016,nse
AIL,EQ,647.95,671,647.95,654.7,656,641.7,12513,8211621.6,25-JAN-2016,1065,INE878A01011,nse
AJANTPHARM,EQ,1211.9,1224.45,1208.7,1217.8,1219,1195.85,118426,144128719.2,25-JAN-2016,11258,INE031B01049,nse
AJMERA,EQ,142.65,147.75,142.65,144.4,144,139.3,87872,12807143.4,25-JAN-2016,1596,INE298G01027,nse
AKSHOPTFBR,EQ,15.05,15.5,15.05,15.25,15.3,14.85,859357,13181875.05,25-JAN-2016,1732,INE523B01011,nse
AKZOINDIA,EQ,1305,1344.95,1305,1325.85,1325.05,1300.2,4572,6062600.8,25-JAN-2016,416,INE133A01011,nse
ALANKIT,EQ,74.15,78.4,73.2,77.9,77.65,74.55,648856,49514002.9,25-JAN-2016,1396,INE914E01032,nse
ALBK,EQ,54.65,54.8,52.35,52.9,53.15,53.65,1731800,92535237.1,25-JAN-2016,6840,INE428A01015,nse
ALCHEM,EQ,24.7,25.7,24.3,24.75,25,24.95,5738,142578,25-JAN-2016,54,INE964B01033,nse
ALEMBICLTD,EQ,42.1,43.05,41.7,41.95,42.1,41.45,236426,10008799.65,25-JAN-2016,1427,INE426A01027,nse
ALICON,EQ,289.95,289.95,275.1,275.2,275.1,278.8,2153,603901.3,25-JAN-2016,81,INE062D01024,nse
ALKALI,EQ,53,54.1,51,51,51,53.65,7161,378275.35,25-JAN-2016,94,INE773I01017,nse
ALKEM,EQ,1373.8,1377.8,1350,1356.85,1357,1366.8,120355,163438705.25,25-JAN-2016,5653,INE540L01014,nse
ALKYLAMINE,EQ,335,344.6,327.1,336.75,333.45,331.8,4204,1412114.85,25-JAN-2016,249,INE150B01021,nse
ALLCARGO,EQ,181.9,184.9,176.6,180.35,181,180.8,101979,18466267.55,25-JAN-2016,6742,INE418H01029,nse
ALLSEC,EQ,101.25,107.5,98.25,98.3,98.25,103.4,27622,2775903.05,25-JAN-2016,427,INE835G01018,nse
ALMONDZ,EQ,11.65,11.65,10.65,10.75,10.65,11.4,17712,193992.75,25-JAN-2016,24,INE326B01027,nse
ALOKTEXT,EQ,5.3,5.3,5,5.15,5.1,5.2,9961902,51388808.85,25-JAN-2016,2567,INE270A01011,nse
ALPA,BE,59.8,60.1,59.5,60.1,60.1,57.25,38037,2282307.7,25-JAN-2016,161,INE385I01010,nse
ALPHAGEO,EQ,509,544.95,509,526.85,529.5,489.35,55218,29219037.75,25-JAN-2016,2701,INE137C01018,nse
ALPSINDUS,EQ,6.65,6.65,6.65,6.65,6.65,6.35,8192,54476.8,25-JAN-2016,8,INE093B01015,nse
ALSTOMT&D,EQ,421,436.7,421,435.2,435,419.55,122124,52523322.45,25-JAN-2016,2321,INE200A01026,nse
AMARAJABAT,EQ,821.2,843.75,805,838.45,836.5,820.85,177282,148361460.6,25-JAN-2016,10543,INE885A01032,nse
AMBIKCO,EQ,812.65,836,801.75,808.7,801.75,808.45,4892,3990067.25,25-JAN-2016,438,INE540G01014,nse
AMBUJACEM,EQ,194.2,199.35,193.55,196.95,196.5,193,1102255,217871698.95,25-JAN-2016,21220,INE079A01024,nse
AMDIND,EQ,27,27.35,25.65,26.2,26.5,26.65,26790,708806.05,25-JAN-2016,218,INE005I01014,nse
AMRUTANJAN,EQ,418.95,430,418.15,426.3,424.4,418.9,4809,2047139,25-JAN-2016,378,INE098F01023,nse
AMTEKAUTO,EQ,38,38.8,37.5,38.45,38.6,37.65,1109897,42323976.9,25-JAN-2016,5101,INE130C01021,nse
AMTL,EQ,27,28.15,27,28.15,28.15,26.85,12607,352611.05,25-JAN-2016,59,INE436N01029,nse
ANANDAMRUB,EQ,22.15,22.15,20.15,21.85,22,21.2,262,5787.9,25-JAN-2016,8,INE618N01014,nse
ANANTRAJ,EQ,37.3,37.9,36.8,37.05,37.25,36.7,280325,10468401.65,25-JAN-2016,1341,INE242C01024,nse
ANDHRABANK,EQ,53.95,54.05,52.4,52.55,52.65,53.2,1342394,71133732,25-JAN-2016,7546,INE434A01013,nse
ANDHRACEMT,EQ,8.45,8.75,8.35,8.75,8.75,8.35,382579,3294721.7,25-JAN-2016,635,INE666E01012,nse
ANDHRSUGAR,EQ,137.2,140.7,132.2,132.9,133.35,136.2,13686,1859189.15,25-JAN-2016,362,INE715B01013,nse
ANGIND,EQ,45.9,47.5,45.9,46.35,46.15,45.3,48204,2250890.85,25-JAN-2016,437,INE017D01010,nse
ANIKINDS,BE,29.9,29.9,27.3,28.65,28.65,28.5,1605,46705.75,25-JAN-2016,8,INE087B01017,nse
ANKITMETAL,EQ,2.2,2.2,2.15,2.2,2.2,2.1,61547,135037.15,25-JAN-2016,60,INE106I01010,nse
ANSALAPI,EQ,19.6,20.1,18.9,19,19,19.2,100820,1937743.5,25-JAN-2016,682,INE436A01026,nse
ANSALHSG,EQ,24.1,24.75,23.1,23.35,23.2,24,13742,325958.1,25-JAN-2016,124,INE880B01015,nse
ANTGRAPHIC,BE,0.75,0.75,0.7,0.75,0.75,0.7,19607,14666.9,25-JAN-2016,19,INE414B01021,nse
APARINDS,EQ,464.95,468,442.1,459.7,461.95,453.45,8501,3903185.8,25-JAN-2016,527,INE372A01015,nse
APCOTEXIND,EQ,198.5,198.5,190,192.9,193,192.8,6390,1236123.25,25-JAN-2016,219,INE116A01024,nse
APLAPOLLO,EQ,707.5,728,695.05,704.6,700.25,697.15,92693,65525283.15,25-JAN-2016,1371,INE702C01019,nse
APLLTD,EQ,639.95,639.95,627.1,630.4,631,632.7,165237,104522130.05,25-JAN-2016,4320,INE901L01018,nse
APOLLOHOSP,EQ,1407,1428.9,1400.95,1421.1,1427,1402.15,113996,161732641.85,25-JAN-2016,10394,INE437A01024,nse
APOLLOTYRE,EQ,142,146.4,141.2,142.7,142.6,140.75,2030338,292471496.9,25-JAN-2016,19626,INE438A01022,nse
APTECHT,EQ,61.9,62.3,60.7,60.9,61.1,60.8,172826,10622376.8,25-JAN-2016,1487,INE266F01018,nse
ARCHIDPLY,EQ,48.35,49.8,47.3,48.75,48.95,47.5,46043,2255222.4,25-JAN-2016,497,INE877I01016,nse
ARCHIES,EQ,24,24.85,24,24.1,24.3,23.75,146891,3577171.15,25-JAN-2016,592,INE731A01020,nse
ARCOTECH,EQ,340,347,318.65,334.3,341.2,324.5,156892,51368379.3,25-JAN-2016,3656,INE574I01027,nse
ARIES,EQ,82.75,84.8,82,82.5,82.5,82.45,13519,1120441.9,25-JAN-2016,252,INE298I01015,nse
ARIHANT,EQ,42.5,44.95,42.5,44.2,44.95,41.75,57,2489.05,25-JAN-2016,5,INE413D01011,nse
AROGRANITE,EQ,48.95,48.95,43.6,43.95,44.2,50.8,38616,1731454.9,25-JAN-2016,349,INE210C01013,nse
ARROWCOAT,EQ,650,657.55,633.2,638.1,633.75,645,2292,1483510.55,25-JAN-2016,307,INE570D01018,nse
ARROWTEX,EQ,46.5,47.75,45.1,46.25,46.4,46.35,115813,5418962.05,25-JAN-2016,1086,INE933J01015,nse
ARSHIYA,EQ,39.6,39.75,37.55,38.55,38.4,38.55,74500,2902318.4,25-JAN-2016,622,INE968D01022,nse
ARSSINFRA,EQ,37.15,38.2,35.65,36,36.35,36.75,114335,4209629.75,25-JAN-2016,733,INE267I01010,nse
ARVIND,EQ,316.45,323.3,314.4,316.75,317.35,313.35,1447034,461873685.2,25-JAN-2016,19186,INE034A01011,nse
ARVINDREM,BZ,5.55,5.75,5.35,5.5,5.5,5.6,35532,193026,25-JAN-2016,141,INE211C01037,nse
ARVINFRA,EQ,112.4,112.7,110,112.6,112.7,107.35,108406,12157988.9,25-JAN-2016,1271,INE034S01021,nse
ASAHIINDIA,EQ,153.05,157.7,151,156.15,156,153.05,22215,3453391.45,25-JAN-2016,437,INE439A01020,nse
ASAHISONG,EQ,146,155.55,146,153.3,154,146.85,24797,3745282.25,25-JAN-2016,752,INE228I01012,nse
ASAL,EQ,38.7,41,38.7,39.3,39.3,38.7,553,22572.65,25-JAN-2016,8,INE900C01027,nse
ASHAPURMIN,EQ,71,75.35,70,71.6,71.2,70.2,281499,20641258.65,25-JAN-2016,2823,INE348A01023,nse
ASHIANA,EQ,137.1,146.3,135.95,142.35,140.1,139.3,87394,12321946.7,25-JAN-2016,2276,INE365D01021,nse
ASHIMASYN,EQ,14.4,14.45,13.8,14.45,14.45,13.8,23823,337147.7,25-JAN-2016,105,INE440A01010,nse
ASHOKA,EQ,184.95,194.8,183.5,192.8,194,180.5,422154,79419627.65,25-JAN-2016,7349,INE442H01029,nse
ASHOKLEY,EQ,86.9,87.25,86.1,86.75,86.85,85.7,6908496,598803196.7,25-JAN-2016,20728,INE208A01029,nse
ASIANHOTNR,EQ,116.5,124.95,113,116.3,116.3,117.05,531,63557.3,25-JAN-2016,40,INE363A01022,nse
ASIANPAINT,EQ,870,882,868.15,878.6,879.45,869.95,1794107,1577269433.2,25-JAN-2016,48011,INE021A01026,nse
ASIANTILES,EQ,150.9,158.8,150,153.65,154.6,150.7,81972,12752523.65,25-JAN-2016,759,INE022I01019,nse
ASSAMCO,EQ,5.9,5.9,5.9,5.9,5.9,5.65,141816,836714.4,25-JAN-2016,148,INE442A01024,nse
ASTEC,EQ,200,206.3,198,202,201.1,195.8,16187,3257516.55,25-JAN-2016,474,INE563J01010,nse
ASTRAL,EQ,398.5,402.95,391.15,398.7,402,392,21232,8489986.6,25-JAN-2016,355,INE006I01046,nse
ASTRAMICRO,EQ,129.3,131.9,127.1,128.35,128.4,126.25,339180,43738567.2,25-JAN-2016,4749,INE386C01029,nse
ASTRAZEN,EQ,1223,1224,1201,1206.55,1207.55,1206.05,15170,18373934.85,25-JAN-2016,1004,INE203A01020,nse
ATFL,EQ,494,503.45,482.35,486.3,495.9,482.8,13657,6695362.45,25-JAN-2016,1699,INE209A01019,nse
ATLANTA,EQ,35.8,36.5,34.8,35.1,34.8,34.8,45500,1623621.35,25-JAN-2016,390,INE285H01022,nse
ATLASCYCLE,EQ,195.45,197.95,188.05,188.7,188.3,192.45,8178,1574629.7,25-JAN-2016,461,INE446A01017,nse
ATNINTER,EQ,0.45,0.45,0.45,0.45,0.45,0.4,5050,2272.5,25-JAN-2016,8,INE803A01027,nse
ATUL,EQ,1455,1489,1411,1462.35,1465,1465.4,10958,15837553.3,25-JAN-2016,2020,INE100A01010,nse
ATULAUTO,EQ,495,506,495,502.9,505,493.6,21122,10595565.9,25-JAN-2016,2852,INE951D01028,nse
AURIONPRO,EQ,154,156,144.1,147.1,146.6,149.65,24611,3667695.6,25-JAN-2016,1035,INE132H01018,nse
AUROPHARMA,EQ,822,829.7,814,818.95,817.25,811.1,1288681,1060796844.8,25-JAN-2016,43522,INE406A01037,nse
AUSOMENT,EQ,27,27,23.4,23.4,23.4,23.35,107,2871,25-JAN-2016,4,INE218C01016,nse
AUSTRAL,EQ,0.45,0.45,0.4,0.4,0.45,0.4,270436,119857.65,25-JAN-2016,31,INE455J01027,nse
AUTOAXLES,EQ,595,599.9,580,584.2,582.05,584.6,50814,30130372.4,25-JAN-2016,50,INE449A01011,nse
AUTOIND,EQ,47,48.7,46.1,46.75,46.9,45.9,16645,786425.2,25-JAN-2016,181,INE718H01014,nse
AUTOLITIND,EQ,47.95,51.9,47.95,49.95,50.4,47.8,36423,1828145.25,25-JAN-2016,433,INE448A01013,nse
AVANTIFEED,EQ,383,395,378,394.6,393.2,375.55,47424,18697642.25,25-JAN-2016,1156,INE871C01020,nse
AVTNPL,EQ,32.6,34.25,32.6,33.8,33.85,32.85,45005,1513880.05,25-JAN-2016,368,INE488D01021,nse
AXISBANK,EQ,429.75,429.75,415.2,420.85,419.15,424.15,10252421,4298017429.7,25-JAN-2016,128482,INE238A01034,nse
AXISCADES,EQ,266,267.75,262,263.4,263.05,259.45,72017,19013808.85,25-JAN-2016,2933,INE555B01013,nse
AXISGOLD,EQ,2253,2373.4,2253,2368.3,2370,2259.1,1856,4342723,25-JAN-2016,142,INF846K01347,nse
BAFNAPHARM,EQ,37,38,35.5,36.4,36.2,35.6,120366,4403368,25-JAN-2016,944,INE878I01014,nse
BAGFILMS,EQ,4.1,4.1,4.1,4.1,4.1,3.95,74866,306950.6,25-JAN-2016,40,INE116D01028,nse
BAJAJ-AUTO,EQ,2323.3,2348,2315,2327.3,2318,2318.85,214198,499230400.65,25-JAN-2016,22426,INE917I01010,nse
BAJAJCORP,EQ,379,381.95,371.2,379.7,381,370.4,49661,18842819.55,25-JAN-2016,4483,INE933K01021,nse
BAJAJELEC,EQ,183,188.5,182.7,187.55,188.5,181.6,80352,14928127.3,25-JAN-2016,1814,INE193E01025,nse
BAJAJFINSV,EQ,1902,1949,1896.2,1924.45,1919.5,1891.8,21208,40996742.85,25-JAN-2016,4271,INE918I01018,nse
BAJAJHIND,EQ,17.1,17.2,16.6,16.7,16.8,16.75,1575941,26701198.15,25-JAN-2016,3143,INE306A01021,nse
BAJAJHLDNG,EQ,1478.9,1520.6,1452.1,1469.3,1460,1474.9,8298,12401931.15,25-JAN-2016,949,INE118A01012,nse
BAJFINANCE,EQ,5824.9,5950,5823.95,5856.3,5850,5820.65,46814,276577057.65,25-JAN-2016,7354,INE296A01016,nse
BALAJITELE,EQ,119.5,126.9,116.55,120.4,120.85,117.95,383892,47318140.7,25-JAN-2016,6252,INE794B01026,nse
BALAMINES,EQ,131.5,137.5,129.1,132.65,133,128.7,80995,10877804.25,25-JAN-2016,820,INE050E01027,nse
BALKRISIND,EQ,622,625.95,596,610.55,612,616.55,91305,55426221,25-JAN-2016,3350,INE787D01026,nse
BALLARPUR,EQ,16.9,16.95,16.05,16.4,16.5,16.45,389839,6401766.9,25-JAN-2016,1628,INE294A01037,nse
BALMLAWRIE,EQ,580,609.95,570.05,604.15,602.9,575.1,16896,9959250.05,25-JAN-2016,1079,INE164A01016,nse
BALPHARMA,EQ,96,99.85,94.15,98.9,99.8,95.1,460270,44926072.55,25-JAN-2016,3625,INE083D01012,nse
BALRAMCHIN,EQ,90.6,91.5,87.1,87.7,87.4,89.1,1573272,141006617.25,25-JAN-2016,11224,INE119A01028,nse
BANARBEADS,EQ,44,44,42,44,44,42.95,225,9575.75,25-JAN-2016,11,INE655B01011,nse
BANARISUG,EQ,1151.2,1170,1090,1135.85,1159,1091.25,1272,1429369.6,25-JAN-2016,46,INE459A01010,nse
BANCOINDIA,EQ,125.05,129,125,126.65,127.4,124.05,25399,3231347.45,25-JAN-2016,606,INE213C01025,nse
BANG,BE,14.4,14.4,14.4,14.4,14.4,15.15,1325,19080,25-JAN-2016,4,INE863I01016,nse
BANKBARODA,EQ,132.4,133.15,128.5,129.5,129.35,130.2,5082968,661582729.7,25-JAN-2016,26290,INE028A01039,nse
BANKBEES,EQ,1570,1576.15,1556.46,1562.78,1564.5,1560.28,8473,13262711.6,25-JAN-2016,209,INF732E01078,nse
BANKINDIA,EQ,101.6,102.9,98.9,99.6,100.2,100.75,2320163,234112966,25-JAN-2016,13335,INE084A01016,nse
BANSWRAS,EQ,99.95,103,96.55,97.5,100.95,96.45,1579,156805.65,25-JAN-2016,51,INE629D01012,nse
BARTRONICS,EQ,11.3,12.1,11.3,11.65,11.6,11.35,108436,1282533.65,25-JAN-2016,362,INE855F01034,nse
BASF,EQ,802.6,813.7,788.15,793.7,792,799.1,14803,11808226.2,25-JAN-2016,587,INE373A01013,nse
BASML,EQ,223.75,225,218.05,218.5,218.15,223.9,418,93148,25-JAN-2016,31,INE186H01014,nse
BATAINDIA,EQ,474,506.75,470.8,476.3,474.55,472,836437,408683703.55,25-JAN-2016,19377,INE176A01028,nse
BAYERCROP,EQ,3460,3460,3351,3386.05,3370,3383.65,1826,6172411.35,25-JAN-2016,454,INE462A01022,nse
BBL,EQ,871,901.1,865,869.55,867.1,865,52690,46610244.75,25-JAN-2016,3156,INE464A01028,nse
BBTC,EQ,409.55,411,401,403.6,403,403.5,11653,4744039.7,25-JAN-2016,860,INE050A01025,nse
BEARDSELL,BE,127.95,127.95,127.95,127.95,127.95,122,2,255.9,25-JAN-2016,1,INE520H01014,nse
BEDMUTHA,EQ,16.45,16.6,16,16,16,15.55,7086,114620.6,25-JAN-2016,73,INE844K01012,nse
BEL,EQ,1211.4,1229,1200,1209.4,1211.95,1193.65,224364,273022514.35,25-JAN-2016,10653,INE263A01016,nse
BEML,EQ,1116,1135,1093.2,1101.75,1095.9,1098.9,158000,176788204.8,25-JAN-2016,13137,INE258A01016,nse
BEPL,EQ,20.25,21.7,20.25,20.95,20.95,20.15,144415,3047483.3,25-JAN-2016,646,INE922A01025,nse
BERGEPAINT,EQ,259.8,267.6,256,264.4,264,253.65,651515,171898622.4,25-JAN-2016,17801,INE463A01038,nse
