SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,exchange,timestamp
500002,ABB LTD.    ,A ,Q,1255.1,1269.6,1238.55,1240.95,1243.7,1254,626,2519,3155450,,bse,2016-05-19
500003,AEGIS LOGIS ,B ,Q,112.5,116.7,110,111,111,111.65,5272,196041,22417969,,bse,2016-05-19
500008,AMAR RAJA BA,A ,Q,955,962,939.3,943.25,939.3,949.6,1019,12354,11754470,,bse,2016-05-19
500009,A.SARABHAI  ,XD,Q,8.98,9.3,8.67,8.76,8.76,8.69,54,29412,265932,,bse,2016-05-19
500010,HDFC        ,A ,Q,1208,1208.05,1173.5,1176.7,1176.7,1208.2,3391,58319,69033867,,bse,2016-05-19
500012,ANDHRA PETRO,XC,Q,15.4,15.55,15.25,15.3,15.35,15.3,123,52246,805826,,bse,2016-05-19
500013,ANSAL INFRAS,B ,Q,18.35,19.8,18.35,18.75,18.7,18.55,126,23715,453525,,bse,2016-05-19
500014,APPLE FINANC,XD,Q,2.25,2.35,2.25,2.35,2.35,2.34,5,610,1377,,bse,2016-05-19
500020,BOM DYEING  ,B ,Q,47.6,48.35,46.5,46.6,46.95,47.45,584,174221,8225916,,bse,2016-05-19
500023,ASIANHOTNR  ,B ,Q,112,112,105.6,109.8,109.8,106.8,3,102,10781,,bse,2016-05-19
500024,ASSAMCO     ,B ,Q,5.87,6.5,5.8,5.98,5.98,5.73,1044,851139,5208330,,bse,2016-05-19
500027,ATUL LTD.   ,A ,Q,1923.6,1923.6,1872.05,1882.5,1882.5,1913.3,521,1704,3222138,,bse,2016-05-19
500028,ATV PROJECTS,XT,Q,7.31,8.07,7.31,7.7,7.7,7.69,43,37100,289349,,bse,2016-05-19
500029,AUTOLITE(I) ,B ,Q,51.2,56.35,51.2,52.65,52.65,53.7,12,1372,73696,,bse,2016-05-19
500030,AUTORID.FIN ,B ,Q,0.64,0.64,0.6,0.6,0.6,0.61,4,6050,3836,,bse,2016-05-19
500031,BAJAJ ELECT.,A ,Q,236.35,237.9,228,228.95,228.95,234.95,767,33434,7779061,,bse,2016-05-19
500032,BAJAJHIND   ,B ,Q,20.5,20.5,19.45,19.55,19.55,20.4,1414,800051,15960666,,bse,2016-05-19
500033,FORCE MOTR  ,B ,Q,3259,3274.5,3123,3139.5,3139.5,3247.5,5066,51425,164475225,,bse,2016-05-19
500034,BAJFINANCE  ,A ,Q,7775.9,7820,7710.05,7735.2,7760,7765.5,1092,3541,27526055,,bse,2016-05-19
500038,BALRAM.CHINI,A ,Q,118.5,118.65,113.25,115.2,115.2,117.6,3249,572527,66529228,,bse,2016-05-19
500039,BANCO PROD. ,B ,Q,128.6,128.8,126.4,127.3,127.3,125.9,80,3742,477512,,bse,2016-05-19
500040,CENTURY TEXT,A ,Q,607,611.85,587.55,591.75,591.75,607.15,2884,106535,64215184,,bse,2016-05-19
500041,BANNARI AMAN,B ,Q,1850,1875.25,1847.75,1861.25,1850,1875.75,48,258,480325,,bse,2016-05-19
500042,BASF INDIA  ,B ,Q,986.45,1026.5,986,992.6,992.6,991.4,604,3946,3976895,,bse,2016-05-19
500043,BATA INDIA  ,A ,Q,588.65,593.1,567,569.65,569.65,588.55,2333,34807,20282961,,bse,2016-05-19
500048,BEML LTD    ,A ,Q,901.1,906.6,869.4,876.15,876.15,897.95,2435,32127,28546067,,bse,2016-05-19
500049,BHARAT ELECT,A ,Q,1148.55,1149.75,1114,1116.95,1116.95,1147.75,1352,17416,19646773,,bse,2016-05-19
500051,BHAG GAS    ,Z ,Q,0.51,0.51,0.51,0.51,0.51,0.51,1,100,51,,bse,2016-05-19
500052,BHANSALI ENG,B ,Q,20.75,21.05,20.55,20.6,20.6,20.85,65,21531,445383,,bse,2016-05-19
