SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,exchange,timestamp
500002,ABB LTD.    ,A ,Q,1404.45,1419.2,1400,1410.65,1410.1,1411.75,161,1598,2253440,,bse,2017-11-24
500003,AEGIS LOGIS ,A ,Q,235.9,236,232.5,233.4,233.4,233.5,369,18206,4264282,,bse,2017-11-24
500008,AMAR RAJA BA,A ,Q,788.5,799.05,788,790.2,790.2,786.7,1875,404209,321205274,,bse,2017-11-24
500009,A.SARABHAI  ,ST,Q,10.65,10.65,10,10.64,10.64,10.15,46,25845,272304,,bse,2017-11-24
500010,HDFC        ,A ,Q,1720,1720,1697.3,1710.15,1710.15,1703.25,803,30783,52551924,,bse,2017-11-24
500012,ANDHRA PETRO,ST,Q,50,52.25,49.5,50.25,50.9,49.95,157,59384,2984155,,bse,2017-11-24
500013,ANSAL INFRAS,B ,Q,23.2,23.2,22.3,22.55,22.55,22.85,103,19697,448660,,bse,2017-11-24
500014,APPLE FINANC,XD,Q,3.36,3.36,3.36,3.36,3.36,3.36,7,352,1182,,bse,2017-11-24
500020,BOM DYEING  ,A ,Q,203,206.3,198.9,199.7,199.7,204.05,2311,231867,46916541,,bse,2017-11-24
500023,ASIANHOTNR  ,B ,Q,131.5,133.9,131,133.9,133.9,132,11,2186,288107,,bse,2017-11-24
500024,ASSAMCO     ,B ,Q,5.07,5.12,5.02,5.03,5.03,5.01,77,50573,256632,,bse,2017-11-24
500027,ATUL LTD.   ,A ,Q,2519,2543.95,2500.05,2524.4,2508,2518,124,2474,6246648,,bse,2017-11-24
500028,ATV PROJECTS,XT,Q,9.45,10.36,9.45,9.9,9.9,9.87,60,14085,142789,,bse,2017-11-24
500029,AUTOLITE(I) ,B ,Q,70.45,70.8,68.8,69.1,69.6,69.5,97,6925,483327,,bse,2017-11-24
