SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,exchange,timestamp
500002,ABB LTD.    ,A ,Q,1454.8,1460.8,1439.2,1445.75,1445.75,1438.2,414,105765,153958432,,bse,2017-07-06
500003,AEGIS LOGIS ,B ,Q,191,191,188,189.45,189.45,189.3,235,52763,10014699,,bse,2017-07-06
500008,AMAR RAJA BA,A ,Q,848.1,854.5,843.05,845.55,845.55,847.7,752,94463,80495404,,bse,2017-07-06
500009,A.SARABHAI  ,XD,Q,9.69,9.69,8.7,8.96,8.85,8.93,102,57806,513384,,bse,2017-07-06
500010,HDFC        ,A ,Q,1629.9,1653.3,1625,1647.4,1642,1629.4,1869,61958,101721851,,bse,2017-07-06
500012,ANDHRA PETRO,XC,Q,28,28,26.75,27.5,27.6,27.55,121,43027,1176136,,bse,2017-07-06
500013,ANSAL INFRAS,B ,Q,29,30.2,29,29.7,29.7,28.8,577,179565,5346495,,bse,2017-07-06
500014,APPLE FINANC,XT,Q,3.62,3.62,3.4,3.53,3.62,3.46,45,11933,42175,,bse,2017-07-06
500020,BOM DYEING  ,B ,Q,89.9,92.95,89.45,90.1,90.1,88.2,7015,1331633,121537781,,bse,2017-07-06
500023,ASIANHOTNR  ,B ,Q,131.95,132,129.25,129.5,129.5,131.95,5,394,51671,,bse,2017-07-06
500024,ASSAMCO     ,B ,Q,6.74,6.82,6.6,6.63,6.62,6.66,140,174064,1173580,,bse,2017-07-06
500027,ATUL LTD.   ,A ,Q,2451,2540,2450,2472.8,2470,2451.95,214,22796,56110734,,bse,2017-07-06
500028,ATV PROJECTS,XT,Q,9.27,9.89,9.11,9.25,9.5,9.43,51,14601,136565,,bse,2017-07-06
500029,AUTOLITE(I) ,B ,Q,66.5,67,63.6,64,63.6,65.6,110,9930,647099,,bse,2017-07-06
500030,AUTORID.FIN ,T ,Q,0.78,0.78,0.78,0.78,0.78,0.82,2,200,156,,bse,2017-07-06
500031,BAJAJ ELECT.,A ,Q,322.1,332.05,322.1,330.55,330.55,322.55,513,15442,5086593,,bse,2017-07-06
500032,BAJAJHIND   ,B ,Q,14.85,15.27,14.85,14.97,14.97,14.9,884,602725,9104052,,bse,2017-07-06
500033,FORCE MOTR  ,B ,Q,4287,4298,4235,4247.1,4247.1,4265.7,2042,18774,80016202,,bse,2017-07-06
500034,BAJFINANCE  ,A ,Q,1372,1413.4,1372,1396.05,1395,1396.65,1649,35735,50131536,XD,bse,2017-07-06
500038,BALRAM.CHINI,A ,Q,153.35,153.65,151.6,152.3,151.6,152.4,347,33405,5103126,,bse,2017-07-06
500039,BANCO PROD. ,B ,Q,219.45,223.75,219,219.55,219.55,218.75,261,11564,2555349,,bse,2017-07-06
500040,CENTURY TEXT,A ,Q,1135.95,1146,1129.1,1133.75,1133.75,1127.6,1567,55133,62756240,,bse,2017-07-06
500041,BANNARI AMAN,B ,Q,1780,1800,1776.55,1799.85,1799.9,1770.8,8,82,146556,,bse,2017-07-06
500042,BASF INDIA  ,B ,Q,1747.5,1747.5,1701,1707.25,1702,1733.75,437,2567,4420797,,bse,2017-07-06
500043,BATA INDIA  ,A ,Q,572,573.8,562,563.85,563.85,569.2,772,26401,15004020,XD,bse,2017-07-06
500048,BEML LTD    ,A ,Q,1574.95,1596.95,1550.3,1563.45,1554.3,1568.1,2878,70837,112061043,,bse,2017-07-06
500049,BHARAT ELECT,A ,Q,172.2,173.45,170.05,171.95,171.95,169.35,3409,419320,72137175,,bse,2017-07-06
500052,BHANSALI ENG,B ,Q,70.1,71.9,68.8,69.35,69.35,69.6,4880,1116855,78385306,XD,bse,2017-07-06
500055,BHUSH STEEL ,B ,Q,69.35,70.2,67.1,67.9,67.9,68.75,1225,194143,13354649,,bse,2017-07-06
500058,BIHAR SPONGE,XT,Q,1.72,1.83,1.72,1.8,1.8,1.75,42,5451,9878,,bse,2017-07-06
500059,BINANI IND. ,B ,Q,77.8,82.3,77.8,80.4,80.4,76.95,462,30336,2449712,,bse,2017-07-06
500060,BIRLACABLE  ,B ,Q,45.8,46,44,44.35,44,45.4,70,4321,194418,,bse,2017-07-06
500067,BLUE STAR   ,B ,Q,619.4,619.4,598.2,612.35,611.6,611.5,291,5644,3433724,,bse,2017-07-06
500068,DISA INDIA  ,XC,Q,5000.05,5199.95,5e3,5148.2,5010,5e3,17,395,2011175,,bse,2017-07-06
500069,BNK CAPITAL ,XD,Q,75,75,73.1,73.75,73.75,75.3,21,2019,149214,,bse,2017-07-06
500074,BPL LTD.    ,B ,Q,72.2,73.2,71,71.45,71.15,71.9,395,41668,2999043,,bse,2017-07-06
500078,CAMPH.& ALL ,XC,Q,785.05,795,785.05,795,795,797.3,5,46,36550,,bse,2017-07-06
500083,CENTURY EXT ,B ,Q,4.87,5,4.85,4.89,4.9,4.98,42,35790,175892,,bse,2017-07-06
500084,CESC LTD.   ,A ,Q,877.65,880,865.45,868.7,868.7,874.95,845,16251,14148457,,bse,2017-07-06
500085,CHAMBAL FERT,B ,Q,139.5,140.8,132.25,133.2,133.2,136.85,2770,313335,43052648,,bse,2017-07-06
500086,EXIDE IND.  ,A ,Q,228.1,229.5,227,228.55,228.65,228.1,671,125637,28718100,,bse,2017-07-06
500087,CIPLA LTD.  ,A ,Q,542.3,547.75,540.3,542.85,543.9,545.7,622,193964,105446184,,bse,2017-07-06
500089,DIC INDIA   ,B ,Q,529.05,543,529.05,533.35,540,526.15,47,1292,692303,,bse,2017-07-06
500092,CRISIL LTD  ,A ,Q,1985,1992.45,1975.35,1985.55,1990,1984.45,139,795,1576601,,bse,2017-07-06
500093,CGPOWER     ,A ,Q,82.9,83.95,80.5,82.75,82.75,83.05,701,118233,9826371,,bse,2017-07-06
