SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,exchange,timestamp
500002,ABB LTD.    ,A ,Q,1258.85,1266,1250,1254,1254,1257.55,874,3516,4416510,,bse,2016-05-18
500003,AEGIS LOGIS ,B ,Q,112,113,111.1,111.65,111.95,112.95,592,40693,4557055,,bse,2016-05-18
500008,AMAR RAJA BA,A ,Q,951.9,953.8,937.95,949.6,949.6,950.25,934,8928,8458728,,bse,2016-05-18
500009,A.SARABHAI  ,XD,Q,8.54,8.99,8.54,8.69,8.93,8.86,57,16018,140019,,bse,2016-05-18
500010,HDFC        ,A ,Q,1208,1213.8,1196.5,1208.2,1208.2,1216.25,2924,60527,72972367,,bse,2016-05-18
500012,ANDHRA PETRO,XC,Q,15.6,15.9,15.15,15.3,15.3,15.8,203,104459,1616346,,bse,2016-05-18
500013,ANSAL INFRAS,B ,Q,18.2,18.65,18,18.55,18.65,18.5,286,17065,313778,,bse,2016-05-18
500014,APPLE FINANC,XD,Q,2.12,2.5,2.12,2.34,2.37,2.29,22,4507,10340,,bse,2016-05-18
500020,BOM DYEING  ,B ,Q,47,48.5,46,47.45,47.45,47.15,1368,146795,6910503,,bse,2016-05-18
500023,ASIANHOTNR  ,B ,Q,106.8,106.8,106.8,106.8,106.8,110.5,1,5,534,,bse,2016-05-18
500024,ASSAMCO     ,B ,Q,5.72,5.84,5.65,5.73,5.74,5.72,77,85090,485466,,bse,2016-05-18
500027,ATUL LTD.   ,A ,Q,1906,1920,1900,1913.3,1913.3,1925.45,383,17003,32402894,,bse,2016-05-18
500028,ATV PROJECTS,XT,Q,7.23,7.97,7.23,7.69,7.5,7.61,30,7995,61199,,bse,2016-05-18
500029,AUTOLITE(I) ,B ,Q,53.4,55.8,53.2,53.7,53.7,52.05,79,4475,242041,,bse,2016-05-18
500030,AUTORID.FIN ,B ,Q,0.6,0.61,0.6,0.61,0.61,0.59,2,600,363,,bse,2016-05-18
500031,BAJAJ ELECT.,A ,Q,240,241.75,233.7,234.95,234.95,237.7,989,45364,10778820,,bse,2016-05-18
500032,BAJAJHIND   ,B ,Q,20.2,20.65,20.05,20.4,20.4,20.3,1188,720548,14665511,,bse,2016-05-18
500033,FORCE MOTR  ,B ,Q,3280,3284,3236,3247.5,3247.5,3288,3015,36462,118759935,,bse,2016-05-18
500034,BAJFINANCE  ,A ,Q,7744.45,7812,7680.4,7765.5,7765.5,7750.6,997,2911,22553005,,bse,2016-05-18
