SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,exchange,timestamp
500002,ABB LTD.    ,A ,Q,1432.05,1471,1432.05,1444.65,1444.65,1432.05,1326,16859,24444487,,bse,2017-07-26
500003,AEGIS LOGIS ,A ,Q,182.4,189,181.3,187.9,187.9,181.75,484,32258,5992864,,bse,2017-07-26
500008,AMAR RAJA BA,A ,Q,849.95,851.5,840.05,847.35,845,846.6,619,11124,9434212,,bse,2017-07-26
500009,A.SARABHAI  ,XD,Q,8.95,9,8.7,8.8,8.71,8.67,92,29616,261447,,bse,2017-07-26
500010,HDFC        ,A ,Q,1633,1645,1620.65,1633.25,1633.25,1632.3,3778,533008,870038613,,bse,2017-07-26
500012,ANDHRA PETRO,XC,Q,27.5,27.5,26.6,27,27,27.2,93,27784,749835,,bse,2017-07-26
500013,ANSAL INFRAS,B ,Q,27.8,29.15,27.4,28.95,28.95,27.8,495,141966,4082570,,bse,2017-07-26
500014,APPLE FINANC,XT,Q,3.48,3.67,3.48,3.56,3.65,3.5,54,18382,65097,,bse,2017-07-26
500020,BOM DYEING  ,A ,Q,86,86.7,85.35,85.55,85.55,86.5,1175,291152,25007054,XD,bse,2017-07-26
500023,ASIANHOTNR  ,B ,Q,130.9,132,130.9,131.65,132,131.65,3,125,16400,,bse,2017-07-26
500024,ASSAMCO     ,B ,Q,6.75,7.63,6.75,7.41,7.41,6.68,804,833739,6025827,,bse,2017-07-26
500027,ATUL LTD.   ,A ,Q,2225,2255,2200.45,2205.4,2205,2229.5,221,1447,3208931,,bse,2017-07-26
500028,ATV PROJECTS,XT,Q,8,8.23,7.82,8.13,8,7.86,32,9833,79622,,bse,2017-07-26
500029,AUTOLITE(I) ,B ,Q,61.55,62.05,60.55,60.85,60.65,61.55,70,4640,283752,,bse,2017-07-26
500031,BAJAJ ELECT.,A ,Q,337.5,342.45,336.3,341,342,336.05,620,42335,14359910,,bse,2017-07-26
500032,BAJAJHIND   ,B ,Q,17.5,17.6,16.53,16.62,16.62,17.23,3699,2945884,50026925,,bse,2017-07-26
500033,FORCE MOTR  ,B ,Q,4080.7,4125,4080.7,4104.05,4104.05,4080.7,3128,27195,111738137,,bse,2017-07-26
500034,BAJFINANCE  ,A ,Q,1630,1694.5,1630,1686.1,1694.5,1623.45,4392,106833,177949222,,bse,2017-07-26
500038,BALRAM.CHINI,A ,Q,161,162.2,158.75,159.45,159.45,160.75,1021,108475,17404363,,bse,2017-07-26
500039,BANCO PROD. ,B ,Q,236.75,240.9,234,239.4,239.4,233.95,640,39822,9493844,,bse,2017-07-26
500040,CENTURY TEXT,A ,Q,1160,1190,1155,1184.2,1184.2,1157.7,1822,69861,82141166,,bse,2017-07-26
500041,BANNARI AMAN,B ,Q,2e3,2029.4,2e3,2011.75,2019,1981.9,62,413,829266,,bse,2017-07-26
500042,BASF INDIA  ,B ,Q,1560,1598,1535,1542.85,1535,1574.5,622,8081,12629455,,bse,2017-07-26
500043,BATA INDIA  ,A ,Q,584.5,589.35,583.1,583.9,583.9,583.8,620,20974,12288843,,bse,2017-07-26
500048,BEML LTD    ,A ,Q,1648.95,1679,1641.05,1656.05,1656.05,1648.95,2549,56312,93639968,,bse,2017-07-26
500049,BHARAT ELECT,A ,Q,173,176,172.4,175.65,175.65,172.45,3944,306446,53499928,,bse,2017-07-26
500052,BHANSALI ENG,B ,Q,75.5,79.25,74.45,77.25,77.25,74.9,3919,856782,66388319,,bse,2017-07-26
500055,BHUSH STEEL ,B ,Q,66.25,76,66.25,74.7,74.7,65.45,8685,1514592,108865302,,bse,2017-07-26
500058,BIHAR SPONGE,XT,Q,1.71,1.89,1.71,1.8,1.8,1.8,25,9124,16034,,bse,2017-07-26
500059,BINANI IND. ,B ,Q,77.4,78.15,76.85,77.05,77.2,77.95,112,7909,612211,,bse,2017-07-26
500060,BIRLACABLE  ,B ,Q,49.9,52.25,48.8,51.15,51.15,49.5,532,64858,3285001,,bse,2017-07-26
500067,BLUE STAR   ,B ,Q,702.65,709.45,690,697.45,697.45,705.55,613,8045,5636242,XD,bse,2017-07-26
500068,DISA INDIA  ,XC,Q,5275,5275,5050,5201.4,5225,5250,23,142,739095,,bse,2017-07-26
500069,BNK CAPITAL ,XD,Q,70.55,70.55,70.4,70.4,70.4,73.45,4,300,21140,,bse,2017-07-26
500074,BPL LTD.    ,B ,Q,69.3,70.4,68.5,68.7,68.7,69.1,352,30528,2116716,,bse,2017-07-26
500078,CAMPH.& ALL ,XC,Q,762,762,750.65,754,752.7,761,35,1211,914501,,bse,2017-07-26
500083,CENTURY EXT ,B ,Q,5,5.11,4.93,4.96,4.96,4.9,32,32971,164950,,bse,2017-07-26
500084,CESC LTD.   ,A ,Q,896.9,903.6,893.25,897.3,895.15,895.45,1004,10253,9212941,,bse,2017-07-26
500085,CHAMBAL FERT,B ,Q,135,138.6,133.5,137.7,137.7,135.05,2099,287658,39099504,,bse,2017-07-26
500086,EXIDE IND.  ,A ,Q,217.5,220.15,216.7,216.9,217,216.6,1033,233440,50746982,,bse,2017-07-26
500087,CIPLA LTD.  ,A ,Q,566.8,577.05,562.65,574.8,574.8,564.5,1841,101298,57801861,XD,bse,2017-07-26
500089,DIC INDIA   ,B ,Q,540.05,548,537.15,540.9,544.95,549.25,39,1262,683954,,bse,2017-07-26
500092,CRISIL LTD  ,A ,Q,1881.05,1894.95,1860.05,1875.45,1875.45,1885.1,202,1099,2067166,,bse,2017-07-26
500093,CGPOWER     ,A ,Q,85,85.6,84.35,84.9,84.9,84.95,516,120845,10277376,,bse,2017-07-26
500096,DABUR (I)   ,A ,Q,308.1,308.15,304.1,306.1,304.1,306.9,557,24011,7358365,,bse,2017-07-26
500097,DALMIASUG   ,B ,Q,159.9,160.75,155.25,156.5,157.15,158.85,452,22992,3635708,,bse,2017-07-26
500101,ARVIND Ltd  ,A ,Q,369.2,371.3,368,370.4,370.4,367.8,820,51952,19209408,,bse,2017-07-26
500102,BALARPUR IND,B ,Q,17.35,17.6,16.6,16.7,16.7,17.15,1166,888948,15184502,,bse,2017-07-26
500103,BHEL        ,A ,Q,145.75,147,143.6,143.95,143.95,145.45,1374,217486,31605706,,bse,2017-07-26
500104,HIND.PETRO  ,A ,Q,375,375.1,368.85,370.2,370.2,373.05,4289,207812,77191474,,bse,2017-07-26
500106,IFCI LTD    ,A ,Q,27.15,27.3,26.75,26.85,26.85,27.15,1008,547835,14798138,,bse,2017-07-26
500108,MAHA.TELE   ,B ,Q,21.4,21.85,21.2,21.35,21.35,21.2,629,364117,7811e3,,bse,2017-07-26
500109,MRPL        ,A ,Q,123.5,123.7,120.7,121,121,122.6,1966,126876,15452438,,bse,2017-07-26
500110,CHENNAI PET.,A ,Q,400.75,400.8,388,389.2,389.2,396.7,1915,73614,28871009,,bse,2017-07-26
500111,REL.CAP.    ,A ,Q,651,659.7,649,655.65,655.65,649.85,4937,228997,149867827,,bse,2017-07-26
500112,STATE BANK  ,A ,Q,296.35,299.45,295.25,295.75,295.75,296.25,5505,640953,190322060,,bse,2017-07-26
500113,STEEL AUTH. ,A ,Q,63.75,64.55,63.55,63.9,63.9,63.55,1492,486043,31126581,,bse,2017-07-26
500114,TITAN       ,A ,Q,535.95,540.7,533.55,537.15,537.15,536.2,825,41419,22250181,,bse,2017-07-26
500116,IDBI BANK L ,A ,Q,62,62.75,61.6,62.2,62.2,61.7,1325,373833,23237240,,bse,2017-07-26
500117,DCW LTD.    ,B ,Q,38,38.65,37.3,37.7,37.7,37.7,1300,478507,18114943,,bse,2017-07-26
500119,DHAMPUR SUGA,B ,Q,243,245,235.1,238.15,238.15,241.05,2180,154341,37014890,,bse,2017-07-26
500120,DIAMINES&CHM,XD,Q,81,81.9,80,80.65,80.65,81,30,2241,180504,,bse,2017-07-26
