SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,exchange,timestamp
500002,ABB LTD.    ,A ,Q,1260,1280.25,1253.05,1257.55,1257.55,1260.25,823,3317,4200231,,bse,2016-05-17
500003,AEGIS LOGIS ,B ,Q,116,116.2,112.5,112.95,112.95,115.55,1882,75995,8680796,,bse,2016-05-17
500008,AMAR RAJA BA,A ,Q,944.5,958,939.35,950.25,950.25,944.55,711,9286,8827818,,bse,2016-05-17
500009,A.SARABHAI  ,XD,Q,9.4,9.4,8.71,8.86,8.8,8.57,53,17460,157589,,bse,2016-05-17
500010,HDFC        ,A ,Q,1193,1228.8,1193,1216.25,1216.25,1187.3,6362,113154,137685950,,bse,2016-05-17
500012,ANDHRA PETRO,XC,Q,15.8,16.25,15.6,15.8,15.8,15.8,247,74261,1182097,,bse,2016-05-17
500013,ANSAL INFRAS,B ,Q,17.5,18.65,17.5,18.5,18.5,18.4,66,12718,235982,,bse,2016-05-17
500014,APPLE FINANC,XD,Q,2.28,2.29,2.14,2.29,2.29,2.25,13,3737,8507,,bse,2016-05-17
500020,BOM DYEING  ,B ,Q,47.3,47.8,46.9,47.15,47.15,46.75,1662,46998,2229416,,bse,2016-05-17
500023,ASIANHOTNR  ,B ,Q,105.9,110.5,105.4,110.5,110.5,106,8,357,37838,,bse,2016-05-17
500024,ASSAMCO     ,B ,Q,5.81,5.95,5.7,5.72,5.72,5.68,263,308954,1795521,,bse,2016-05-17
500027,ATUL LTD.   ,A ,Q,1899,1944.9,1888.1,1925.45,1925.45,1898.95,300,1685,3248041,,bse,2016-05-17
500028,ATV PROJECTS,XT,Q,7.75,7.75,7.03,7.61,7.6,7.39,31,11586,87139,,bse,2016-05-17
500029,AUTOLITE(I) ,B ,Q,53,53.65,52,52.05,53.65,53,18,1402,73059,,bse,2016-05-17
500030,AUTORID.FIN ,B ,Q,0.6,0.6,0.59,0.59,0.59,0.62,3,2200,1300,,bse,2016-05-17
500031,BAJAJ ELECT.,A ,Q,233,238.9,230.45,237.7,237.7,230.25,977,43443,10242862,,bse,2016-05-17
500032,BAJAJHIND   ,B ,Q,21,21.1,20.15,20.3,20.3,20.95,1187,807449,16582701,,bse,2016-05-17
500033,FORCE MOTR  ,B ,Q,3360,3364,3280,3288,3288,3338.5,4008,50396,167548794,,bse,2016-05-17
500034,BAJFINANCE  ,A ,Q,7777.1,7829.2,7730,7750.6,7750.6,7758.25,696,2685,20861113,,bse,2016-05-17
500038,BALRAM.CHINI,A ,Q,119.3,119.3,115.3,115.65,115.65,119,2467,328180,38172905,,bse,2016-05-17
500039,BANCO PROD. ,B ,Q,127.2,131.1,125,127.2,126.8,127.9,850,22127,2813782,,bse,2016-05-17
500040,CENTURY TEXT,A ,Q,618.05,620.6,610.2,614.2,614.2,613.5,2131,72418,44619856,,bse,2016-05-17
500041,BANNARI AMAN,B ,Q,1819.75,1875,1782,1847.25,1847.25,1801.5,122,1083,1978722,,bse,2016-05-17
500042,BASF INDIA  ,B ,Q,1012.3,1016.8,998,1001.5,1005,1005.95,276,1069,1073678,,bse,2016-05-17
500043,BATA INDIA  ,A ,Q,592,598.9,585.15,588.6,588.6,585,3567,86476,51294436,,bse,2016-05-17
500048,BEML LTD    ,A ,Q,909.9,914.55,896,903.05,903.05,902.7,885,12174,11039601,,bse,2016-05-17
500049,BHARAT ELECT,A ,Q,1141,1150,1125.4,1133.3,1133.3,1133.7,1462,17966,20446129,,bse,2016-05-17
500051,BHAG GAS    ,Z ,Q,0.51,0.55,0.51,0.52,0.52,0.53,11,3000,1545,,bse,2016-05-17
500052,BHANSALI ENG,B ,Q,21.3,21.75,20.5,20.6,20.6,20.8,207,51519,1090634,,bse,2016-05-17
500055,BHUSH STEEL ,A ,Q,37.1,37.3,36.75,36.85,36.85,36.7,242,27696,1026692,,bse,2016-05-17
500058,BIHAR SPONGE,XT,Q,2.27,2.35,2.16,2.35,2.35,2.27,29,14335,31005,,bse,2016-05-17
500059,BINANI IND. ,B ,Q,69.65,69.65,67.5,67.8,67.5,68.55,39,2885,197736,,bse,2016-05-17
500060,BIRLA ERIC. ,T ,Q,34.2,35,34,34.95,35,34.95,19,7791,268992,,bse,2016-05-17
500067,BLUE STAR   ,B ,Q,430,435,427.95,432.6,434.75,426.2,355,5825,2507060,,bse,2016-05-17
500068,DISA INDIA  ,XC,Q,3900,3980,3900,3933,3900,3871.5,8,99,389160,,bse,2016-05-17
500074,BPL LTD.    ,B ,Q,27.7,28.45,27.7,28.1,28.05,27.65,114,18572,522253,,bse,2016-05-17
500078,CAMPH.& ALL ,XC,Q,590,590,566,583.5,583.5,588.25,77,2028,1173110,,bse,2016-05-17
500083,CENTURY EXT ,B ,Q,1.94,1.94,1.86,1.9,1.92,1.94,19,19478,36798,,bse,2016-05-17
500084,CESC LTD.   ,A ,Q,537.5,542.7,535.35,538.2,538.2,534.6,1093,19065,10292201,,bse,2016-05-17
500085,CHAMBAL FERT,B ,Q,67.75,67.75,66.4,66.9,66.9,66.5,1122,80201,5365270,,bse,2016-05-17
500086,EXIDE IND.  ,A ,Q,147.15,149.45,146.5,147.65,147.6,147,936,63665,9438313,,bse,2016-05-17
500087,CIPLA LTD.  ,A ,Q,523.5,528.9,523,524.65,524.65,523.45,2479,64774,34035858,,bse,2016-05-17
500089,DIC INDIA   ,B ,Q,579,584,576,584,584,578.5,4,56,32499,,bse,2016-05-17
500092,CRISIL LTD  ,A ,Q,2082.5,2105.65,2070,2074.85,2072.1,2089.95,137,525,1097451,,bse,2016-05-17
500093,CROMPT.GREAV,A ,Q,61.8,62.1,60.8,61.3,61.3,61.45,1508,360560,22142487,,bse,2016-05-17
500096,DABUR (I)   ,A ,Q,286.3,286.85,280.4,281.85,280.55,285.6,1678,45668,12904206,,bse,2016-05-17
500097,DALMIASUG   ,B ,Q,99,99.3,97.5,98.2,98.2,99,272,14143,1391064,,bse,2016-05-17
500101,ARVIND Ltd  ,A ,Q,302.5,307.3,301,302.8,302.8,301.6,5736,265556,80838323,,bse,2016-05-17
500102,BALARPUR IND,B ,Q,17,17.4,16.65,17,17,16.75,490,267219,4563154,,bse,2016-05-17
500103,BHEL        ,A ,Q,122.3,123.35,120.6,121.2,121.2,121.55,4686,604816,73832597,,bse,2016-05-17
500104,HIND.PETRO  ,A ,Q,840.2,857,838,842.95,842.95,835.85,3403,88253,74873565,,bse,2016-05-17
500106,IFCI LTD    ,A ,Q,24.3,24.5,24.2,24.25,24.25,24.3,684,467757,11379502,,bse,2016-05-17
500108,MAHA.TELE   ,B ,Q,18.05,18.9,17.65,18,18,17.7,1855,777831,14129374,,bse,2016-05-17
500109,MRPL        ,A ,Q,68.45,69.3,67.7,67.85,67.85,68.25,799,96197,6570270,,bse,2016-05-17
500110,CHENNAI PET.,B ,Q,199.95,203.5,198.7,202.05,202.05,198,1692,71661,14445009,,bse,2016-05-17
500111,REL.CAP.    ,A ,Q,407,411.1,402.15,405.65,405.65,404.5,8740,413627,168235959,,bse,2016-05-17
500112,STATE BANK  ,A ,Q,178.5,178.95,175.3,177.05,177.05,177.2,21239,3425424,605816227,,bse,2016-05-17
500113,STEEL AUTH. ,A ,Q,41.05,41.45,40.7,41,40.75,41,1461,389340,15977941,,bse,2016-05-17
500114,TITAN       ,A ,Q,365.9,371,363.5,364.7,365.05,365.5,3149,141373,52118865,,bse,2016-05-17
500116,IDBI BANK L ,A ,Q,64.3,65.45,63.4,64.6,64.6,63.75,1552,371542,24006693,,bse,2016-05-17
500117,DCW LTD.    ,B ,Q,29.4,30.35,28.85,29.25,29.25,29.25,1211,269169,8004565,,bse,2016-05-17
500119,DHAMPUR SUGA,B ,Q,91,91.35,88,88.3,88.3,91.05,2264,83938,7504654,,bse,2016-05-17
500120,DIAMINES&CHM,XD,Q,42.35,42.5,39.5,40.2,40.4,41.85,62,9817,400287,,bse,2016-05-17
500123,ELANTAS     ,B ,Q,1510,1530,1490,1508,1508,1513.75,169,2234,3381552,,bse,2016-05-17
500124,DR.REDDY'S  ,A ,Q,3010,3034.65,3007.1,3014.85,3014.85,3004.25,1541,11965,36119171,,bse,2016-05-17
500125,E.I.D.PAR   ,A ,Q,238,241.9,233.1,238.1,238.1,235.2,2960,302964,72259597,,bse,2016-05-17
500126,MERCK LTD   ,B ,Q,735,740,715,719,719,726.75,870,8689,6321471,,bse,2016-05-17
500128,ELEC.CASTING,B ,Q,18.65,18.75,18.3,18.4,18.4,18.5,152,45612,847603,,bse,2016-05-17
500132,EMPEE SUGARS,XD,Q,7.11,7.3,6.65,7.21,7.3,7.29,140,33072,232076,,bse,2016-05-17
