SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,exchange,timestamp
500002,ABB LTD.    ,A ,Q,1086.35,1095.2,1046,1077.25,1077.25,1083.85,1030,8973,9670935,,bse,2016-02-24
500003,AEGIS LOGIS ,B ,Q,86.5,86.8,84.3,84.7,84.35,86.4,184,10053,860287,,bse,2016-02-24
500008,AMAR RAJA BA,A ,Q,875.5,888,861.7,883.15,884,879.1,1186,13429,11776422,,bse,2016-02-24
500009,A.SARABHAI  ,XD,Q,5.1,5.15,4.75,4.95,4.95,5.1,50,29786,147351,,bse,2016-02-24
500010,HDFC        ,A ,Q,1051,1051,1020,1022.95,1022.95,1051.1,5068,258334,267756928,,bse,2016-02-24
500012,ANDHRA PETRO,XC,Q,12.5,12.89,12.21,12.5,12.51,12.73,109,40139,497117,,bse,2016-02-24
500013,ANSAL INFRAS,B ,Q,15,15.8,15,15.65,15.65,15.7,231,143285,2239411,,bse,2016-02-24
500014,APPLE FINANC,XD,Q,2.31,2.31,2.15,2.18,2.18,2.28,15,10792,23281,,bse,2016-02-24
500020,BOM DYEING  ,B ,Q,42,42,40.95,41.25,41.25,42,906,114258,4727003,,bse,2016-02-24
500024,ASSAMCO     ,B ,Q,4.53,4.6,4.25,4.28,4.28,4.42,252,196950,861586,,bse,2016-02-24
500027,ATUL LTD.   ,A ,Q,1383.05,1384.25,1350,1357,1360,1382.05,86,638,872937,,bse,2016-02-24
500028,ATV PROJECTS,XT,Q,8.67,8.7,8.3,8.34,8.31,8.67,14,6625,57e3,,bse,2016-02-24
500029,AUTOLITE(I) ,B ,Q,43.55,43.55,43.5,43.5,43.5,44.65,3,227,9879,,bse,2016-02-24
500031,BAJAJ ELECT.,A ,Q,165.5,165.5,161.55,162.25,162,166,344,23754,3868145,,bse,2016-02-24
500032,BAJAJHIND   ,B ,Q,14.7,15.35,14.65,14.85,14.85,14.55,1174,664570,10044021,,bse,2016-02-24
500033,FORCE MOTR  ,B ,Q,2299,2349,2275,2290,2290,2308.5,4657,51640,119370367,,bse,2016-02-24
500034,BAJFINANCE  ,A ,Q,5870,5877.4,5765.05,5830.7,5818,5888.05,660,12494,73056778,,bse,2016-02-24
500038,BALRAM.CHINI,A ,Q,79.05,82.4,79.05,79.85,79.85,78.55,2102,262019,21187515,,bse,2016-02-24
500039,BANCO PROD. ,B ,Q,95.4,95.4,92,92.5,92,95.1,176,21429,1998790,,bse,2016-02-24
500040,CENTURY TEXT,A ,Q,445,446.5,437,439.85,439.85,452.05,3200,115922,51034286,,bse,2016-02-24
500041,BANNARI AMAN,B ,Q,1075.25,1115,1042.25,1075,1075,1047,60,1455,1605706,,bse,2016-02-24
500042,BASF INDIA  ,B ,Q,752.15,777.45,740,766.05,777.25,753.4,390,2342,1763890,,bse,2016-02-24
500043,BATA INDIA  ,A ,Q,468.9,471,460.1,463.9,463.9,473.95,1541,25671,11944828,,bse,2016-02-24
500048,BEML LTD    ,A ,Q,1015,1034.2,999,1017.95,1017.95,1013.15,3274,38019,38752349,,bse,2016-02-24
500049,BHARAT ELECT,A ,Q,1110,1137.8,1085,1091,1091,1116.55,3076,37962,42062406,,bse,2016-02-24
500051,BHAG GAS    ,Z ,Q,0.91,0.99,0.91,0.99,0.99,0.95,15,6222,5674,,bse,2016-02-24
500052,BHANSALI ENG,B ,Q,17.25,17.25,16.25,16.25,16.25,17.05,103,49504,811667,,bse,2016-02-24
500055,BHUSH STEEL ,A ,Q,34,34.35,33.35,33.65,33.55,33.9,279,32301,1088648,,bse,2016-02-24
500058,BIHAR SPONGE,XT,Q,2.44,2.44,2.44,2.44,2.44,2.56,2,211,514,,bse,2016-02-24
500059,BINANI IND. ,B ,Q,54,54,53.05,53.05,53.05,53.75,17,1269,67615,,bse,2016-02-24
500060,BIRLA ERIC. ,T ,Q,33.6,34,31.95,32.05,32.05,33.6,79,26205,846890,,bse,2016-02-24
500067,BLUE STAR   ,B ,Q,326.7,326.7,312.2,319.35,318.6,326.35,129,2479,784912,,bse,2016-02-24
500068,DISA INDIA  ,XC,Q,4082,4082,3999,3999.5,3999.5,4e3,6,9,36161,,bse,2016-02-24
500069,BNK CAPITAL ,XD,Q,23.05,24.25,23.05,24.25,24.25,23.15,6,1550,35902,,bse,2016-02-24
500074,BPL LTD.    ,B ,Q,27.2,28.4,27.2,27.6,27.6,28.25,269,39529,1099413,,bse,2016-02-24
500078,CAMPH.& ALL ,XC,Q,458,458,431,439.2,443.8,446.7,54,973,427823,,bse,2016-02-24
500083,CENTURY EXT ,B ,Q,1.95,2,1.93,1.96,1.96,1.93,13,15500,30295,,bse,2016-02-24
500084,CESC LTD.   ,A ,Q,440.05,445,432.45,438.6,439,446.3,1817,24776,10849993,,bse,2016-02-24
500085,CHAMBAL FERT,B ,Q,57.35,57.8,55.85,56.3,56,57.95,162,11582,656898,,bse,2016-02-24
500086,EXIDE IND.  ,A ,Q,126,129.95,124.2,128.15,129.95,126.3,949,78646,10040499,,bse,2016-02-24
500087,CIPLA LTD.  ,A ,Q,523,523,510.6,513.8,513.8,522.6,2493,86626,44588409,,bse,2016-02-24
500089,DIC INDIA   ,B ,Q,536,542.25,502,516,522,541.25,181,733,383147,,bse,2016-02-24
500092,CRISIL LTD  ,A ,Q,1815,1825,1796.05,1818.6,1820,1815.05,56,422,761290,,bse,2016-02-24
500093,CROMPT.GREAV,A ,Q,137.85,140.5,133.55,134.75,134.75,138.15,8491,1048436,143462289,,bse,2016-02-24
500096,DABUR (I)   ,A ,Q,240.1,242,234.75,236.35,236.35,238.1,1656,62416,14749266,,bse,2016-02-24
500097,DALMIASUG   ,B ,Q,65,66,63,63.4,63,64.15,90,3942,254589,,bse,2016-02-24
500101,ARVIND Ltd  ,A ,Q,278.1,278.1,267.7,269,269,278,3515,148482,40398392,,bse,2016-02-24
500102,BALARPUR IND,B ,Q,12.75,12.9,12.25,12.4,12.4,12.85,769,405482,5098078,,bse,2016-02-24
500103,BHEL        ,A ,Q,98.2,98.2,93.05,93.6,93.6,98.5,11227,1632102,155785166,,bse,2016-02-24
500104,HIND.PETRO  ,A ,Q,652.65,662.5,641,653.3,653.3,643.65,6018,123336,80658681,,bse,2016-02-24
500106,IFCI LTD    ,A ,Q,20.5,20.6,20.2,20.4,20.4,20.5,926,843422,17178778,,bse,2016-02-24
500108,MAHA.TELE   ,B ,Q,17,17.1,16.75,16.85,16.85,17,506,160977,2728258,,bse,2016-02-24
500109,MRPL        ,A ,Q,54.9,55.9,54.1,55.75,55.75,54.45,612,71406,3948330,,bse,2016-02-24
500110,CHENNAI PET.,B ,Q,177,177,170.5,171.4,171.4,174.2,1929,56238,9682256,,bse,2016-02-24
500111,REL.CAP.    ,A ,Q,325.9,331.35,322.4,324.05,324.05,327.1,7884,376855,123090365,,bse,2016-02-24
500112,STATE BANK  ,A ,Q,156.2,160.75,155.35,156.7,156.7,158.45,21804,2612373,413521328,,bse,2016-02-24
500113,STEEL AUTH. ,A ,Q,35.3,36.3,35.15,35.4,35.4,35.6,1290,279676,9983922,,bse,2016-02-24
500114,TITAN       ,A ,Q,332.45,332.45,324.5,327.4,327.4,329,1724,71218,23370027,,bse,2016-02-24
500116,IDBI BANK L ,A ,Q,55,57.8,54.7,56.4,56.4,55.7,3060,603990,34216359,,bse,2016-02-24
500117,DCW LTD.    ,B ,Q,20,20,19.5,19.6,19.6,20.2,418,97381,1917790,,bse,2016-02-24
500119,DHAMPUR SUGA,B ,Q,55.5,57.65,55.25,57,57.25,54.35,649,82182,4670363,,bse,2016-02-24
500120,DIAMINES&CHM,XD,Q,34.95,34.95,31.6,31.6,31.6,34.95,26,1550,50577,,bse,2016-02-24
500123,ELANTAS     ,B ,Q,1201,1230,1174,1183,1199,1233.75,376,5065,6041485,,bse,2016-02-24
500124,DR.REDDY'S  ,A ,Q,3060.5,3065.05,3002.5,3013.45,3013.45,3077.95,2429,22140,67172952,,bse,2016-02-24
500125,E.I.D.PAR   ,A ,Q,156.35,165.8,156.35,162.25,162.25,160.05,705,28866,4721460,,bse,2016-02-24
500126,MERCK LTD   ,B ,Q,646,650.25,644,646.75,647.75,646,72,2263,1462331,,bse,2016-02-24
500128,ELEC.CASTING,B ,Q,17.05,17.35,16.9,16.95,16.95,17.3,293,112725,1925152,,bse,2016-02-24
500132,EMPEE SUGARS,XD,Q,5.12,5.48,4.8,5.09,5,4.99,26,3770,19223,,bse,2016-02-24
500133,ESAB INDIA  ,B ,Q,459.75,459.75,445,451,445,455,24,419,189436,,bse,2016-02-24
500135,ESSEL PROP  ,B ,Q,138,140.4,135.85,137.65,137.8,138.9,136,2886,397261,,bse,2016-02-24
500136,ESTER INDUS.,B ,Q,43,43.7,41.65,42,42.2,42.9,340,60723,2582093,,bse,2016-02-24
500139,FEDDER.LLYOD,B ,Q,66.2,66.2,62.2,62.75,62.75,66.15,855,49799,3158246,,bse,2016-02-24
