SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,exchange,timestamp
500002,ABB LTD.    ,A ,Q,1600.05,1601,1518.9,1529,1529,1598.8,2900,39153,60499228,,bse,2017-05-11
500003,AEGIS LOGIS ,B ,Q,186,194.9,186,193.65,193.65,184.9,977,93095,17756851,,bse,2017-05-11
500008,AMAR RAJA BA,A ,Q,904.1,925.95,904.1,923.25,923.25,897.7,3361,103113,94478468,,bse,2017-05-11
500009,A.SARABHAI  ,XT,Q,11.9,11.9,11.3,11.39,11.39,11.44,73,64506,744562,,bse,2017-05-11
500010,HDFC        ,A ,Q,1572.8,1580,1555.15,1561.7,1561.7,1572.8,2292,336193,528229907,,bse,2017-05-11
500012,ANDHRA PETRO,XC,Q,29,29.2,28.4,28.7,28.7,28.85,133,35121,1009988,,bse,2017-05-11
500013,ANSAL INFRAS,B ,Q,30.5,32.35,30.3,30.6,30.6,30.5,1152,361301,11288939,,bse,2017-05-11
500014,APPLE FINANC,XT,Q,4.15,4.36,3.99,4.01,4.14,4.19,68,67528,273641,,bse,2017-05-11
500020,BOM DYEING  ,B ,Q,84.95,86.75,83.8,84.4,84.4,84.95,2376,569797,48637199,,bse,2017-05-11
500023,ASIANHOTNR  ,B ,Q,140.1,145,140.1,144,144,142,10,1062,151350,,bse,2017-05-11
500024,ASSAMCO     ,B ,Q,7.23,7.3,7.03,7.1,7.1,7.18,224,216716,1557640,,bse,2017-05-11
500027,ATUL LTD.   ,A ,Q,2539,2544.1,2509.4,2522.6,2522.6,2519.3,325,2368,5975990,,bse,2017-05-11
500028,ATV PROJECTS,XT,Q,6.65,7.14,6.62,7.05,7.14,6.96,26,8141,56186,,bse,2017-05-11
500029,AUTOLITE(I) ,B ,Q,58.05,59.6,58.05,58.3,58.3,59.5,28,3288,192547,,bse,2017-05-11
500031,BAJAJ ELECT.,A ,Q,352,356.95,350.65,351.45,351.45,351.2,372,27178,9589013,,bse,2017-05-11
