SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,exchange,timestamp
500002,ABB LTD.    ,A ,Q,1219.05,1227.8,1189,1199.6,1199.6,1211.4,1278,9327,11212984,NA,bse,2016-06-28
500003,AEGIS LOGIS ,B ,Q,130.9,131.3,127.5,129.15,129.15,128.7,1337,82560,10699035,NA,bse,2016-06-28
500008,AMAR RAJA BA,A ,Q,855,869,855,861.6,869,850.25,638,106921,91676219,NA,bse,2016-06-28
500009,A.SARABHAI  ,XD,Q,7.73,8,7.25,7.44,7.44,7.19,68,40860,310924,NA,bse,2016-06-28
500010,HDFC        ,A ,Q,1219,1232.75,1212,1229,1228,1216.95,2605,55471,67851320,NA,bse,2016-06-28
500012,ANDHRA PETRO,XC,Q,13,13.25,13,13.14,13.1,13.19,62,14228,186568,NA,bse,2016-06-28
500013,ANSAL INFRAS,B ,Q,20.35,20.9,19.9,20.65,20.65,20.1,434,84961,1736955,NA,bse,2016-06-28
500014,APPLE FINANC,XD,Q,2.11,2.3,2.11,2.13,2.13,2.1,29,16924,37950,NA,bse,2016-06-28
500020,BOM DYEING  ,B ,Q,46,46.4,45.5,45.65,45.65,45.7,1410,250166,11500660,NA,bse,2016-06-28
500024,ASSAMCO     ,B ,Q,6.14,6.4,6.1,6.24,6.24,6.02,678,571507,3584401,NA,bse,2016-06-28
500027,ATUL LTD.   ,A ,Q,1913,1922,1863,1873.1,1873.1,1912.85,594,6772,12733148,NA,bse,2016-06-28
500028,ATV PROJECTS,XT,Q,6.52,7,6.52,6.9,6.62,6.79,19,8132,54965,NA,bse,2016-06-28
500029,AUTOLITE(I) ,B ,Q,46.15,53.5,46.15,49.25,49.25,48.35,48,7079,355342,NA,bse,2016-06-28
500031,BAJAJ ELECT.,A ,Q,224.2,224.2,221,221.65,221.65,224.1,261,13522,3006537,NA,bse,2016-06-28
500032,BAJAJHIND   ,B ,Q,21.6,22.1,21,21.25,21.25,21.45,3022,1835372,39403993,NA,bse,2016-06-28
500033,FORCE MOTR  ,B ,Q,2940,3e3,2940,2979.45,2979.45,2950.35,4413,47294,141076214,NA,bse,2016-06-28
500034,BAJFINANCE  ,A ,Q,7721,7721,7620,7657.55,7620,7679.95,1001,6387,49077167,NA,bse,2016-06-28
500038,BALRAM.CHINI,A ,Q,124.9,128.35,122.25,123.3,123.3,124.4,7380,719123,89961788,NA,bse,2016-06-28
500039,BANCO PROD. ,B ,Q,138,144.5,137,143.1,143.1,137.65,1027,55836,7931453,NA,bse,2016-06-28
500040,CENTURY TEXT,A ,Q,637.1,644.8,636.5,639.9,639.9,637.9,3583,172431,110407358,NA,bse,2016-06-28
500041,BANNARI AMAN,B ,Q,2199.9,2242.25,2111.05,2154,2154,2160.65,319,1678,3677316,NA,bse,2016-06-28
500042,BASF INDIA  ,B ,Q,1031.25,1076.4,1019.95,1061.8,1061.8,1025.15,883,6105,6446107,NA,bse,2016-06-28
500043,BATA INDIA  ,A ,Q,531.4,543.5,522.45,539.15,539.15,524.75,1921,42769,23006463,NA,bse,2016-06-28
500048,BEML LTD    ,A ,Q,837,848.2,837,839.65,839.65,837.55,1737,19345,16303075,NA,bse,2016-06-28
500049,BHARAT ELECT,A ,Q,1262,1268.4,1246,1253.45,1253.45,1259.15,2471,29675,37267711,NA,bse,2016-06-28
500052,BHANSALI ENG,B ,Q,19.95,20.15,19.4,19.5,19.5,19.65,167,54240,1070043,NA,bse,2016-06-28
500055,BHUSH STEEL ,A ,Q,37.75,38.6,37.75,38.2,38.3,37.75,254,34486,1318614,NA,bse,2016-06-28
500058,BIHAR SPONGE,XT,Q,2.38,2.61,2.38,2.61,2.61,2.49,3,250,618,NA,bse,2016-06-28
500059,BINANI IND. ,B ,Q,71.9,84.05,71.9,84.05,84.05,70.05,2236,213538,17260467,NA,bse,2016-06-28
500060,BIRLA ERIC. ,T ,Q,34.5,36,34.5,35.1,35.5,34.9,41,8979,315524,NA,bse,2016-06-28
500067,BLUE STAR   ,B ,Q,420,421.35,416,419.9,420,418.25,76,856,358578,NA,bse,2016-06-28
500068,DISA INDIA  ,XC,Q,3998,4e3,3990,4e3,4e3,3903.75,11,49,195966,NA,bse,2016-06-28
500069,BNK CAPITAL ,XD,Q,28.5,28.55,28.5,28.55,28.55,28.45,5,2000,57050,NA,bse,2016-06-28
500074,BPL LTD.    ,B ,Q,36.6,37.2,35.25,35.45,35.45,35.2,1435,250605,9090480,NA,bse,2016-06-28
500078,CAMPH.& ALL ,XC,Q,515,520,510,517.15,510,512.5,56,3256,1680240,NA,bse,2016-06-28
500083,CENTURY EXT ,B ,Q,2.18,2.2,2.18,2.2,2.2,2.1,10,7119,15591,NA,bse,2016-06-28
500084,CESC LTD.   ,A ,Q,579.05,587.2,575.85,584.65,585,579.75,1117,11414,6633769,NA,bse,2016-06-28
500085,CHAMBAL FERT,B ,Q,67.45,68.5,66.2,68.05,68.05,66.9,989,67117,4559409,NA,bse,2016-06-28
500086,EXIDE IND.  ,A ,Q,169.9,169.9,166,166.65,166.3,167.3,1634,138464,23181838,NA,bse,2016-06-28
500087,CIPLA LTD.  ,A ,Q,491,498.8,486.8,496.85,496.85,489,5178,256791,126998579,NA,bse,2016-06-28
500089,DIC INDIA   ,B ,Q,587.5,590,580,584.7,584.7,580.1,24,130,75905,NA,bse,2016-06-28
500092,CRISIL LTD  ,A ,Q,2055,2064.95,2025.6,2030.15,2025.6,2068.4,193,646,1320052,NA,bse,2016-06-28
500093,CROMPT.GREAV,A ,Q,71.55,72.9,71.05,71.35,71.35,71.75,2324,372860,26822301,NA,bse,2016-06-28
500096,DABUR (I)   ,A ,Q,319,320,311.75,312.7,312.7,318.45,2558,108124,34033787,NA,bse,2016-06-28
500097,DALMIASUG   ,B ,Q,135.8,147.9,135.8,141.35,140,131.2,8789,621758,88023188,NA,bse,2016-06-28
500101,ARVIND Ltd  ,A ,Q,324.05,327.7,321.9,323.8,323.8,322.9,4801,296925,96488622,NA,bse,2016-06-28
500102,BALARPUR IND,B ,Q,15.8,16.05,15.55,15.65,15.65,15.8,282,191141,3014993,NA,bse,2016-06-28
500103,BHEL        ,A ,Q,119.95,120.55,118.7,119.2,119.2,119.05,4206,458135,54740333,NA,bse,2016-06-28
500104,HIND.PETRO  ,A ,Q,975.5,997.8,975.5,992.55,992.55,973.25,5395,121885,120740473,NA,bse,2016-06-28
