SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,exchange,timestamp
500002,ABB LTD.    ,A ,Q,1467.6,1481,1440.3,1453.45,1453.45,1467.55,502,4279,6259197,NA,bse,2017-05-30
500003,AEGIS LOGIS ,B ,Q,200,206.45,196,204.45,204.45,199.85,1210,69864,14049658,NA,bse,2017-05-30
500008,AMAR RAJA BA,A ,Q,868.5,869.05,846.25,864.35,864.35,857.2,906,17851,15397724,NA,bse,2017-05-30
500009,A.SARABHAI  ,XD,Q,9.88,10.25,9.45,9.63,9.63,9.79,45,27385,268536,NA,bse,2017-05-30
500010,HDFC        ,A ,Q,1598.8,1605,1575.45,1581.75,1580,1598.8,1833,65766,104552378,NA,bse,2017-05-30
500012,ANDHRA PETRO,XC,Q,24.9,26.1,24.2,25.4,26.1,25.2,246,47847,1194175,NA,bse,2017-05-30
500013,ANSAL INFRAS,B ,Q,24.3,24.6,23.3,24.3,24.3,24.3,601,150671,3610209,NA,bse,2017-05-30
500014,APPLE FINANC,XT,Q,4.05,4.25,4,4.25,4.25,4.21,26,33975,137057,NA,bse,2017-05-30
500020,BOM DYEING  ,B ,Q,70,72.1,68.55,71.75,71.75,70.6,1846,537484,37905412,NA,bse,2017-05-30
500023,ASIANHOTNR  ,B ,Q,136.05,143.55,136.05,143.55,143.55,137.8,2,360,50328,NA,bse,2017-05-30
500024,ASSAMCO     ,B ,Q,6.24,6.48,6.09,6.23,6.23,6.19,218,154749,968572,NA,bse,2017-05-30
500027,ATUL LTD.   ,A ,Q,2485,2528.95,2485,2504.95,2504.45,2492.2,62,2073,5216653,NA,bse,2017-05-30
500028,ATV PROJECTS,XT,Q,7.3,7.63,7.3,7.63,7.63,7.27,59,48765,361840,NA,bse,2017-05-30
500029,AUTOLITE(I) ,B ,Q,57.85,58,57.65,57.65,57.65,59.5,3,322,18614,NA,bse,2017-05-30
500030,AUTORID.FIN ,T ,Q,1.18,1.18,1.18,1.18,1.18,1.24,1,100,118,NA,bse,2017-05-30
500031,BAJAJ ELECT.,A ,Q,349,349,340.1,342.7,346,348.8,613,20400,6997445,NA,bse,2017-05-30
500032,BAJAJHIND   ,B ,Q,15.55,15.9,15.4,15.55,15.55,15.85,638,557926,8699242,NA,bse,2017-05-30
500033,FORCE MOTR  ,B ,Q,4219.9,4298,4171,4279.9,4279.9,4215.25,3049,29126,123807986,NA,bse,2017-05-30
500034,BAJFINANCE  ,A ,Q,1309,1324.7,1303.1,1321.4,1322.05,1307.65,2445,45877,60460281,NA,bse,2017-05-30
500038,BALRAM.CHINI,A ,Q,158.25,158.3,152.7,156.3,156.3,158.85,1698,292368,45423518,NA,bse,2017-05-30
500039,BANCO PROD. ,B ,Q,218.7,218.9,213.75,215.3,215.3,219.1,347,12092,2605734,NA,bse,2017-05-30
500040,CENTURY TEXT,A ,Q,1040,1066,1034,1059.7,1060,1038.55,2007,69663,73222516,NA,bse,2017-05-30
500041,BANNARI AMAN,B ,Q,1878,1886.45,1850,1850.8,1850,1880,22,94,176163,NA,bse,2017-05-30
500042,BASF INDIA  ,B ,Q,1307.7,1311.85,1286.5,1298.65,1298.65,1309.8,196,963,1250330,NA,bse,2017-05-30
500043,BATA INDIA  ,A ,Q,542.05,564.75,538,542.3,542.3,528.6,6844,212550,117110522,NA,bse,2017-05-30
500048,BEML LTD    ,A ,Q,1188.55,1190.5,1159.65,1170.55,1170.55,1180.1,998,15842,18604805,NA,bse,2017-05-30
500049,BHARAT ELECT,A ,Q,173.3,173.5,169.55,170.25,170.25,172.75,3356,330772,56638308,NA,bse,2017-05-30
500052,BHANSALI ENG,B ,Q,40.7,40.8,38.75,39.2,39.2,40.5,1195,308778,12162118,NA,bse,2017-05-30
500055,BHUSH STEEL ,B ,Q,83.75,85.45,81.95,83.3,83.45,85.1,2033,226157,18904283,NA,bse,2017-05-30
500058,BIHAR SPONGE,XT,Q,1.87,2,1.86,1.97,1.97,1.95,14,9051,17423,NA,bse,2017-05-30
500059,BINANI IND. ,B ,Q,74.05,75.8,72.95,74.5,74.35,74.15,207,12668,940733,NA,bse,2017-05-30
500060,BIRLACABLE  ,B ,Q,42,42,39.1,39.6,40,40.85,36,6914,281938,NA,bse,2017-05-30
500067,BLUE STAR   ,B ,Q,636.3,642.9,628.15,630.05,630,635.4,110,2611,1648704,NA,bse,2017-05-30
500068,DISA INDIA  ,XC,Q,4700,4799.85,4680,4683.05,4680,4705,21,234,1096899,NA,bse,2017-05-30
500069,BNK CAPITAL ,XD,Q,69.1,71,67.45,67.55,67.45,71,25,2456,166606,NA,bse,2017-05-30
500074,BPL LTD.    ,B ,Q,70,71.5,68.4,69.9,69.9,70.95,572,77278,5399912,NA,bse,2017-05-30
500078,CAMPH.& ALL ,XC,Q,762.05,766,756,756,756,772,13,296,225399,NA,bse,2017-05-30
500083,CENTURY EXT ,B ,Q,5.01,5.42,4.92,5.17,5.3,5.17,37,21194,109352,NA,bse,2017-05-30
500084,CESC LTD.   ,A ,Q,889.25,898.55,878.95,893.75,893.75,889.1,1158,14835,13204110,NA,bse,2017-05-30
500085,CHAMBAL FERT,B ,Q,118,127,115.75,118.25,118.25,119.55,2337,220747,26371068,NA,bse,2017-05-30
500086,EXIDE IND.  ,A ,Q,228,232.85,225.5,227.55,227.55,228.25,910,106978,24513713,NA,bse,2017-05-30
500087,CIPLA LTD.  ,A ,Q,505,517.5,503,511.1,511.1,504.15,2145,112667,57709020,NA,bse,2017-05-30
500089,DIC INDIA   ,B ,Q,470,470,445.25,450.25,459.5,474.05,53,562,255967,NA,bse,2017-05-30
500092,CRISIL LTD  ,A ,Q,1870,1877.5,1848,1851.45,1848,1859.6,2143,20028,37238121,NA,bse,2017-05-30
500093,CGPOWER     ,A ,Q,79.5,83.4,77.5,82.65,82.65,78.95,4273,941922,75734755,NA,bse,2017-05-30
500096,DABUR (I)   ,A ,Q,279.9,282.8,275.3,278.25,278.25,278.5,2169,149121,41666499,NA,bse,2017-05-30
500097,DALMIASUG   ,B ,Q,137.6,140.4,136,137.4,138,138.85,202,10771,1486971,NA,bse,2017-05-30
500101,ARVIND Ltd  ,A ,Q,375.7,381.75,373.25,377.45,377.45,376.6,1398,164230,61668251,NA,bse,2017-05-30
500102,BALARPUR IND,B ,Q,19.2,19.5,18.8,19,19,19.25,529,346297,6607005,NA,bse,2017-05-30
500103,BHEL        ,A ,Q,146.7,146.9,133.65,140,140,153.3,22977,3612979,503839046,NA,bse,2017-05-30
500104,HIND.PETRO  ,A ,Q,545,560,536.05,555.1,555.1,546.15,3576,282565,154352138,NA,bse,2017-05-30
500106,IFCI LTD    ,A ,Q,24.25,25,23.55,24.85,24.85,24.4,1775,1135877,27729751,NA,bse,2017-05-30
500108,MAHA.TELE   ,B ,Q,21.6,21.6,21.1,21.25,21.25,21.55,810,299780,6376704,NA,bse,2017-05-30
500109,MRPL        ,A ,Q,128.5,131,127.05,129.4,129.4,129.25,1353,128581,16608379,NA,bse,2017-05-30
500110,CHENNAI PET.,B ,Q,372.65,378.15,367.1,376.45,376.45,372.25,903,42822,15941246,NA,bse,2017-05-30
500111,REL.CAP.    ,A ,Q,539,561.8,524,551.8,551.8,539.55,15379,1030770,566222105,NA,bse,2017-05-30
500112,STATE BANK  ,A ,Q,283.9,289.45,281.15,288.8,288.8,284.4,10655,699527,200665929,NA,bse,2017-05-30
500113,STEEL AUTH. ,A ,Q,59,59,57.3,58.45,58.45,58.7,2087,683393,39707218,NA,bse,2017-05-30
500114,TITAN       ,A ,Q,472.5,472.5,462.8,469.4,469.4,472.05,2234,190635,89064384,NA,bse,2017-05-30
500116,IDBI BANK L ,A ,Q,59.95,61.3,58.85,60.95,60.95,60.2,2078,535252,32343967,NA,bse,2017-05-30
500117,DCW LTD.    ,B ,Q,36.5,38.5,35.15,35.6,35.6,36.5,1009,336720,12185392,NA,bse,2017-05-30
500119,DHAMPUR SUGA,B ,Q,191.05,191.1,180.1,183.2,183.2,191.25,1291,115237,21342987,NA,bse,2017-05-30
500120,DIAMINES&CHM,XD,Q,75.1,76,73.05,73.25,73.25,75.4,61,4261,315513,NA,bse,2017-05-30
500123,ELANTAS     ,B ,Q,1906,1930,1888,1900.4,1900,1910.9,134,1244,2363035,NA,bse,2017-05-30
500124,DR.REDDY'S  ,A ,Q,2424.85,2499,2424.85,2481.4,2481.4,2424.85,3588,34828,86355423,NA,bse,2017-05-30
500125,E.I.D.PAR   ,A ,Q,312,321.5,310.55,317.05,315.65,311.5,1690,56623,17963236,NA,bse,2017-05-30
500126,MERCK LTD   ,B ,Q,1019.25,1039,1014.05,1028.5,1030,1025.7,245,1126,1158170,NA,bse,2017-05-30
500128,ELEC.CASTING,B ,Q,34.5,34.85,34.25,34.5,34.5,34.9,315,95585,3299042,NA,bse,2017-05-30
500132,EMPEE SUGARS,XT,Q,5.31,5.76,5.29,5.3,5.76,5.56,44,28544,152213,NA,bse,2017-05-30
500133,ESAB INDIA  ,B ,Q,562,567.15,551,553.3,553.3,576.85,32,329,183936,NA,bse,2017-05-30
500135,ESSEL PROP  ,B ,Q,255,258.7,252.85,256.2,258,258.15,136,3804,969673,NA,bse,2017-05-30
500136,ESTER INDUS.,B ,Q,37.8,37.95,37.45,37.6,37.6,37.4,43,3416,128463,NA,bse,2017-05-30
500139,FEDDER.LLYOD,B ,Q,76,76.7,74.4,75,75.2,75.6,149,9130,688463,NA,bse,2017-05-30
500141,FERRO ALLOYS,XC,Q,10.6,10.6,10.23,10.33,10.35,10.72,130,51303,531092,NA,bse,2017-05-30
500142,FGP LTD.    ,XT,Q,1.99,1.99,1.99,1.99,1.99,2.09,1,141,280,NA,bse,2017-05-30
500143,P.H.CAPITAL ,XD,Q,27.65,27.65,27.65,27.65,27.65,28.9,2,600,16590,NA,bse,2017-05-30
500144,FINOL. CABLE,A ,Q,513,520,509.4,516.15,517.8,512.6,182,9841,5064871,NA,bse,2017-05-30
500147,CMI FPE     ,XC,Q,577,577,550.5,574.1,573.95,568.05,16,739,421860,NA,bse,2017-05-30
500148,UFLEX LTD   ,B ,Q,339.3,342.95,333,335.7,335.05,339.6,770,20192,6813960,NA,bse,2017-05-30
500150,FOSECO INDIA,B ,Q,1381,1382,1381,1382,1382,1400,6,12,16578,NA,bse,2017-05-30
500151,GOLDEN TOB  ,T ,Q,62.05,62.1,62,62.05,62.05,64.95,6,144,8934,NA,bse,2017-05-30
500153,GANESH BENZO,XC,Q,36.1,37.5,35.7,35.85,35.85,37.1,226,54863,1982565,NA,bse,2017-05-30
500155,GARDEN SILK ,B ,Q,30.5,30.5,29.05,29.5,29.5,30.05,79,8221,242464,NA,bse,2017-05-30
500159,METROGLOBL  ,XC,Q,73.55,77.7,69,75.2,77,79.5,191,18534,1345159,NA,bse,2017-05-30
500160,GTL LTD.    ,B ,Q,13.9,14.25,13.9,13.95,13.9,14.15,159,47359,663131,NA,bse,2017-05-30
500163,GODFREY PH  ,B ,Q,1191,1241.9,1177.1,1214.15,1214.15,1203.05,1694,15186,18388261,NA,bse,2017-05-30
500164,GODREJ IND  ,A ,Q,585,612.75,581.25,609.55,609.55,585.65,1853,76572,46007820,NA,bse,2017-05-30
500165,KANSAI NERO ,A ,Q,405.6,410,401.6,407.35,409,407.5,344,13677,5555881,NA,bse,2017-05-30
500166,GOODRICKE   ,XC,Q,237.05,242.75,234,235.5,236,240.8,60,2685,635765,NA,bse,2017-05-30
500168,GOODYEAR (I),B ,Q,803,825,802,805.4,805.4,813.75,460,7361,5945538,NA,bse,2017-05-30
500170,GTN INDUS   ,B ,Q,17.1,18,17.1,17.75,17.75,18,9,1280,22186,NA,bse,2017-05-30
500171,GHCL LTD    ,B ,Q,246,246,241,243.6,244.05,246,231,11880,2893957,NA,bse,2017-05-30
500173,GUJ.FLOURO  ,B ,Q,692.4,711.3,663,697.6,693.65,684.75,1002,17666,12161747,NA,bse,2017-05-30
500174,GUJ.LEASE   ,T ,Q,2.57,2.57,2.57,2.57,2.57,2.7,6,4300,11051,NA,bse,2017-05-30
500179,HCL INFOSYS ,B ,Q,48.9,48.9,47.4,47.8,47.7,48.55,1035,185049,8852858,NA,bse,2017-05-30
500180,HDFC BANK   ,A ,Q,1632,1632,1616.75,1628.85,1628.85,1632.05,1206,39120,63577241,NA,bse,2017-05-30
500182,HEROMOTOCO  ,A ,Q,3674,3752,3663.6,3739.5,3748.6,3667.5,2648,28522,105832050,NA,bse,2017-05-30
500183,HIMACHAL FUT,B ,Q,13.05,13.25,12.8,12.95,12.95,13,459,459569,5977970,NA,bse,2017-05-30
500184,HSCL        ,B ,Q,61.8,61.85,59.5,61.65,61.65,60.2,403,52272,3188238,NA,bse,2017-05-30
500185,HIND.CONSTN.,A ,Q,40.6,40.6,38.85,39.75,39.75,40.5,3993,1174820,46440442,NA,bse,2017-05-30
500186,HIND.OIL EXP,B ,Q,72.1,73.3,71.5,72.7,72.7,72.95,590,71926,5208243,NA,bse,2017-05-30
500187,HSIL        ,B ,Q,343.1,346.75,342.3,346.1,346.1,346.55,87,3250,1122467,NA,bse,2017-05-30
500188,HINDUS.ZI   ,A ,Q,239,244.2,235.65,243.2,242.9,238.75,1627,175757,42076779,NA,bse,2017-05-30
