SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,exchange,timestamp
500002,ABB LTD.    ,A ,Q,1090.1,1156.3,1090.1,1119.15,1114,1101.3,3079,29705,33666704,,bse,2016-02-09
500003,AEGIS LOGIS ,B ,Q,92.1,94.4,91,92.35,92.35,93,236,13064,1207707,,bse,2016-02-09
500008,AMAR RAJA BA,A ,Q,870,870,850.15,866.25,866.25,871.25,1259,14369,12360855,,bse,2016-02-09
500009,A.SARABHAI  ,XD,Q,5.55,5.98,5.55,5.95,5.95,5.94,40,12744,72676,,bse,2016-02-09
500010,HDFC        ,A ,Q,1157.5,1168.35,1140.7,1159.8,1159.8,1161.75,2811,78492,90571466,,bse,2016-02-09
500012,ANDHRA PETRO,XC,Q,13.5,14,13.25,13.73,13.72,13.47,143,55924,772857,,bse,2016-02-09
500013,ANSAL INFRAS,B ,Q,17.3,17.65,17.2,17.5,17.6,17.55,196,14453,252065,,bse,2016-02-09
500014,APPLE FINANC,XD,Q,2.3,2.47,2.3,2.47,2.47,2.34,13,3958,9181,,bse,2016-02-09
500020,BOM DYEING  ,B ,Q,48.05,48.05,46.65,47.7,47.7,49.2,1259,151252,7179544,,bse,2016-02-09
500024,ASSAMCO     ,B ,Q,5,5.25,5,5.09,5.09,5.1,240,320524,1647187,,bse,2016-02-09
500027,ATUL LTD.   ,A ,Q,1451,1484.4,1450.05,1468.45,1468.45,1467.65,119,692,1013153,,bse,2016-02-09
500028,ATV PROJECTS,XT,Q,8,8.37,8,8.37,8.37,7.98,77,35940,299184,,bse,2016-02-09
500029,AUTOLITE(I) ,B ,Q,52.15,55.15,52.1,53.5,53.5,53.55,67,3503,187088,,bse,2016-02-09
500030,AUTORID.FIN ,T ,Q,1.07,1.07,1.07,1.07,1.07,1.02,1,1,1,,bse,2016-02-09
500031,BAJAJ ELECT.,A ,Q,177,182,176.55,178.15,178.15,178.65,571,19310,3457999,,bse,2016-02-09
500032,BAJAJHIND   ,B ,Q,16.8,16.85,16.2,16.6,16.6,16.5,831,613720,10166943,,bse,2016-02-09
500033,FORCE MOTR  ,B ,Q,2596,2668,2563,2646,2646,2640,5271,76156,199287233,,bse,2016-02-09
500034,BAJFINANCE  ,A ,Q,6625,6659.4,6412.7,6586.9,6586.9,6625.3,1268,6115,39944064,,bse,2016-02-09
500038,BALRAM.CHINI,A ,Q,87,90.8,84.7,85.35,85.35,89.65,7395,903713,78825199,,bse,2016-02-09
500039,BANCO PROD. ,B ,Q,113.8,115.8,108.5,109.2,109.2,114.5,434,19395,2158595,,bse,2016-02-09
500040,CENTURY TEXT,A ,Q,470,479,463.05,474.3,474.3,476.35,4071,130946,61546262,,bse,2016-02-09
500042,BASF INDIA  ,B ,Q,733.05,765,722.8,757.9,757.9,728,748,9049,6721156,,bse,2016-02-09
500043,BATA INDIA  ,A ,Q,477,484,473,481.6,481.6,487.7,812,18209,8724175,,bse,2016-02-09
500048,BEML LTD    ,A ,Q,1030,1043,997.15,1010.55,1010.55,1037.85,1641,24835,25246901,,bse,2016-02-09
500049,BHARAT ELECT,A ,Q,1220,1223.6,1201,1207.4,1205,1230.75,1661,25311,30588109,,bse,2016-02-09
500051,BHAG GAS    ,Z ,Q,0.95,0.95,0.95,0.95,0.95,1,1,100,95,,bse,2016-02-09
500052,BHANSALI ENG,B ,Q,18.8,19.1,17.85,18,18,18.95,416,98561,1784572,,bse,2016-02-09
500055,BHUSH STEEL ,A ,Q,38.1,38.55,37.35,38,38,38.65,586,60368,2297236,,bse,2016-02-09
500058,BIHAR SPONGE,XT,Q,2.97,2.97,2.83,2.94,2.94,2.97,16,1546,4450,,bse,2016-02-09
500059,BINANI IND. ,B ,Q,60.35,60.9,59.5,59.7,60,61,67,5039,303371,,bse,2016-02-09
500060,BIRLA ERIC. ,T ,Q,46.95,47.5,44.5,44.65,44.65,46.8,14,5630,255783,,bse,2016-02-09
500067,BLUE STAR   ,B ,Q,345,349.5,340,342.65,340,349.5,88,543,185946,,bse,2016-02-09
500068,DISA INDIA  ,XC,Q,4300,4350,4255,4289.5,4350,4410,15,56,240637,,bse,2016-02-09
500069,BNK CAPITAL ,XD,Q,31,31.85,30.9,30.9,30.9,32.5,6,123,3812,,bse,2016-02-09
500074,BPL LTD.    ,B ,Q,29.35,30.25,29.35,29.8,29.8,30.1,118,16398,485618,,bse,2016-02-09
500078,CAMPH.& ALL ,XC,Q,455,472.7,455,462.8,462.8,472,46,1726,800906,,bse,2016-02-09
