SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,exchange,timestamp
500002,ABB LTD.    ,A ,Q,1274,1282.9,1236,1239.1,1239.1,1267.5,1246,5998,7524478,NA,bse,2016-05-03
500003,AEGIS LOGIS ,B ,Q,118.4,118.65,113.2,114.5,114.5,117.35,1184,67000,7765355,NA,bse,2016-05-03
500008,AMAR RAJA BA,A ,Q,958,965,952,956.35,956.35,957.4,1194,13065,12535411,NA,bse,2016-05-03
500009,A.SARABHAI  ,XD,Q,10.11,10.82,10.11,10.45,10.45,10.5,75,62327,651005,NA,bse,2016-05-03
500010,HDFC        ,A ,Q,1100,1116,1096,1099.5,1099.5,1092.75,6332,232838,256481111,NA,bse,2016-05-03
500012,ANDHRA PETRO,XC,Q,14.2,15.85,14.2,15.35,15.35,15.4,101,49012,755281,NA,bse,2016-05-03
500013,ANSAL INFRAS,B ,Q,19.1,19.5,19,19.1,19,18.85,172,29974,578242,NA,bse,2016-05-03
500014,APPLE FINANC,XD,Q,2.07,2.28,2.06,2.15,2.15,2.11,24,5550,11916,NA,bse,2016-05-03
500020,BOM DYEING  ,B ,Q,50,51.4,49.65,50,50,49.9,1420,244401,12370876,NA,bse,2016-05-03
500023,ASIANHOTNR  ,B ,Q,112,114,112,114,114,112,2,100,11302,NA,bse,2016-05-03
500024,ASSAMCO     ,B ,Q,5.91,6.09,5.76,5.79,5.79,5.93,282,318530,1892405,NA,bse,2016-05-03
500027,ATUL LTD.   ,A ,Q,1750.6,1843,1734.4,1831.2,1831.2,1723.1,1548,10058,18202787,NA,bse,2016-05-03
500028,ATV PROJECTS,XT,Q,7.2,7.2,6.95,7.12,7.15,7.1,34,7473,53260,NA,bse,2016-05-03
500029,AUTOLITE(I) ,B ,Q,56.95,57.6,55.1,56,56,55.5,72,7206,405377,NA,bse,2016-05-03
500031,BAJAJ ELECT.,A ,Q,231.1,235.5,228.25,229.35,229.35,231,912,48717,11374196,NA,bse,2016-05-03
500032,BAJAJHIND   ,B ,Q,20.2,20.6,19.65,19.7,19.7,20,988,489059,9833370,NA,bse,2016-05-03
500033,FORCE MOTR  ,B ,Q,3519,3533,3411,3423,3423,3506,7923,114206,396653793,NA,bse,2016-05-03
500034,BAJFINANCE  ,A ,Q,7090,7120,6922,6979.7,6945.35,7049.15,716,3427,24111884,NA,bse,2016-05-03
500038,BALRAM.CHINI,A ,Q,109.7,110.35,105.45,106.65,106.65,108.1,2558,300687,32404479,NA,bse,2016-05-03
500039,BANCO PROD. ,B ,Q,131.9,133.8,131,131.7,132.4,130.5,115,5660,751690,NA,bse,2016-05-03
500040,CENTURY TEXT,A ,Q,640,644.8,608.4,611.7,611.7,638.55,8660,295440,184822885,NA,bse,2016-05-03
500041,BANNARI AMAN,B ,Q,1831,1831,1745,1747.75,1745,1832,165,1544,2719224,NA,bse,2016-05-03
500042,BASF INDIA  ,B ,Q,915,942,915,925.1,929.5,908.25,543,3637,3387209,NA,bse,2016-05-03
500043,BATA INDIA  ,A ,Q,581.1,583.9,565.4,569.6,566,580,2247,42755,24535219,NA,bse,2016-05-03
500048,BEML LTD    ,A ,Q,923.5,940.4,909.95,915.35,915.35,918.2,2520,41256,38273380,NA,bse,2016-05-03
500049,BHARAT ELECT,A ,Q,1196,1199.25,1168.5,1173.95,1174.6,1186.45,1908,20735,24545075,NA,bse,2016-05-03
500051,BHAG GAS    ,Z ,Q,0.57,0.57,0.57,0.57,0.57,0.6,2,1000,570,NA,bse,2016-05-03
500052,BHANSALI ENG,B ,Q,18.8,19.25,18.35,18.75,18.7,18.75,130,24965,469196,NA,bse,2016-05-03
500055,BHUSH STEEL ,A ,Q,40,40.35,39.1,39.55,39.55,39.95,549,100094,3986588,NA,bse,2016-05-03
500058,BIHAR SPONGE,XT,Q,2.82,2.82,2.58,2.82,2.82,2.69,31,5511,15485,NA,bse,2016-05-03
500059,BINANI IND. ,B ,Q,67.15,70.3,67.15,67.7,67.85,66.75,141,13003,889467,NA,bse,2016-05-03
500060,BIRLA ERIC. ,T ,Q,35.9,35.9,33.6,35.5,35.5,35.15,7,700,24800,NA,bse,2016-05-03
500067,BLUE STAR   ,B ,Q,419,426,410,423.2,425.7,419.4,942,16185,6831907,NA,bse,2016-05-03
500068,DISA INDIA  ,XC,Q,3960,4e3,3860,3896.5,3896.5,4025,16,85,334505,NA,bse,2016-05-03
500069,BNK CAPITAL ,XD,Q,31,33,31,31.1,31,32,16,2710,87266,NA,bse,2016-05-03
500074,BPL LTD.    ,B ,Q,29.85,29.9,29.05,29.25,29.4,29.45,66,13232,389209,NA,bse,2016-05-03
500078,CAMPH.& ALL ,XC,Q,586,624,586,612.5,612.5,588.75,285,12098,7342363,NA,bse,2016-05-03
500083,CENTURY EXT ,B ,Q,1.92,1.93,1.87,1.9,1.92,1.96,10,7100,13470,NA,bse,2016-05-03
500084,CESC LTD.   ,A ,Q,541.1,550.55,532.25,534.8,534.8,542.9,992,15226,8239517,NA,bse,2016-05-03
500085,CHAMBAL FERT,B ,Q,64.7,65.35,62.35,62.55,62.45,63.7,1381,150905,9640922,NA,bse,2016-05-03
500086,EXIDE IND.  ,A ,Q,144.35,146.7,143.7,144.15,144.15,143.6,921,87079,12642291,NA,bse,2016-05-03
500087,CIPLA LTD.  ,A ,Q,537,547,527,536.3,536.3,538.3,4007,139719,75294055,NA,bse,2016-05-03
500089,DIC INDIA   ,B ,Q,576.75,580,564.5,567.25,567.25,564.75,129,1224,702237,NA,bse,2016-05-03
