SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,exchange,timestamp
500002,ABB LTD.    ,A ,Q,1353,1367,1340,1347.3,1347.3,1352.8,299,3118,4200286,,bse,2017-08-30
500003,AEGIS LOGIS ,A ,Q,189.85,190.1,188.25,189.65,189.65,188.95,180,52911,10028468,,bse,2017-08-30
500008,AMAR RAJA BA,A ,Q,771,783.9,765,782.95,778,764.2,639,262485,205418239,,bse,2017-08-30
500009,A.SARABHAI  ,XD,Q,7.3,7.79,7.3,7.57,7.5,7.47,28,5828,44077,,bse,2017-08-30
500010,HDFC        ,A ,Q,1730.55,1770,1730.55,1759.4,1759.5,1727.85,1959,48645,85491194,,bse,2017-08-30
500012,ANDHRA PETRO,XC,Q,31.1,31.4,30.25,30.6,30.6,30.5,99,21378,655224,,bse,2017-08-30
500013,ANSAL INFRAS,B ,Q,23.15,25.4,23,25.35,25.35,23.1,699,260861,6554053,,bse,2017-08-30
500014,APPLE FINANC,XD,Q,2.8,2.93,2.76,2.82,2.8,2.82,35,23188,65903,,bse,2017-08-30
500020,BOM DYEING  ,A ,Q,95,107.4,94.6,104.4,104.4,93.6,26352,5269507,539288428,,bse,2017-08-30
500023,ASIANHOTNR  ,B ,Q,124.8,124.8,122,122.05,122,125.25,8,1950,242003,,bse,2017-08-30
500024,ASSAMCO     ,B ,Q,5.16,5.5,5.16,5.48,5.48,5.07,232,182630,973810,,bse,2017-08-30
500027,ATUL LTD.   ,A ,Q,2099,2110,2075,2102.2,2104.95,2073.2,253,1982,4156913,,bse,2017-08-30
500028,ATV PROJECTS,XT,Q,7.42,7.42,7.1,7.39,7.39,7.07,28,10884,80044,,bse,2017-08-30
500029,AUTOLITE(I) ,B ,Q,60.25,61,59.7,59.95,59.95,59.6,59,16407,995220,,bse,2017-08-30
500031,BAJAJ ELECT.,A ,Q,340.4,343.65,336.15,342.7,343.65,337.8,325,14579,4967431,,bse,2017-08-30
500032,BAJAJHIND   ,B ,Q,14.65,14.85,14.5,14.6,14.6,14.55,579,670049,9810648,,bse,2017-08-30
500033,FORCE MOTR  ,B ,Q,3865,3934,3832.55,3871.55,3871.55,3843.4,3116,36843,143371718,,bse,2017-08-30
500034,BAJFINANCE  ,A ,Q,1785.35,1819,1779,1786.05,1792,1775.9,2798,67138,120851716,,bse,2017-08-30
500038,BALRAM.CHINI,A ,Q,169.25,172.3,167.9,169.1,169.1,169.25,987,127526,21639989,,bse,2017-08-30
500039,BANCO PROD. ,B ,Q,212.85,213.45,211.05,212.4,213.45,209.15,122,6440,1366326,,bse,2017-08-30
500040,CENTURY TEXT,A ,Q,1217.75,1231.4,1214.65,1216.95,1216.95,1205.15,829,21856,26719969,,bse,2017-08-30
500041,BANNARI AMAN,B ,Q,1870.1,1870.1,1870,1870,1870,1895.05,4,14,26180,,bse,2017-08-30
500042,BASF INDIA  ,B ,Q,1498.2,1502.45,1489,1494,1494,1496.1,56,245,366935,,bse,2017-08-30
500043,BATA INDIA  ,A ,Q,685.3,694.5,681.6,687.2,686.05,676,1122,56854,39199029,,bse,2017-08-30
500048,BEML LTD    ,A ,Q,1730,1800,1725.4,1734.7,1734.7,1726.85,4423,102166,180459543,,bse,2017-08-30
500049,BHARAT ELECT,A ,Q,187.5,192.7,186.65,191.4,191.4,185.1,2775,331397,63096624,,bse,2017-08-30
