SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,exchange,timestamp
500002,ABB LTD.    ,A ,Q,1002.55,1022.4,1002.55,1014.55,1013,997.7,1535,6695,6789631,,bse,2016-02-02
500003,AEGIS LOGIS ,B ,Q,100.4,102.2,96,97.05,97.05,99.6,315,28192,2795018,,bse,2016-02-02
500008,AMAR RAJA BA,A ,Q,874.5,891,851.1,861.45,861.45,876.3,7096,95795,83275768,,bse,2016-02-02
500009,A.SARABHAI  ,XD,Q,6.79,6.79,6,6.26,6.2,6.52,21,17694,111518,,bse,2016-02-02
500010,HDFC        ,A ,Q,1180,1192.85,1166.5,1177.35,1175.25,1179.5,4249,64477,76159096,,bse,2016-02-02
500012,ANDHRA PETRO,XC,Q,13.14,13.35,12.96,13,13,13.28,82,42636,561051,,bse,2016-02-02
500013,ANSAL INFRAS,B ,Q,18.5,18.75,18,18.05,18.1,18.6,181,27325,499102,,bse,2016-02-02
500014,APPLE FINANC,XD,Q,2.36,2.52,2.3,2.5,2.5,2.48,28,11885,29291,,bse,2016-02-02
500020,BOM DYEING  ,B ,Q,53.7,54.4,51.6,52,52,53.5,953,181009,9607657,,bse,2016-02-02
500024,ASSAMCO     ,B ,Q,5.75,5.75,5.42,5.44,5.44,5.7,328,316885,1748347,,bse,2016-02-02
500027,ATUL LTD.   ,A ,Q,1458.6,1514.4,1458.6,1495.85,1495.85,1447.6,699,3154,4691240,,bse,2016-02-02
500028,ATV PROJECTS,XT,Q,8,8.66,8,8.15,8.13,8.34,32,26931,220490,,bse,2016-02-02
500029,AUTOLITE(I) ,B ,Q,58,58.8,55.5,56.05,55.85,57,94,7075,406550,,bse,2016-02-02
500031,BAJAJ ELECT.,A ,Q,187.15,189.1,177.55,178.45,178.7,186.2,1943,64749,11947123,,bse,2016-02-02
500032,BAJAJHIND   ,B ,Q,17.35,17.8,16.6,16.75,16.75,17.25,1417,817749,14160639,,bse,2016-02-02
500033,FORCE MOTR  ,B ,Q,2794,2804,2658,2679,2679,2772,7079,76945,210248364,,bse,2016-02-02
500034,BAJFINANCE  ,A ,Q,6029,6050,5792.15,5829.55,5829.55,6019.15,1451,6658,39488775,,bse,2016-02-02
500038,BALRAM.CHINI,A ,Q,93.75,95,89.8,90.75,89.9,92.9,3902,442038,41144405,,bse,2016-02-02
500039,BANCO PROD. ,B ,Q,124.8,127,123.4,123.5,123.5,123.6,217,12468,1549745,,bse,2016-02-02
500040,CENTURY TEXT,A ,Q,531.95,535.55,500,503.3,503.3,525.5,5006,183838,94636120,,bse,2016-02-02
