SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,exchange,timestamp
500002,ABB LTD.    ,A ,Q,1084.15,1148,1056,1138.6,1138.6,1075,3580,28395,31501395,,bse,2016-03-04
500003,AEGIS LOGIS ,B ,Q,102,102,96.15,99.9,99.9,102.05,859,55291,5474982,,bse,2016-03-04
500008,AMAR RAJA BA,A ,Q,874.7,880,862,865.15,865.15,869.65,820,10426,9053172,,bse,2016-03-04
500009,A.SARABHAI  ,XD,Q,5.52,6.65,5.52,6.45,6.45,5.87,66,40250,255302,,bse,2016-03-04
500010,HDFC        ,A ,Q,1123.55,1136,1105,1128.5,1128.5,1123.6,3125,67632,75779418,,bse,2016-03-04
500012,ANDHRA PETRO,XC,Q,12.7,13,12.6,12.77,12.66,12.4,87,33456,429977,,bse,2016-03-04
500013,ANSAL INFRAS,B ,Q,17.1,18.35,17.1,17.8,17.8,17.35,477,48630,869610,,bse,2016-03-04
500014,APPLE FINANC,XD,Q,2.33,2.33,2.19,2.3,2.3,2.19,6,177,403,,bse,2016-03-04
500020,BOM DYEING  ,B ,Q,44,45.45,43.8,44.45,44.45,44.45,1182,188670,8428332,,bse,2016-03-04
500023,ASIANHOTNR  ,B ,Q,112.4,115,105,105,105,114.5,21,22,2400,,bse,2016-03-04
500024,ASSAMCO     ,B ,Q,4.91,5.42,4.9,5.11,5.11,5,582,503983,2621869,,bse,2016-03-04
500027,ATUL LTD.   ,A ,Q,1436.45,1436.45,1410,1424.15,1422,1426.9,121,683,970212,,bse,2016-03-04
500028,ATV PROJECTS,XT,Q,8.89,8.94,8.12,8.16,8.16,8.53,23,10014,84341,,bse,2016-03-04
500029,AUTOLITE(I) ,B ,Q,45.5,46.5,45.5,46.5,46.5,45.3,5,535,24353,,bse,2016-03-04
500031,BAJAJ ELECT.,A ,Q,174.15,178.65,171.65,173.55,178,173.5,397,522811,90717853,,bse,2016-03-04
500032,BAJAJHIND   ,B ,Q,15.34,16.58,15.15,16.35,16.35,15.23,3556,1601897,25938280,,bse,2016-03-04
500033,FORCE MOTR  ,B ,Q,2555,2648,2506,2628,2628,2559,9108,130569,338998573,,bse,2016-03-04
500034,BAJFINANCE  ,A ,Q,6249,6389.25,6151.95,6320.5,6310,6203.35,1133,3990,25169249,,bse,2016-03-04
500038,BALRAM.CHINI,A ,Q,85.6,93.9,84.6,92.75,92.75,85.7,7237,864601,78546756,,bse,2016-03-04
500039,BANCO PROD. ,B ,Q,102.8,102.8,98.2,99.25,99.25,102.05,277,14359,1441197,,bse,2016-03-04
500040,CENTURY TEXT,A ,Q,471.05,474.2,459.3,466.75,466.75,469.45,3168,100900,47084881,,bse,2016-03-04
500041,BANNARI AMAN,B ,Q,1120,1195,1120,1159,1159,1120,97,517,600048,,bse,2016-03-04
