SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,exchange,timestamp
500002,ABB LTD.    ,A ,Q,1140,1152.05,1109.55,1134.7,1132.1,1119.9,883,3245,3667355,NA,bse,2016-09-30
500003,AEGIS LOGIS ,B ,Q,150.6,156.05,147.35,153.5,153.5,150.6,1392,108604,16653884,NA,bse,2016-09-30
500008,AMAR RAJA BA,A ,Q,1e3,1014.6,995,1010.1,1010,998.05,1156,19003,19146328,NA,bse,2016-09-30
500009,A.SARABHAI  ,XD,Q,6.86,6.86,6,6.45,6.45,6.24,32,21136,132475,NA,bse,2016-09-30
500010,HDFC        ,A ,Q,1400,1400,1383,1393.05,1393.05,1400.1,1887,27215,37812142,NA,bse,2016-09-30
500012,ANDHRA PETRO,XC,Q,14.5,15.25,14,14.97,14.97,14.35,226,93932,1395273,NA,bse,2016-09-30
500013,ANSAL INFRAS,B ,Q,17.05,18.7,17.05,18.55,18.55,18,123,32570,596989,NA,bse,2016-09-30
500014,APPLE FINANC,XD,Q,2.05,2.15,2,2.13,2.12,2.16,15,24228,51822,NA,bse,2016-09-30
500020,BOM DYEING  ,B ,Q,50.95,51.45,49,50.75,50.75,49.85,3188,615926,31099972,NA,bse,2016-09-30
500023,ASIANHOTNR  ,B ,Q,98.05,100.05,98.05,100.05,100.05,98.1,3,75,7452,NA,bse,2016-09-30
500024,ASSAMCO     ,B ,Q,5.5,5.66,5.23,5.62,5.56,5.36,386,380469,2129901,NA,bse,2016-09-30
500027,ATUL LTD.   ,A ,Q,2225,2308.9,2220.75,2287.4,2287.4,2247.15,626,4464,10170278,NA,bse,2016-09-30
500028,ATV PROJECTS,XT,Q,6,6.59,6,6.25,6.59,6.3,6,1802,11207,NA,bse,2016-09-30
500029,AUTOLITE(I) ,B ,Q,58.05,60.5,56.85,59.2,59,57.5,104,9599,566033,NA,bse,2016-09-30
500030,AUTORID.FIN ,T ,Q,0.66,0.66,0.66,0.66,0.66,0.63,1,1,0,NA,bse,2016-09-30
500031,BAJAJ ELECT.,A ,Q,259.9,260.8,247.6,254.9,255,251.95,715,31447,8049195,NA,bse,2016-09-30
500032,BAJAJHIND   ,B ,Q,15.5,16.35,15.5,16.1,16.1,15.95,780,542723,8752589,NA,bse,2016-09-30
500033,FORCE MOTR  ,B ,Q,3207,3525,3207,3497.8,3497.8,3207.6,29710,461511,1575858362,NA,bse,2016-09-30
500034,BAJFINANCE  ,A ,Q,1055,1065,1022,1056.6,1056.6,1036.8,5226,96121,100070337,NA,bse,2016-09-30
500038,BALRAM.CHINI,A ,Q,104.5,108.6,104,107.75,107,103.3,1185,161979,17254357,NA,bse,2016-09-30
500039,BANCO PROD. ,B ,Q,204.3,210.2,201.8,207.3,207.3,203.25,983,52074,10769016,NA,bse,2016-09-30
500040,CENTURY TEXT,A ,Q,906.9,949,900,942.75,942.75,913.3,5623,204588,189985276,NA,bse,2016-09-30
500041,BANNARI AMAN,B ,Q,1909.4,1909.4,1880,1897.85,1899,1864.35,25,357,674743,NA,bse,2016-09-30
500042,BASF INDIA  ,B ,Q,1195.75,1231,1169.9,1220.45,1220.45,1195.3,532,4131,4991999,NA,bse,2016-09-30
500043,BATA INDIA  ,A ,Q,480,496.5,479.6,490.15,490.15,483.5,2395,112040,55046411,NA,bse,2016-09-30
500048,BEML LTD    ,A ,Q,874.65,882.6,860.85,876.55,876.55,874.65,2215,26516,23176574,NA,bse,2016-09-30
500049,BHARAT ELECT,A ,Q,1239,1254,1233.85,1245.4,1245.4,1234.2,1218,17673,22031484,NA,bse,2016-09-30
500052,BHANSALI ENG,B ,Q,19.5,20.25,19.45,20,20,19.2,228,31897,635285,NA,bse,2016-09-30
500055,BHUSH STEEL ,B ,Q,39.5,41.2,38,40.4,40.5,39.05,373,29147,1161915,NA,bse,2016-09-30
500058,BIHAR SPONGE,XT,Q,2.1,2.3,2.1,2.28,2.28,2.2,9,5090,11078,NA,bse,2016-09-30
500059,BINANI IND. ,B ,Q,103,103,99.5,100,100,99.4,390,24490,2479989,NA,bse,2016-09-30
500060,BIRLACABLE  ,T ,Q,35.35,36.45,35.25,35.9,35.75,36.9,36,13785,493451,NA,bse,2016-09-30
500067,BLUE STAR   ,B ,Q,540,553.65,524.5,550.4,550.4,545.35,854,10877,5907759,NA,bse,2016-09-30
500068,DISA INDIA  ,XC,Q,4694.95,4694.95,4621,4681.55,4685,4661.85,30,417,1941128,NA,bse,2016-09-30
500074,BPL LTD.    ,B ,Q,79.6,86,78.1,82.9,82.9,85.75,9437,1000760,82366022,NA,bse,2016-09-30
500078,CAMPH.& ALL ,XC,Q,757.95,760,735,759.3,760,737.1,50,1822,1369461,NA,bse,2016-09-30
500083,CENTURY EXT ,B ,Q,5.64,5.67,5.52,5.67,5.67,5.4,315,428199,2423466,NA,bse,2016-09-30
500084,CESC LTD.   ,A ,Q,610,618,599.7,613.15,613.15,605.75,667,19919,12138249,NA,bse,2016-09-30
500085,CHAMBAL FERT,B ,Q,57.6,59.05,57.6,58.35,58.35,57.9,1095,73422,4284601,NA,bse,2016-09-30
500086,EXIDE IND.  ,A ,Q,182,185.35,177.2,183.25,183.25,181.55,3463,460865,83148839,NA,bse,2016-09-30
500087,CIPLA LTD.  ,A ,Q,601,605,562.05,580.25,580.25,600.9,14133,851242,489522803,NA,bse,2016-09-30
500089,DIC INDIA   ,B ,Q,531.95,535,527.1,533.35,534,541.95,16,2131,1136817,NA,bse,2016-09-30
500092,CRISIL LTD  ,A ,Q,2174.95,2266.55,2162.2,2237.05,2266.5,2175.35,211,30698,66734960,NA,bse,2016-09-30
500093,CROMPT.GREAV,A ,Q,74,75.6,73.8,75.2,75.2,74.15,1085,228012,17086071,NA,bse,2016-09-30
500096,DABUR (I)   ,A ,Q,268,272.8,266.6,271.3,271.3,270.05,2024,73959,19917901,NA,bse,2016-09-30
500097,DALMIASUG   ,B ,Q,108.4,110,107.2,108.6,108.6,106.9,347,26851,2911673,NA,bse,2016-09-30
500101,ARVIND Ltd  ,A ,Q,325,339.9,325,336.25,336.25,333.5,2164,133382,44677643,NA,bse,2016-09-30
500102,BALARPUR IND,B ,Q,13.6,13.9,13.3,13.82,13.85,13.55,322,185067,2548329,NA,bse,2016-09-30
500103,BHEL        ,A ,Q,133.5,135.5,132,134.65,134.65,133.1,5937,1002977,134760542,NA,bse,2016-09-30
500104,HIND.PETRO  ,A ,Q,414,427.95,410.15,423.9,423.9,414,3701,347541,144780572,NA,bse,2016-09-30
500106,IFCI LTD    ,A ,Q,25.6,26.65,25.5,26.35,26.35,25.75,1934,1204707,31549318,NA,bse,2016-09-30
500108,MAHA.TELE   ,B ,Q,19.55,20.25,19.35,19.8,19.75,19.55,738,285003,5649800,NA,bse,2016-09-30
500109,MRPL        ,A ,Q,83.5,86.9,82.75,86.35,86.25,82.65,1277,116726,10001236,NA,bse,2016-09-30
500110,CHENNAI PET.,B ,Q,280,289.5,280,286.8,286.8,280.05,2120,138518,39584630,NA,bse,2016-09-30
500111,REL.CAP.    ,A ,Q,529.45,549.5,525.1,546.95,546.95,532.95,14783,757812,409626275,NA,bse,2016-09-30
500112,STATE BANK  ,A ,Q,246.1,252.5,245.6,250.7,250.7,247.15,10621,1417765,354313526,NA,bse,2016-09-30
500113,STEEL AUTH. ,A ,Q,45.2,46.6,45.2,46.35,46.35,45.2,1628,485371,22306264,NA,bse,2016-09-30
500114,TITAN       ,A ,Q,393.5,399,384.2,395.65,395.65,392.75,1874,44951,17657999,NA,bse,2016-09-30
500116,IDBI BANK L ,A ,Q,67,69.4,67,68.65,68.65,67.05,3196,726110,49738860,NA,bse,2016-09-30
500117,DCW LTD.    ,B ,Q,27,28,27,27.75,27.75,26.85,1125,406751,11232362,NA,bse,2016-09-30
500119,DHAMPUR SUGA,B ,Q,114.65,115.95,111.4,115.5,115.5,112.7,815,79571,9118916,NA,bse,2016-09-30
500120,DIAMINES&CHM,XD,Q,40.2,44,40.2,43.4,43.4,43,24,2754,116527,NA,bse,2016-09-30
500123,ELANTAS     ,B ,Q,1602,1689,1591.6,1653.35,1680,1622.3,324,2555,4190696,NA,bse,2016-09-30
500124,DR.REDDY'S  ,A ,Q,3134,3134,3061.1,3108.7,3108.7,3137.05,2226,25508,79225896,NA,bse,2016-09-30
500125,E.I.D.PAR   ,A ,Q,236.7,248.7,236.7,245.2,245.2,240.65,984,39429,9612256,NA,bse,2016-09-30
500126,MERCK LTD   ,B ,Q,690,707.8,681,701.5,701.5,697.5,167,1599,1118033,NA,bse,2016-09-30
500128,ELEC.CASTING,B ,Q,21,21.2,20.7,20.8,20.8,20.8,160,63608,1332514,NA,bse,2016-09-30
500132,EMPEE SUGARS,XD,Q,5.75,6.57,5.75,6.28,6.21,6,42,6991,43794,NA,bse,2016-09-30
500133,ESAB INDIA  ,B ,Q,606.95,627,593.05,611,627,597.35,60,1108,672621,NA,bse,2016-09-30
500135,ESSEL PROP  ,B ,Q,220.1,229,217.6,226.75,226.75,219.7,915,17587,3934019,NA,bse,2016-09-30
500136,ESTER INDUS.,B ,Q,44.8,47.05,44.45,46.3,46.3,44.5,717,28203,1299911,NA,bse,2016-09-30
500139,FEDDER.LLYOD,B ,Q,72.95,74.7,72.95,74.05,74.05,72.45,351,27634,2039097,NA,bse,2016-09-30
500141,FERRO ALLOYS,XD,Q,6.22,6.94,6.22,6.93,6.94,6.81,172,106039,722035,NA,bse,2016-09-30
500142,FGP LTD.    ,XD,Q,1.9,1.91,1.9,1.9,1.9,1.82,3,110,209,NA,bse,2016-09-30
500143,P.H.CAPITAL ,XD,Q,22.3,22.35,22.3,22.35,22.35,21.3,4,500,11160,NA,bse,2016-09-30
500144,FINOL. CABLE,A ,Q,443.4,447.55,435.3,441.8,442.15,444.6,375,4907,2172243,NA,bse,2016-09-30
500147,CMI FPE     ,XC,Q,381,400,365,376,376,381.4,22,1487,561341,NA,bse,2016-09-30
500148,UFLEX LTD   ,B ,Q,271.5,284.05,271.5,282.4,282.4,271.4,1897,82410,23114277,NA,bse,2016-09-30
500150,FOSECO INDIA,B ,Q,1388.35,1410,1376,1382.15,1382.15,1402.2,18,63,87099,NA,bse,2016-09-30
500151,GOLDEN TOB  ,B ,Q,41,41,40,40.15,40.1,40.4,19,539,21848,NA,bse,2016-09-30
500153,GANESH BENZO,XC,Q,37.1,39.2,37.1,38.85,38.85,37.3,299,90205,3438595,NA,bse,2016-09-30
500155,GARDEN SILK ,B ,Q,29.9,29.9,29,29.5,29.75,29.25,47,6149,180863,NA,bse,2016-09-30
500159,METROGLOBL  ,XC,Q,76,76,68.5,73.3,71,71,25,648,45595,NA,bse,2016-09-30
500160,GTL LTD.    ,B ,Q,17.99,20.77,17.99,20.77,20.77,17.31,5156,1841831,36421507,NA,bse,2016-09-30
500162,PARRYSUGR   ,B ,Q,34.7,37.8,34.7,36.95,36.95,36.2,31,3607,132402,NA,bse,2016-09-30
500163,GODFREY PH  ,B ,Q,1219.9,1295,1203.8,1287.55,1287.55,1214.65,2573,41325,52126416,NA,bse,2016-09-30
500164,GODREJ IND  ,A ,Q,410.55,433.8,410.55,429.65,429.65,413.85,2219,68977,29410629,NA,bse,2016-09-30
500165,KANSAI NERO ,A ,Q,362.15,364.9,359.75,361.6,361.6,360.75,385,9230,3331663,NA,bse,2016-09-30
500166,GOODRICKE   ,XC,Q,180.15,189,180.1,188.05,187.5,183.8,237,27513,5112953,NA,bse,2016-09-30
500168,GOODYEAR (I),B ,Q,645.2,696,645.2,689.25,689.25,643.4,2724,71148,48161314,NA,bse,2016-09-30
500170,GTN INDUS   ,B ,Q,13,13,13,13,13,12.75,1,21,273,NA,bse,2016-09-30
500171,GHCL LTD    ,B ,Q,244.95,254.4,243.1,252.1,252.1,245.2,1452,72783,18268412,NA,bse,2016-09-30
500173,GUJ.FLOURO  ,B ,Q,519.45,529,516,524.55,524.55,524.05,209,1474,770520,NA,bse,2016-09-30
500174,GUJ.LEASE   ,B ,Q,1.83,1.83,1.83,1.83,1.83,1.92,1,3000,5490,NA,bse,2016-09-30
500179,HCL INFOSYS ,B ,Q,42.5,43.7,41.7,42.9,42.9,41.6,3220,609560,26158881,NA,bse,2016-09-30
500180,HDFC BANK   ,A ,Q,1277.1,1281.95,1267.25,1271.7,1271.7,1277.05,1666,51190,65206009,NA,bse,2016-09-30
500182,HEROMOTOCO  ,A ,Q,3462,3462,3392,3414.35,3414.35,3428.5,3071,30064,102799508,NA,bse,2016-09-30
500183,HIMACHAL FUT,B ,Q,15,15.4,14.65,14.9,14.9,14.95,2339,2265205,33782081,NA,bse,2016-09-30
500184,HSCL        ,B ,Q,36.95,39.8,36.95,39.5,39.5,36.95,1620,350896,13625999,NA,bse,2016-09-30
500185,HIND.CONSTN.,A ,Q,33,35.5,31.8,34.95,34.95,33.4,7670,2790929,95494379,NA,bse,2016-09-30
500186,HIND.OIL EXP,B ,Q,53.7,55.1,53.05,54.65,54.65,52.35,2099,427440,23161044,NA,bse,2016-09-30
500187,HSIL        ,B ,Q,334.9,342.1,334.1,340.5,341.9,335.1,248,6078,2051411,NA,bse,2016-09-30
500188,HINDUS.ZI   ,A ,Q,228.2,235.8,225.85,233.25,233.25,227.85,2614,232514,54265416,NA,bse,2016-09-30
500189,HINDUJA VENT,B ,Q,417.8,440,417.8,438.35,440,430.05,30,446,194568,NA,bse,2016-09-30
