SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,exchange,timestamp
500002,ABB LTD.    ,A ,Q,1414,1426.55,1395,1404.95,1405,1410.4,552,4601,6493457,,bse,2017-04-20
500003,AEGIS LOGIS ,B ,Q,186.05,189.5,185.2,188.8,188.8,186.2,798,72208,13507448,,bse,2017-04-20
500008,AMAR RAJA BA,A ,Q,881.95,887.85,863.75,867.35,867.35,868.7,3206,59740,52371273,,bse,2017-04-20
500009,A.SARABHAI  ,XT,Q,12.94,12.94,12.5,12.51,12.55,12.57,80,31359,396743,,bse,2017-04-20
500010,HDFC        ,A ,Q,1494.55,1531,1488.75,1516.95,1516.95,1489.9,5854,195653,297167044,,bse,2017-04-20
500012,ANDHRA PETRO,XC,Q,30.2,32.2,30.1,32,32.2,30.25,251,57365,1820021,,bse,2017-04-20
500013,ANSAL INFRAS,B ,Q,27,27,25.05,25.9,25.9,25.9,1331,354612,9278434,,bse,2017-04-20
500014,APPLE FINANC,XD,Q,3.18,3.18,3.08,3.1,3.1,3.05,24,18968,58820,,bse,2017-04-20
500020,BOM DYEING  ,B ,Q,83.5,85.5,83.2,84.7,84.7,83.75,2004,622684,52458905,,bse,2017-04-20
500023,ASIANHOTNR  ,B ,Q,130,134.7,130,133.5,134.7,130,9,850,112141,,bse,2017-04-20
500024,ASSAMCO     ,B ,Q,7.78,8.05,7.69,7.81,7.8,7.76,229,196896,1547465,,bse,2017-04-20
500027,ATUL LTD.   ,A ,Q,2429.95,2438.1,2401.45,2425.9,2425.9,2416.65,57,177,429489,,bse,2017-04-20
500028,ATV PROJECTS,XT,Q,7.03,7.03,6.55,7.03,7.03,6.7,56,29512,204288,,bse,2017-04-20
500029,AUTOLITE(I) ,B ,Q,60.9,60.9,59.5,59.95,60.5,59.35,30,2024,121587,,bse,2017-04-20
500030,AUTORID.FIN ,T ,Q,1.3,1.3,1.2,1.2,1.2,1.26,4,2600,3130,,bse,2017-04-20
500031,BAJAJ ELECT.,A ,Q,354.85,364,351.65,357.8,357.8,352.4,3004,155902,56059375,,bse,2017-04-20
500032,BAJAJHIND   ,B ,Q,14.5,15.7,14.48,15.54,15.54,14.39,5198,4329032,65882732,,bse,2017-04-20
500033,FORCE MOTR  ,B ,Q,4544,4544,4460,4466.9,4466.9,4503.7,3044,30505,136795482,,bse,2017-04-20
500034,BAJFINANCE  ,A ,Q,1244,1258.2,1244,1251.9,1253.8,1243.95,1372,35464,44380611,,bse,2017-04-20
500038,BALRAM.CHINI,A ,Q,156.1,161.05,155,160,160,151.9,2989,455935,72089335,,bse,2017-04-20
500039,BANCO PROD. ,B ,Q,228.7,229.35,223,223.95,224.1,225.65,501,28782,6488297,,bse,2017-04-20
500040,CENTURY TEXT,A ,Q,1117,1140,1113.55,1135.5,1135.5,1117.25,2689,93592,105755996,,bse,2017-04-20
500041,BANNARI AMAN,B ,Q,2050.05,2131,2050,2108.15,2125,2060,37,238,499284,,bse,2017-04-20
500042,BASF INDIA  ,B ,Q,1310,1325,1295.4,1318.2,1308.6,1300.9,245,1326,1740395,,bse,2017-04-20
500043,BATA INDIA  ,A ,Q,560.5,580,560.5,577.15,577.15,564.5,762,23209,13278781,,bse,2017-04-20
500048,BEML LTD    ,A ,Q,1350,1366.8,1346.2,1361,1358.1,1350.85,976,19359,26313303,,bse,2017-04-20
500049,BHARAT ELECT,A ,Q,180.5,182.5,177.1,178.25,178.25,178.65,6201,583252,104835244,,bse,2017-04-20
500052,BHANSALI ENG,B ,Q,40.3,42.55,40.05,42.35,42.35,39.6,4700,2220615,92396871,,bse,2017-04-20
500055,BHUSH STEEL ,B ,Q,66.55,77.9,64.8,74.35,74.35,66.3,10363,1350006,98540390,,bse,2017-04-20
500058,BIHAR SPONGE,XT,Q,2.47,2.71,2.47,2.69,2.71,2.59,48,29178,77731,,bse,2017-04-20
500059,BINANI IND. ,B ,Q,88.5,92.35,88,89.85,89.75,87.3,968,100272,9055632,,bse,2017-04-20
500060,BIRLACABLE  ,B ,Q,47.75,49,47.3,48.05,48.05,47.45,75,10937,526516,,bse,2017-04-20
500067,BLUE STAR   ,B ,Q,693.95,694.7,683,685,685.35,683,186,3149,2162336,,bse,2017-04-20
500068,DISA INDIA  ,XC,Q,5150,5150,5110,5116.95,5111.7,5150.05,7,8,41001,,bse,2017-04-20
500069,BNK CAPITAL ,XD,Q,52.55,60.35,52.55,60.35,60.35,54.9,155,11712,688977,,bse,2017-04-20
500074,BPL LTD.    ,B ,Q,78,79.8,77.55,77.85,77.85,77.45,624,87194,6838492,,bse,2017-04-20
500078,CAMPH.& ALL ,XC,Q,823,825.05,805,810.6,805,805.2,60,5317,4334615,,bse,2017-04-20
500083,CENTURY EXT ,B ,Q,6.46,6.46,6.46,6.46,6.46,5.88,21,17999,116273,,bse,2017-04-20
500084,CESC LTD.   ,A ,Q,893,914.05,893,898.25,898.25,891.85,6309,107500,97059091,,bse,2017-04-20
500085,CHAMBAL FERT,B ,Q,84.1,93.5,83.5,91.85,91.85,84.1,5000,765702,69431121,,bse,2017-04-20
