SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,exchange,timestamp
500002,ABB LTD.    ,A ,Q,1128,1128,1072.8,1109.65,1106.2,1116,1609,9769,10853553,,bse,2017-01-25
500003,AEGIS LOGIS ,B ,Q,132.75,133.15,130.7,131.7,131.9,131.6,365,33875,4463343,,bse,2017-01-25
500008,AMAR RAJA BA,A ,Q,863,893.9,863,886.45,886.45,861.2,1438,117643,102611701,,bse,2017-01-25
500009,A.SARABHAI  ,XD,Q,9.7,9.9,9.27,9.4,9.5,9.59,87,32608,308222,,bse,2017-01-25
500010,HDFC        ,A ,Q,1280.85,1340.5,1280.85,1336,1336,1280.85,3931,110145,144793800,,bse,2017-01-25
500012,ANDHRA PETRO,XC,Q,26.5,26.6,25.15,25.45,25.65,25.8,156,25845,656433,,bse,2017-01-25
500013,ANSAL INFRAS,B ,Q,15.12,15.25,15,15.11,15.05,15.11,186,33119,500166,,bse,2017-01-25
500014,APPLE FINANC,XD,Q,2.47,2.69,2.43,2.63,2.63,2.53,30,13627,35368,,bse,2017-01-25
500020,BOM DYEING  ,B ,Q,53.9,54.65,53.55,54.25,54.25,53.5,830,137102,7404258,,bse,2017-01-25
500023,ASIANHOTNR  ,B ,Q,104.25,106.4,104.25,106.4,106.4,104.1,6,1000,106262,,bse,2017-01-25
500024,ASSAMCO     ,T ,Q,6.97,7.01,6.7,6.84,6.85,6.7,391,383209,2655642,,bse,2017-01-25
500027,ATUL LTD.   ,A ,Q,2145.35,2198.9,2130,2184.85,2184.85,2130.1,320,2279,4931762,,bse,2017-01-25
500028,ATV PROJECTS,XT,Q,5.88,5.88,5.65,5.71,5.71,5.62,16,2586,14981,,bse,2017-01-25
500029,AUTOLITE(I) ,B ,Q,54.65,54.65,52.6,53.65,54,53,26,3365,179579,,bse,2017-01-25
500030,AUTORID.FIN ,B ,Q,0.95,1.05,0.95,1.05,1.05,1,4,1020,972,,bse,2017-01-25
500031,BAJAJ ELECT.,A ,Q,233.95,241.95,233.95,239.4,239.4,232,987,49158,11690332,,bse,2017-01-25
500032,BAJAJHIND   ,B ,Q,14.4,14.79,14.25,14.42,14.42,14.4,1805,836800,12140786,,bse,2017-01-25
500033,FORCE MOTR  ,B ,Q,4289.9,4306.95,4215.55,4242.75,4242.75,4273.8,5892,64545,274816348,,bse,2017-01-25
500034,BAJFINANCE  ,A ,Q,928.2,1009,928.2,1000.15,1000.15,929.45,11274,401918,393630364,,bse,2017-01-25
500038,BALRAM.CHINI,A ,Q,140,144.9,140,144.25,144.25,140.15,2259,175224,25095372,,bse,2017-01-25
500039,BANCO PROD. ,B ,Q,205.25,211.6,204.5,208.7,207.45,203.5,990,28792,6013807,,bse,2017-01-25
500040,CENTURY TEXT,A ,Q,840.1,846.45,830.25,840.65,840.65,838.2,3637,131823,110546486,,bse,2017-01-25
500041,BANNARI AMAN,B ,Q,2055,2118.95,2050,2073.75,2084.9,2070,19,93,191815,,bse,2017-01-25
