SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,exchange,timestamp
500002,ABB LTD.    ,A ,Q,1290,1299.7,1262.3,1267.5,1267.5,1291.6,1004,5532,7043939,NA,bse,2016-05-02
500003,AEGIS LOGIS ,B ,Q,114.9,119.9,114.4,117.35,117.35,115.2,1883,115043,13600645,NA,bse,2016-05-02
500008,AMAR RAJA BA,A ,Q,961,961,945,957.4,957.4,953.7,1513,19605,18708093,NA,bse,2016-05-02
500009,A.SARABHAI  ,XD,Q,10.88,10.88,10.38,10.5,10.5,10.59,124,105323,1109280,NA,bse,2016-05-02
500010,HDFC        ,A ,Q,1097.95,1097.95,1079.05,1092.75,1092.75,1088.8,7752,206820,225321912,NA,bse,2016-05-02
500012,ANDHRA PETRO,XC,Q,15.4,15.8,15.25,15.4,15.4,15.87,93,51277,792232,NA,bse,2016-05-02
500013,ANSAL INFRAS,B ,Q,18.05,18.95,18.05,18.85,18.85,19.05,98,11932,224003,NA,bse,2016-05-02
500014,APPLE FINANC,XD,Q,2.26,2.26,2.07,2.11,2.15,2.26,28,9401,19912,NA,bse,2016-05-02
500020,BOM DYEING  ,B ,Q,48.65,50.75,48.65,49.9,49.9,49.15,1443,316075,15762935,NA,bse,2016-05-02
500023,ASIANHOTNR  ,B ,Q,112.9,113,110,112,112,111.9,7,169,19046,NA,bse,2016-05-02
500024,ASSAMCO     ,B ,Q,6,6.1,5.9,5.93,5.93,6,169,189283,1132769,NA,bse,2016-05-02
500027,ATUL LTD.   ,A ,Q,1790,1790,1703.7,1723.1,1723.1,1798.65,1336,10045,17347350,NA,bse,2016-05-02
500028,ATV PROJECTS,XT,Q,7.11,7.77,7.08,7.1,7.08,7.45,19,4015,28726,NA,bse,2016-05-02
500029,AUTOLITE(I) ,B ,Q,57.35,57.35,55.05,55.5,55.05,56.65,18,2304,128628,NA,bse,2016-05-02
500031,BAJAJ ELECT.,A ,Q,228.4,233.5,225.9,231,231,228.8,893,33141,7615240,NA,bse,2016-05-02
500032,BAJAJHIND   ,B ,Q,20,20.3,19.8,20,20,19.85,1515,849590,17046130,NA,bse,2016-05-02
500033,FORCE MOTR  ,B ,Q,3504,3549,3457,3506,3506,3493.5,13983,217691,764234903,NA,bse,2016-05-02
500034,BAJFINANCE  ,A ,Q,6813.4,7102.4,6769.05,7049.15,7085,6832.2,1550,5753,40353391,NA,bse,2016-05-02
500038,BALRAM.CHINI,A ,Q,108.6,110.7,106.2,108.1,108.1,107.15,4933,515496,55880511,NA,bse,2016-05-02
500039,BANCO PROD. ,B ,Q,132,132.3,130.1,130.5,130.5,132.7,127,6655,873063,NA,bse,2016-05-02
500040,CENTURY TEXT,A ,Q,635,644.5,630.9,638.55,638.55,638.45,5407,161446,102921986,NA,bse,2016-05-02
500041,BANNARI AMAN,B ,Q,1760.25,1848,1747,1832,1815,1790.25,69,409,740445,NA,bse,2016-05-02
500042,BASF INDIA  ,B ,Q,910,922.45,900,908.25,908.25,905,268,1497,1361691,NA,bse,2016-05-02
500043,BATA INDIA  ,A ,Q,587,596.2,577,580,580,586.05,2239,35605,20856691,NA,bse,2016-05-02
500048,BEML LTD    ,A ,Q,919,926,910.15,918.2,916.55,919.35,912,9769,8985382,NA,bse,2016-05-02
500049,BHARAT ELECT,A ,Q,1185,1198.8,1174,1186.45,1193,1182.75,1198,11087,13176893,NA,bse,2016-05-02
500051,BHAG GAS    ,Z ,Q,0.6,0.6,0.6,0.6,0.6,0.63,3,1100,660,NA,bse,2016-05-02
