SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,exchange,timestamp
500002,ABB LTD.    ,A ,Q,1116.9,1147,1076,1092.4,1092.4,1103.65,1681,11835,13161744,,bse,2016-02-18
500003,AEGIS LOGIS ,B ,Q,91,92.35,83.1,87.2,88,88.45,456,12624,1120404,,bse,2016-02-18
500008,AMAR RAJA BA,A ,Q,855,875,848.35,869.8,869.8,844.95,4290,45533,39002351,,bse,2016-02-18
500009,A.SARABHAI  ,XD,Q,5,5.18,4.86,5.02,5.02,4.99,48,13034,66018,,bse,2016-02-18
500010,HDFC        ,A ,Q,1084.45,1084.45,1063.5,1070.05,1070.05,1076.7,2722,47837,51210297,,bse,2016-02-18
500012,ANDHRA PETRO,XC,Q,10.85,11.1,10.75,10.87,10.87,10.71,110,35017,382388,,bse,2016-02-18
500013,ANSAL INFRAS,B ,Q,16.35,16.45,15.6,15.75,15.7,15.75,161,15567,248111,,bse,2016-02-18
500014,APPLE FINANC,XD,Q,2.28,2.44,2.28,2.31,2.3,2.43,21,6150,14210,,bse,2016-02-18
500020,BOM DYEING  ,B ,Q,40.8,41.55,40.5,41,41,40.35,1052,132840,5462238,,bse,2016-02-18
500023,ASIANHOTNR  ,B ,Q,100.1,100.1,100,100,100,109.5,7,9,900,,bse,2016-02-18
500024,ASSAMCO     ,B ,Q,4.9,5.08,4.7,4.8,4.8,4.82,303,186127,907064,,bse,2016-02-18
500027,ATUL LTD.   ,A ,Q,1379,1389.85,1351.15,1365.25,1365.1,1356.1,184,1553,2119060,,bse,2016-02-18
500028,ATV PROJECTS,XT,Q,9.15,9.24,8.65,9.24,9.24,9.1,33,8554,74853,,bse,2016-02-18
500029,AUTOLITE(I) ,B ,Q,45.35,45.9,43.5,44.5,44.5,42.6,56,3346,149304,,bse,2016-02-18
500031,BAJAJ ELECT.,A ,Q,168,169.4,166.05,167.85,168.8,165.75,416,18496,3113111,,bse,2016-02-18
500032,BAJAJHIND   ,B ,Q,14.7,15.45,14.7,14.8,14.8,14.35,1374,681937,10238341,,bse,2016-02-18
500033,FORCE MOTR  ,B ,Q,2457,2469,2378,2397,2397,2410.5,5954,75846,184164931,,bse,2016-02-18
500034,BAJFINANCE  ,A ,Q,6150,6236.05,6103.1,6168.95,6168.95,6091.4,806,2513,15505658,,bse,2016-02-18
500038,BALRAM.CHINI,A ,Q,82.5,84,77.95,79.25,79.25,81,3846,349289,28097160,,bse,2016-02-18
500039,BANCO PROD. ,B ,Q,103,107,91.1,93.4,93.4,98.7,1196,56765,5362828,,bse,2016-02-18
500040,CENTURY TEXT,A ,Q,439,453.15,434.3,445,445,437.55,5324,148339,65986128,,bse,2016-02-18
500041,BANNARI AMAN,B ,Q,1050,1100,1050,1055,1055,1049.75,7,26,27950,,bse,2016-02-18
500042,BASF INDIA  ,B ,Q,764.1,779.7,750.6,759.1,753.1,752.6,635,3418,2607021,,bse,2016-02-18
500043,BATA INDIA  ,A ,Q,471,478.75,469.2,472.55,472,465.9,1015,17420,8259325,,bse,2016-02-18
500048,BEML LTD    ,A ,Q,947,986.5,933.45,939.55,939.55,956.7,3519,37622,36227021,,bse,2016-02-18
500049,BHARAT ELECT,A ,Q,1125,1209,1123.8,1145,1145,1119.65,2131,26192,29826329,,bse,2016-02-18
500051,BHAG GAS    ,Z ,Q,1,1,1,1,1,0.96,2,1100,1100,,bse,2016-02-18
500052,BHANSALI ENG,B ,Q,17.45,17.8,17.15,17.3,17.3,17.35,105,28522,496674,,bse,2016-02-18
500055,BHUSH STEEL ,A ,Q,37,37,34,34.75,34.75,36.05,868,80397,2868986,,bse,2016-02-18
500059,BINANI IND. ,B ,Q,55.35,55.4,53.75,54,54,53.1,28,1831,99e3,,bse,2016-02-18
500060,BIRLA ERIC. ,T ,Q,33.05,34.55,32.8,33.05,33.05,33,44,13655,457763,,bse,2016-02-18
500067,BLUE STAR   ,B ,Q,338,340,329.05,334.55,334.5,339.25,182,2843,942964,,bse,2016-02-18
500068,DISA INDIA  ,XC,Q,4021,4021,3816.5,3831.5,3831.5,4099.5,49,199,772358,,bse,2016-02-18
500069,BNK CAPITAL ,XD,Q,25,25,24.25,24.25,24.25,25.3,2,66,1638,,bse,2016-02-18
500074,BPL LTD.    ,B ,Q,25.6,28.55,25,25.95,25.95,24.6,731,81996,2207625,,bse,2016-02-18
500078,CAMPH.& ALL ,XC,Q,460,463.9,435,437.6,443,445.8,88,1335,597832,,bse,2016-02-18
