SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,exchange,timestamp
500002,ABB LTD.    ,A ,Q,1139.75,1150,1111,1122.1,1122.1,1132.15,2229,15266,17239478,,bse,2017-01-12
500003,AEGIS LOGIS ,B ,Q,140.2,140.9,136.6,139.1,139.1,139.15,338,19281,2692759,,bse,2017-01-12
500008,AMAR RAJA BA,A ,Q,910,914.9,891.8,896.6,896.6,906.95,968,8640,7767523,,bse,2017-01-12
500009,A.SARABHAI  ,XD,Q,9.07,9.07,8.5,8.68,8.68,9.07,162,53818,474028,,bse,2017-01-12
500010,HDFC        ,A ,Q,1234,1242.5,1216.55,1220.1,1220.1,1228.95,3538,75488,92531482,,bse,2017-01-12
500012,ANDHRA PETRO,XC,Q,26.35,26.6,25.75,25.85,25.75,26.4,191,104737,2721400,,bse,2017-01-12
500013,ANSAL INFRAS,B ,Q,15.25,15.48,15.16,15.26,15.25,15.2,139,14808,225822,,bse,2017-01-12
500014,APPLE FINANC,XD,Q,2.56,2.72,2.5,2.65,2.65,2.63,16,2475,6307,,bse,2017-01-12
500020,BOM DYEING  ,B ,Q,55.2,55.4,53.45,53.95,53.95,55,1159,186662,10125287,,bse,2017-01-12
500023,ASIANHOTNR  ,B ,Q,103.05,103.15,102.15,102.15,102.15,103,6,208,21401,,bse,2017-01-12
500024,ASSAMCO     ,B ,Q,8.1,8.1,7.4,7.85,7.85,7.76,1951,1731572,13599497,,bse,2017-01-12
500027,ATUL LTD.   ,A ,Q,2124.95,2218.1,2100,2189,2180,2125.7,448,3484,7548312,,bse,2017-01-12
500028,ATV PROJECTS,XT,Q,6.06,6.53,6.03,6.28,6.28,6.34,26,12072,72990,,bse,2017-01-12
500029,AUTOLITE(I) ,B ,Q,55,56,53.5,54.2,54.2,54.3,45,3770,207709,,bse,2017-01-12
500031,BAJAJ ELECT.,A ,Q,230.25,232.5,227.25,229.05,227.55,230.25,221,5553,1276382,,bse,2017-01-12
500032,BAJAJHIND   ,B ,Q,15.47,15.65,14.98,15.06,15.06,15.45,1148,614742,9377043,,bse,2017-01-12
500033,FORCE MOTR  ,B ,Q,4388,4469.5,4383,4406.15,4406.15,4386,12289,123346,545192957,,bse,2017-01-12
500034,BAJFINANCE  ,A ,Q,895,909.45,887.5,891.85,891.85,895.65,3604,98621,88392133,,bse,2017-01-12
500038,BALRAM.CHINI,A ,Q,137,138.75,135.2,136.85,136.85,139.9,3510,207508,28449998,,bse,2017-01-12
500039,BANCO PROD. ,B ,Q,219,220.15,214.1,215.05,215.05,219.45,694,37384,8076840,,bse,2017-01-12
500040,CENTURY TEXT,A ,Q,841,842.35,816.65,818.85,818.85,841.25,3887,164945,136061377,,bse,2017-01-12
500041,BANNARI AMAN,B ,Q,2134.15,2134.15,2070,2088.55,2090,2093.9,20,83,173368,,bse,2017-01-12
500042,BASF INDIA  ,B ,Q,1175,1179.95,1150,1159.7,1158.55,1170.1,170,1296,1503361,,bse,2017-01-12
