SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,exchange,timestamp
500002,ABB LTD.    ,A ,Q,1040,1045.95,1e3,1023.75,1023.75,1006.85,970,7090,7299887,,bse,2016-01-12
500003,AEGIS LOGIS ,B ,Q,103.65,103.7,97.5,98.95,100.35,101.85,442,53265,5349114,,bse,2016-01-12
500008,AMAR RAJA BA,A ,Q,845.95,850,832.05,835.65,835.9,843.2,814,30525,25751485,,bse,2016-01-12
500009,A.SARABHAI  ,B ,Q,7.55,7.98,7.5,7.55,7.55,7.52,77,38715,298852,,bse,2016-01-12
500010,HDFC        ,A ,Q,1176,1176,1145.6,1154.1,1154.1,1162.75,3500,85325,98479787,,bse,2016-01-12
500012,ANDHRA PETRO,B ,Q,16.5,16.5,15.8,15.97,15.8,16.43,142,44455,716335,,bse,2016-01-12
500013,ANSAL INFRAS,B ,Q,22.25,24,22.25,23,23.05,23.55,300,31212,728036,,bse,2016-01-12
500014,APPLE FINANC,B ,Q,3.85,3.85,3.18,3.27,3.25,3.26,85,26795,88441,,bse,2016-01-12
500020,BOM DYEING  ,B ,Q,62.35,63.3,61.5,61.75,61.75,62.25,939,140665,8753616,,bse,2016-01-12
500023,ASIANHOTNR  ,B ,Q,131.2,134.2,130.4,131.7,130.4,130.2,12,315,41352,,bse,2016-01-12
500024,ASSAMCO     ,B ,Q,6.81,6.9,6.28,6.44,6.44,6.76,715,768286,5022075,,bse,2016-01-12
500027,ATUL LTD.   ,A ,Q,1616,1639.4,1560,1575.35,1588,1615.1,387,3121,4967971,,bse,2016-01-12
500028,ATV PROJECTS,T ,Q,10.2,10.24,9.86,9.87,9.87,10.35,53,27687,277728,,bse,2016-01-12
500029,AUTOLITE(I) ,B ,Q,62.15,68.9,62.15,66.7,66.7,63,160,12466,829492,,bse,2016-01-12
500030,AUTORID.FIN ,B ,Q,1.01,1.01,1.01,1.01,1.01,0.97,8,1600,1616,,bse,2016-01-12
500031,BAJAJ ELECT.,A ,Q,200.35,200.6,195,195.8,195.8,199.2,843,26438,5231555,,bse,2016-01-12
500032,BAJAJHIND   ,B ,Q,20.35,20.75,19.3,19.7,19.7,20.25,2732,1667681,33209884,,bse,2016-01-12
500033,FORCE MOTR  ,B ,Q,2974,3e3,2901,2915.5,2915.5,2951.5,5315,59615,176114764,,bse,2016-01-12
500034,BAJFINANCE  ,A ,Q,6361.2,6361.3,6153.8,6192.45,6215,6302.7,1214,6743,41847983,,bse,2016-01-12
500038,BALRAM.CHINI,A ,Q,84.4,84.7,79.7,82.7,82.7,83.7,5540,736860,60429536,,bse,2016-01-12
500039,BANCO PROD. ,B ,Q,145,145,139.9,140.3,140,143.2,469,18917,2695782,,bse,2016-01-12
500040,CENTURY TEXT,A ,Q,575.2,579.9,561,563.85,563.85,573.45,2824,87214,49695121,,bse,2016-01-12
500041,BANNARI AMAN,B ,Q,1173,1174,1152,1169.75,1169.75,1180.25,60,497,580283,,bse,2016-01-12
500042,BASF INDIA  ,B ,Q,910,937,872.4,883.65,883.65,910.1,1140,8569,7647797,,bse,2016-01-12
500043,BATA INDIA  ,A ,Q,488.3,490.5,478.75,486.65,486.65,486.65,1155,14206,6898579,,bse,2016-01-12
500048,BEML LTD    ,A ,Q,1231,1247,1219.05,1224.4,1225,1223.85,1587,15668,19281659,,bse,2016-01-12
500049,BHARAT ELECT,A ,Q,1342,1370,1335,1340.15,1335,1328.1,2637,29291,39619317,,bse,2016-01-12
500051,BHAG GAS    ,Z ,Q,1.05,1.05,1.05,1.05,1.05,1.1,1,10,10,,bse,2016-01-12
500052,BHANSALI ENG,B ,Q,24.75,24.9,22.9,23.15,23.15,24.55,1234,377010,8961334,,bse,2016-01-12
500055,BHUSH STEEL ,A ,Q,42.45,42.6,41.5,41.75,41.75,42.1,480,57545,2420527,,bse,2016-01-12
500057,ABCIL       ,B ,Q,226.5,226.5,221.7,224.9,225,228.7,67,1882,423163,,bse,2016-01-12
500058,BIHAR SPONGE,T ,Q,3.14,3.14,2.93,2.93,2.93,3.08,21,3415,10116,,bse,2016-01-12
500059,BINANI IND. ,B ,Q,75,75.85,73,73.2,73.2,74.2,67,4562,338600,,bse,2016-01-12
500060,BIRLA ERIC. ,T ,Q,53.55,54.75,53.1,53.3,53.25,54.05,33,5161,276427,,bse,2016-01-12
500067,BLUE STAR   ,B ,Q,372.2,373.75,368,369.85,368.2,371.4,95,893,331035,,bse,2016-01-12
500068,DISA INDIA  ,XC,Q,5e3,5e3,4970,4974,4970,5088,12,52,259168,,bse,2016-01-12
500069,BNK CAPITAL ,XD,Q,36.95,37.6,34.3,34.3,34.3,35.9,5,926,33183,,bse,2016-01-12
500074,BPL LTD.    ,B ,Q,38.35,39,37,37.2,37.2,38.35,338,40786,1548883,,bse,2016-01-12
500078,CAMPH.& ALL ,B ,Q,570,588,548,551,559,571.5,252,4513,2528658,,bse,2016-01-12
500083,CENTURY EXT ,B ,Q,3.39,3.56,3.36,3.48,3.45,3.53,71,64061,223477,,bse,2016-01-12
500084,CESC LTD.   ,A ,Q,486.35,498,485.35,492.7,492.7,490.75,1492,28660,14111506,,bse,2016-01-12
500085,CHAMBAL FERT,B ,Q,65.25,67.2,64.35,65.3,65.3,64.45,1473,158681,10485666,,bse,2016-01-12
500086,EXIDE IND.  ,A ,Q,139.65,141.45,139,139.85,139,139.1,738,41228,5782208,,bse,2016-01-12
500087,CIPLA LTD.  ,A ,Q,609.8,618,605.75,611.65,611.65,610.25,2400,67242,41126104,,bse,2016-01-12
500089,DIC INDIA   ,B ,Q,716,717,681,683,682,705.25,149,3579,2494524,,bse,2016-01-12
500092,CRISIL LTD  ,A ,Q,1930,1940,1867.7,1892.05,1878.8,1924.75,166,1074,2044753,,bse,2016-01-12
500093,CROMPT.GREAV,A ,Q,192.85,195.5,185.5,187,187,192.35,3638,267085,50539759,,bse,2016-01-12
500096,DABUR (I)   ,A ,Q,266.9,266.9,253.6,254.85,254.85,263.1,2285,84541,21697558,,bse,2016-01-12
500097,DALMIASUG   ,B ,Q,82,84.4,75.5,76.8,76.8,77.8,832,77377,6231357,,bse,2016-01-12
500101,ARVIND Ltd  ,A ,Q,344.65,347.1,333.5,338,339,342.45,3033,151478,51346310,,bse,2016-01-12
500102,BALARPUR IND,B ,Q,19.45,19.45,18.65,18.75,18.75,19.15,552,343102,6527829,,bse,2016-01-12
500103,BHEL        ,A ,Q,150,153.4,149.35,150.5,150.5,149.75,4339,416805,63017538,,bse,2016-01-12
500104,HIND.PETRO  ,A ,Q,876,885.8,865.7,867.85,867.85,875.75,2464,64822,56646089,,bse,2016-01-12
500106,IFCI LTD    ,A ,Q,27.3,27.5,26.5,26.65,26.65,27.15,1203,829021,22280520,,bse,2016-01-12
500108,MAHA.TELE   ,B ,Q,22.55,22.65,21.6,21.8,21.8,22.35,1678,524935,11582609,,bse,2016-01-12
500109,MRPL        ,A ,Q,68,69.35,67.4,68.25,68.25,67.9,1025,116543,7947451,,bse,2016-01-12
500110,CHENNAI PET.,B ,Q,203.75,207.4,202.1,204.85,204.85,202.75,4374,301480,61813723,,bse,2016-01-12
500111,REL.CAP.    ,A ,Q,430.2,436,418,423.4,423.4,429.05,13635,737536,314494076,,bse,2016-01-12
500112,STATE BANK  ,A ,Q,205,205.5,199.1,199.85,199.85,204.3,24073,2294892,462319616,,bse,2016-01-12
500113,STEEL AUTH. ,A ,Q,47.4,47.4,45.5,45.9,45.9,46.45,1446,383034,17737588,,bse,2016-01-12
500114,TITAN       ,A ,Q,345,348.1,343.1,346.65,346.65,345.25,1273,24886,8623208,,bse,2016-01-12
500116,IDBI BANK L ,A ,Q,76.9,77.4,73.3,73.7,73.7,76.6,4164,764383,57335589,,bse,2016-01-12
