SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,exchange,timestamp
500002,ABB LTD.    ,A ,Q,1078,1125,1062.6,1078.6,1078.6,1059.95,5117,37227,40911191,,bse,2016-02-11
500003,AEGIS LOGIS ,B ,Q,90,90.9,83.4,84.8,84.3,91.2,696,48179,4162453,,bse,2016-02-11
500008,AMAR RAJA BA,A ,Q,878,880,855.15,861,861,868.45,1331,12859,11147884,,bse,2016-02-11
500009,A.SARABHAI  ,XD,Q,5.5,5.55,4.93,4.99,4.99,5.55,79,16027,83178,,bse,2016-02-11
500010,HDFC        ,A ,Q,1116.8,1116.8,1060.15,1067.95,1067.95,1116.8,4854,94375,102891716,,bse,2016-02-11
500012,ANDHRA PETRO,XC,Q,13.5,13.5,12,12.41,12.45,13.37,107,40672,515826,,bse,2016-02-11
500013,ANSAL INFRAS,B ,Q,17.1,17.1,15.55,15.8,15.8,17,178,18881,302422,,bse,2016-02-11
500014,APPLE FINANC,XD,Q,2.28,2.5,2.28,2.28,2.28,2.31,22,8902,20541,,bse,2016-02-11
500020,BOM DYEING  ,B ,Q,46,46.05,41.65,42.25,42.25,46.55,2102,325494,14177788,,bse,2016-02-11
500023,ASIANHOTNR  ,B ,Q,115,120,96.8,109.5,109.9,108.5,36,991,110415,,bse,2016-02-11
500024,ASSAMCO     ,B ,Q,4.97,5.02,4.48,4.48,4.48,4.97,371,344354,1603972,,bse,2016-02-11
500027,ATUL LTD.   ,A ,Q,1453.05,1460,1390,1408.35,1405.05,1473.65,428,2582,3705734,,bse,2016-02-11
500028,ATV PROJECTS,XT,Q,9.2,9.21,8.51,9.1,9.14,8.78,52,40180,366232,,bse,2016-02-11
500029,AUTOLITE(I) ,B ,Q,46,48.8,44.1,44.7,46.9,46.45,191,17485,804316,,bse,2016-02-11
500030,AUTORID.FIN ,T ,Q,1.17,1.17,1.07,1.07,1.07,1.12,3,505,548,,bse,2016-02-11
500031,BAJAJ ELECT.,A ,Q,179,179,166.6,170.1,170.1,178.45,1098,33684,5831715,,bse,2016-02-11
500032,BAJAJHIND   ,B ,Q,16,16.3,14.25,14.45,14.45,16.05,1210,553978,8462118,,bse,2016-02-11
500033,FORCE MOTR  ,B ,Q,2550,2579,2340,2362.5,2362.5,2567.5,8663,100783,247004918,,bse,2016-02-11
500034,BAJFINANCE  ,A ,Q,6499.95,6527.35,6057.1,6159.55,6273,6475.85,1174,6686,41690909,,bse,2016-02-11
500038,BALRAM.CHINI,A ,Q,80.15,82.3,75.05,75.4,75.4,80.75,2709,311745,24584653,,bse,2016-02-11
500039,BANCO PROD. ,B ,Q,106,107.5,102,103.5,103.5,106.4,606,27104,2835101,XD,bse,2016-02-11
500040,CENTURY TEXT,A ,Q,462,467,424.65,435.75,435.75,465.1,3698,123516,55505895,,bse,2016-02-11
500041,BANNARI AMAN,B ,Q,1070,1070,1020,1024,1025,1060,31,385,398998,,bse,2016-02-11
500042,BASF INDIA  ,B ,Q,735,745,705,730.35,730.35,737.75,1631,9350,6703050,,bse,2016-02-11
500043,BATA INDIA  ,A ,Q,488.6,501,464.2,481.55,478,488.6,4558,111154,53435604,,bse,2016-02-11
500048,BEML LTD    ,A ,Q,1004.95,1010,926.9,969.05,969.05,1001.4,4088,45586,44443577,,bse,2016-02-11
500049,BHARAT ELECT,A ,Q,1180,1186,1106.35,1122.15,1122.15,1187.6,4453,42586,48656e3,,bse,2016-02-11
500052,BHANSALI ENG,B ,Q,17.85,17.85,15.85,16.05,16.3,17.6,470,130229,2189810,,bse,2016-02-11
500055,BHUSH STEEL ,A ,Q,35.8,36.3,33.5,33.95,33.8,36.35,567,53738,1888942,,bse,2016-02-11
500059,BINANI IND. ,B ,Q,56,56.75,50.1,51.75,51.75,56,209,20348,1092690,,bse,2016-02-11
500060,BIRLA ERIC. ,T ,Q,40.35,40.35,40.35,40.35,40.35,42.45,4,5170,208609,,bse,2016-02-11
500067,BLUE STAR   ,B ,Q,328,344,306.1,328.8,325,330.25,286,2801,902491,,bse,2016-02-11
500068,DISA INDIA  ,XC,Q,4300,4310,4151,4254,4205,4478,25,160,680262,,bse,2016-02-11
500069,BNK CAPITAL ,XD,Q,28,28,28,28,28,29.4,9,701,19628,,bse,2016-02-11
500074,BPL LTD.    ,B ,Q,28.85,29.1,26,26.6,26.4,29.3,442,44340,1213464,,bse,2016-02-11
500078,CAMPH.& ALL ,XC,Q,459.5,459.5,424.8,428.7,428.7,450.5,111,3420,1488988,,bse,2016-02-11
500083,CENTURY EXT ,B ,Q,2.18,2.18,1.99,2.1,2.1,2.09,33,28822,58861,,bse,2016-02-11
500084,CESC LTD.   ,A ,Q,438,444.45,412.1,416.8,416.25,437.75,1417,24718,10522432,,bse,2016-02-11
