SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,exchange,timestamp
500002,ABB LTD.    ,A ,Q,1052,1081.25,1052,1066.95,1070,1065.55,1008,5020,5359655,NA,bse,2016-11-11
500003,AEGIS LOGIS ,B ,Q,149.6,154,147.15,149.15,149.15,150.8,937,54900,8237323,NA,bse,2016-11-11
500008,AMAR RAJA BA,A ,Q,995,1008.95,957,961.6,961.6,1011.1,2300,22386,21921104,NA,bse,2016-11-11
500009,A.SARABHAI  ,XD,Q,8.95,8.95,8.15,8.2,8.3,8.71,36,15126,124276,NA,bse,2016-11-11
500010,HDFC        ,A ,Q,1320,1320,1261.85,1271.5,1271.5,1332.05,6429,507726,653532333,NA,bse,2016-11-11
500012,ANDHRA PETRO,XC,Q,20.2,20.99,19.55,20.6,20.6,20.6,289,69699,1419814,NA,bse,2016-11-11
500013,ANSAL INFRAS,B ,Q,17.1,17.85,17.05,17.4,17.8,17.75,76,13334,230665,NA,bse,2016-11-11
500014,APPLE FINANC,XD,Q,3.68,3.82,3.4,3.42,3.55,3.55,34,23781,87115,NA,bse,2016-11-11
500020,BOM DYEING  ,B ,Q,49.7,49.7,46.4,46.7,46.7,49.8,2309,502552,23734100,NA,bse,2016-11-11
500023,ASIANHOTNR  ,B ,Q,107,115,107,107.15,107.15,105.2,33,468,50831,NA,bse,2016-11-11
500024,ASSAMCO     ,B ,Q,5,5.13,4.92,4.99,4.98,5.26,170,162125,806970,NA,bse,2016-11-11
500027,ATUL LTD.   ,A ,Q,2245,2245,2155,2160.9,2160.9,2267.45,872,7046,15366719,NA,bse,2016-11-11
500028,ATV PROJECTS,XT,Q,6.91,6.91,6.27,6.5,6.5,6.59,30,13251,84107,NA,bse,2016-11-11
500029,AUTOLITE(I) ,B ,Q,58.75,60.5,58,58.85,59.9,59.95,27,3850,227989,NA,bse,2016-11-11
500030,AUTORID.FIN ,T ,Q,1.65,1.65,1.54,1.62,1.63,1.58,9,5560,8923,NA,bse,2016-11-11
500031,BAJAJ ELECT.,A ,Q,230,231.55,220.2,222.6,221.8,230.85,693,42743,9629142,NA,bse,2016-11-11
500032,BAJAJHIND   ,B ,Q,15.8,15.8,15.25,15.4,15.4,16,295,208872,3231271,NA,bse,2016-11-11
500033,FORCE MOTR  ,B ,Q,4418,4424,4250,4274.95,4274.95,4454.1,9369,92709,401323859,NA,bse,2016-11-11
500034,BAJFINANCE  ,A ,Q,925,925,850.5,857.85,857.85,929.6,9965,234642,204777929,NA,bse,2016-11-11
500038,BALRAM.CHINI,A ,Q,115.5,118.2,113.7,115.9,115.5,116.8,1560,200306,23151442,NA,bse,2016-11-11
500039,BANCO PROD. ,B ,Q,203,205,191.1,195.4,195.4,205.75,696,36072,7087455,NA,bse,2016-11-11
500040,CENTURY TEXT,A ,Q,888.9,888.9,804.75,811.45,811.45,897.25,9182,281689,235196563,NA,bse,2016-11-11
500041,BANNARI AMAN,B ,Q,2008.1,2008.1,1900.05,1908.1,1908.1,1979.9,16,274,523138,NA,bse,2016-11-11
500042,BASF INDIA  ,B ,Q,1185,1185,1126.2,1134.3,1134.3,1198.8,602,5582,6467126,NA,bse,2016-11-11
500043,BATA INDIA  ,A ,Q,465,465,428.45,432.35,432.35,461.65,3844,308794,136467646,NA,bse,2016-11-11
500048,BEML LTD    ,A ,Q,902,907.8,868,883.45,883.45,907.9,1843,29181,25799780,NA,bse,2016-11-11
500049,BHARAT ELECT,A ,Q,1350,1359.5,1299.5,1304.75,1304.75,1364.95,1552,26298,34789109,NA,bse,2016-11-11
500052,BHANSALI ENG,B ,Q,26,26.05,23.5,23.8,23.8,25.35,1531,538458,13180644,NA,bse,2016-11-11
500055,BHUSH STEEL ,B ,Q,43.2,43.2,42.3,42.75,42.75,43.45,125,19643,839193,NA,bse,2016-11-11
500058,BIHAR SPONGE,XT,Q,2.8,2.9,2.67,2.9,2.9,2.8,5,500,1397,NA,bse,2016-11-11
500059,BINANI IND. ,B ,Q,90.1,90.7,85.3,86.15,86.15,92.35,164,10837,947572,NA,bse,2016-11-11
500060,BIRLACABLE  ,T ,Q,40.05,41.5,39.9,40.2,41.2,42,17,3110,125269,NA,bse,2016-11-11
500067,BLUE STAR   ,B ,Q,528,532.95,494.95,509.35,511.8,528.15,798,9575,4871474,NA,bse,2016-11-11
500068,DISA INDIA  ,XC,Q,4519,4519,4511,4513,4511,4532.15,3,14,63206,NA,bse,2016-11-11
500069,BNK CAPITAL ,XD,Q,40,40.9,40,40.5,40.5,39.9,3,252,10081,NA,bse,2016-11-11
500074,BPL LTD.    ,B ,Q,74,74,67.7,68.45,68.45,72.9,907,105963,7328969,NA,bse,2016-11-11
500078,CAMPH.& ALL ,XC,Q,690.05,709,675,684.95,690,692.4,53,674,466115,NA,bse,2016-11-11
500083,CENTURY EXT ,T ,Q,9.95,9.95,9.01,9.01,9.01,9.48,223,164420,1526556,NA,bse,2016-11-11
500084,CESC LTD.   ,A ,Q,609,622.5,588.1,595.7,595.7,594.4,3085,68949,41870819,NA,bse,2016-11-11
500085,CHAMBAL FERT,B ,Q,60.1,61.5,59.65,60,60,61.25,1001,63149,3803779,NA,bse,2016-11-11
500086,EXIDE IND.  ,A ,Q,193.8,193.8,179.9,181.35,181.35,193.2,2728,335977,62250841,NA,bse,2016-11-11
500087,CIPLA LTD.  ,A ,Q,562.05,564.25,546,549.7,547,564.25,3913,94023,52079646,NA,bse,2016-11-11
500089,DIC INDIA   ,B ,Q,510,514.85,496,500.3,496.1,515.9,50,523,265101,NA,bse,2016-11-11
500092,CRISIL LTD  ,A ,Q,2205.6,2207,2130,2163.3,2191,2221.25,224,729,1576267,NA,bse,2016-11-11
500093,CROMPT.GREAV,A ,Q,81,81.4,77.95,78.65,78.65,82,2053,432705,34422974,NA,bse,2016-11-11
500096,DABUR (I)   ,A ,Q,298.95,298.95,278.1,281.15,281.15,296.6,2654,88332,25219573,NA,bse,2016-11-11
500097,DALMIASUG   ,B ,Q,112,112,107,107.7,107,113.25,192,12705,1389803,NA,bse,2016-11-11
500101,ARVIND Ltd  ,A ,Q,385.85,385.85,370.3,371.9,371.9,388.65,3597,228969,86102645,NA,bse,2016-11-11
500102,BALARPUR IND,B ,Q,16.25,16.35,15.23,15.49,15.5,16.39,679,303277,4778741,NA,bse,2016-11-11
500103,BHEL        ,A ,Q,140.65,142.8,134.3,136.45,136.45,140.65,6152,745805,103855227,NA,bse,2016-11-11
500104,HIND.PETRO  ,A ,Q,453.8,455.5,440,448.5,448.5,462.55,5698,246807,109917970,NA,bse,2016-11-11
500106,IFCI LTD    ,A ,Q,24.1,24.25,23.35,23.45,23.45,24.45,2253,831406,19781040,NA,bse,2016-11-11
500108,MAHA.TELE   ,B ,Q,18.3,18.3,17.65,17.75,17.75,18.55,730,189712,3409683,NA,bse,2016-11-11
500109,MRPL        ,A ,Q,88.45,88.45,86.15,86.7,86.7,87.95,1138,76069,6639695,NA,bse,2016-11-11
500110,CHENNAI PET.,B ,Q,265,272,261,262.4,262.4,274,2204,83206,22113279,NA,bse,2016-11-11
500111,REL.CAP.    ,A ,Q,488,493.35,465,468.35,468.35,498.5,8906,558412,265787979,NA,bse,2016-11-11
500112,STATE BANK  ,A ,Q,278.95,288.5,270.7,272.9,272.9,281.6,47654,5886310,1637056958,NA,bse,2016-11-11
500113,STEEL AUTH. ,A ,Q,51.55,52.6,50.75,51.35,51.35,52.75,3230,1282233,66484452,NA,bse,2016-11-11
500114,TITAN       ,A ,Q,347,347,324.1,334.4,334.4,349,5324,236422,78468440,NA,bse,2016-11-11
500116,IDBI BANK L ,A ,Q,72,75.45,70.8,71.55,71.55,72.45,4970,916305,67143132,NA,bse,2016-11-11
500117,DCW LTD.    ,B ,Q,30.3,31.7,30.2,30.7,30.7,31.9,794,241764,7418924,NA,bse,2016-11-11
500119,DHAMPUR SUGA,B ,Q,114.55,114.75,111.3,111.8,111.8,116.5,563,48893,5488357,NA,bse,2016-11-11
500120,DIAMINES&CHM,XD,Q,56.8,58,53.4,55.9,55,58,91,26767,1488907,NA,bse,2016-11-11
500123,ELANTAS     ,B ,Q,1788.55,1799.95,1750.3,1786.65,1786.65,1805.1,362,811,1442231,NA,bse,2016-11-11
500124,DR.REDDY'S  ,A ,Q,3260,3295,3232.15,3260.65,3260.65,3274.05,1545,14317,46733875,NA,bse,2016-11-11
500125,E.I.D.PAR   ,A ,Q,265,267,254.55,255.7,255.7,268.85,1093,55144,14364949,NA,bse,2016-11-11
500126,MERCK LTD   ,B ,Q,796.5,813.3,791.5,799.3,799.3,804.3,303,6878,5508584,NA,bse,2016-11-11
500128,ELEC.CASTING,B ,Q,25.25,25.25,24.4,24.55,24.6,25.45,300,61280,1515016,NA,bse,2016-11-11
500132,EMPEE SUGARS,XD,Q,8.1,8.1,7.5,7.58,7.72,7.71,29,12279,96106,NA,bse,2016-11-11
500133,ESAB INDIA  ,B ,Q,590,608,580,580.4,580,591.2,8,36,21349,NA,bse,2016-11-11
500135,ESSEL PROP  ,B ,Q,246.05,250,230,234.7,230,247.4,360,5261,1255097,NA,bse,2016-11-11
500136,ESTER INDUS.,B ,Q,46.8,46.8,44.8,45,45,47,484,16367,742896,NA,bse,2016-11-11
500139,FEDDER.LLYOD,B ,Q,77.5,77.9,74.1,74.75,74.1,78.45,294,18186,1379381,NA,bse,2016-11-11
500141,FERRO ALLOYS,XD,Q,7.52,7.52,7.52,7.52,7.52,7.67,21,28857,217004,NA,bse,2016-11-11
500142,FGP LTD.    ,XD,Q,2.65,2.65,2.65,2.65,2.65,2.53,1,50,132,NA,bse,2016-11-11
500143,P.H.CAPITAL ,XD,Q,32.8,32.8,32.8,32.8,32.8,32.8,3,1700,55760,NA,bse,2016-11-11
500144,FINOL. CABLE,A ,Q,443.5,443.5,415,424.65,425.8,424.9,707,17392,7499226,NA,bse,2016-11-11
500147,CMI FPE     ,XC,Q,393,420,393,401.05,401.05,419.15,21,1270,521445,NA,bse,2016-11-11
500148,UFLEX LTD   ,B ,Q,287.5,287.5,272,274.15,274.15,289.75,1194,51119,14187781,NA,bse,2016-11-11
500150,FOSECO INDIA,B ,Q,1392.15,1392.15,1350.1,1356.35,1351,1397.65,23,118,160953,NA,bse,2016-11-11
500151,GOLDEN TOB  ,B ,Q,68.1,70,65,68.4,68.4,69.2,127,12516,836494,NA,bse,2016-11-11
500153,GANESH BENZO,XC,Q,41.9,41.9,39.9,40.4,40,42.3,270,107443,4350925,NA,bse,2016-11-11
500155,GARDEN SILK ,B ,Q,29.9,30.05,28.5,28.95,28.7,30.35,88,14529,427060,NA,bse,2016-11-11
500159,METROGLOBL  ,XC,Q,83.05,84,80,80.05,80,86.2,46,5717,467850,NA,bse,2016-11-11
500160,GTL LTD.    ,B ,Q,15.4,15.7,14.85,14.95,14.95,15.85,871,122170,1844048,NA,bse,2016-11-11
500162,PARRYSUGR   ,B ,Q,37.45,38.95,37,38.95,38.95,38.9,9,834,31850,NA,bse,2016-11-11
500163,GODFREY PH  ,B ,Q,1275,1278,1186.35,1220.2,1228,1291.95,2127,19168,23591528,NA,bse,2016-11-11
500164,GODREJ IND  ,A ,Q,404,404,384.05,387.2,386,405.95,1267,27592,10776378,NA,bse,2016-11-11
500165,KANSAI NERO ,A ,Q,356,358.95,332,341.05,342.75,359.3,1818,47523,16449469,NA,bse,2016-11-11
500166,GOODRICKE   ,XC,Q,208.1,218.95,196,198.85,198.3,207.2,538,60950,12601660,NA,bse,2016-11-11
500168,GOODYEAR (I),B ,Q,792,792,745,763.9,763.9,790,1109,29506,22453640,NA,bse,2016-11-11
500170,GTN INDUS   ,B ,Q,13.9,14,13.51,13.51,13.51,13.99,4,2500,34735,NA,bse,2016-11-11
500171,GHCL LTD    ,B ,Q,231,239.5,224,231.35,234.05,240.35,1551,54511,12632766,NA,bse,2016-11-11
500173,GUJ.FLOURO  ,B ,Q,525,525,495,509.2,523,532.45,428,25444,13032377,NA,bse,2016-11-11
500179,HCL INFOSYS ,B ,Q,46.65,47,43.7,44.1,44.1,47.3,1912,828020,37904011,NA,bse,2016-11-11
500180,HDFC BANK   ,A ,Q,1277.3,1281,1268.95,1275.7,1275.7,1276.2,3368,273991,349652075,NA,bse,2016-11-11
500182,HEROMOTOCO  ,A ,Q,3144.55,3144.55,2970,2981.75,2981.75,3144.55,5392,46674,140969210,NA,bse,2016-11-11
500183,HIMACHAL FUT,B ,Q,13.73,13.75,13.07,13.2,13.2,13.8,1078,543422,7259043,NA,bse,2016-11-11
500184,HSCL        ,B ,Q,42,45.85,42,44.55,44.55,43.5,2626,500284,22392587,NA,bse,2016-11-11
500185,HIND.CONSTN.,A ,Q,35,35.2,33.8,33.95,33.95,35.65,2415,728627,25078007,NA,bse,2016-11-11
500186,HIND.OIL EXP,B ,Q,60,60.85,57.15,57.35,57.35,60.85,739,108569,6374514,NA,bse,2016-11-11
500187,HSIL        ,B ,Q,335.55,337.35,316.2,319.4,319.4,343.9,1154,22235,7154311,NA,bse,2016-11-11
500188,HINDUS.ZI   ,A ,Q,255,260,248.45,250.2,250.2,258.7,1782,109793,27812480,NA,bse,2016-11-11
500189,HINDUJA VENT,B ,Q,533,533,510,514.45,514.45,548,129,1834,951240,NA,bse,2016-11-11
500191,HMT LTD.    ,T ,Q,37.55,38.4,36.55,37.1,37,38,46,4812,179514,NA,bse,2016-11-11
500192,PRAG BOSIMI ,XT,Q,5.15,5.49,5.15,5.15,5.15,5.36,7,942,4903,NA,bse,2016-11-11
