SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,exchange,timestamp
500002,ABB LTD.    ,A ,Q,1166.9,1169.95,1102.5,1132.15,1132.15,1176,5254,57060,65325400,,bse,2017-01-11
500003,AEGIS LOGIS ,B ,Q,137,140,137,139.15,139.15,136.15,890,60580,8396007,,bse,2017-01-11
500008,AMAR RAJA BA,A ,Q,908,912,901,906.95,904.65,904.3,716,12831,11634308,,bse,2017-01-11
500009,A.SARABHAI  ,XD,Q,9.67,9.67,9.01,9.07,9.05,9.58,142,55185,508118,,bse,2017-01-11
500010,HDFC        ,A ,Q,1220,1232.45,1219.15,1228.95,1230,1216.45,2866,57705,70796112,,bse,2017-01-11
500012,ANDHRA PETRO,XC,Q,26.75,26.75,25.1,26.4,26.5,26.35,455,159176,4156118,,bse,2017-01-11
500013,ANSAL INFRAS,B ,Q,15.4,15.74,15.1,15.2,15.3,15.5,222,48730,747306,,bse,2017-01-11
500014,APPLE FINANC,XD,Q,2.5,2.84,2.5,2.63,2.63,2.78,33,16510,42773,,bse,2017-01-11
500020,BOM DYEING  ,B ,Q,54.85,55.9,54.2,55,55,54.7,1801,289510,15943801,,bse,2017-01-11
500024,ASSAMCO     ,B ,Q,7.07,7.95,7.07,7.76,7.76,6.95,2645,2214496,16667626,,bse,2017-01-11
500027,ATUL LTD.   ,A ,Q,2092.85,2140,2089.8,2125.7,2125.7,2085,262,2749,5787721,,bse,2017-01-11
500028,ATV PROJECTS,XT,Q,6,6.45,6,6.34,6.34,6.23,39,7227,44403,,bse,2017-01-11
500029,AUTOLITE(I) ,B ,Q,53.95,55.35,53.2,54.3,54.3,52.55,80,7561,410971,,bse,2017-01-11
500030,AUTORID.FIN ,B ,Q,1.12,1.12,1.12,1.12,1.12,1.17,4,2150,2408,,bse,2017-01-11
500031,BAJAJ ELECT.,A ,Q,235,235,229.1,230.25,230.25,233.65,266,8156,1900427,,bse,2017-01-11
500032,BAJAJHIND   ,B ,Q,15.99,16.05,15.33,15.45,15.45,15.84,1861,1095847,17148742,,bse,2017-01-11
500033,FORCE MOTR  ,B ,Q,4434.9,4475.9,4362,4386,4386,4425.65,14127,180828,799005665,,bse,2017-01-11
500034,BAJFINANCE  ,A ,Q,905,908.25,891.85,895.65,895.65,899.9,4756,132396,118984149,,bse,2017-01-11
500038,BALRAM.CHINI,A ,Q,141.1,142.85,138.9,139.9,139.9,139.5,4856,564175,79567751,,bse,2017-01-11
500039,BANCO PROD. ,B ,Q,219.4,222.2,218.05,219.45,219.45,217.55,1519,93961,20682816,,bse,2017-01-11
500040,CENTURY TEXT,A ,Q,838.2,848.35,830.1,841.25,841.25,834.75,5639,601361,501664184,,bse,2017-01-11
500041,BANNARI AMAN,B ,Q,2031.95,2120.85,2030,2093.9,2081,2030.85,102,1299,2712584,,bse,2017-01-11
500042,BASF INDIA  ,B ,Q,1150.75,1193,1140,1170.1,1170.1,1146.35,566,3734,4374979,,bse,2017-01-11
500043,BATA INDIA  ,A ,Q,467,478.9,466.3,476.25,476.25,464.85,1368,27519,12976475,,bse,2017-01-11
500048,BEML LTD    ,A ,Q,1171.7,1230,1165,1218.8,1218.8,1170.5,18209,331707,402690831,,bse,2017-01-11
500049,BHARAT ELECT,A ,Q,1546,1549.5,1520,1526.2,1526.2,1512.7,6370,83213,127648108,,bse,2017-01-11
500052,BHANSALI ENG,B ,Q,24.35,25.15,23.8,24.85,24.85,23.85,2617,1047449,25754379,,bse,2017-01-11
500055,BHUSH STEEL ,B ,Q,43,47.2,43,44.2,44.2,42.7,3149,318135,14346337,,bse,2017-01-11
500058,BIHAR SPONGE,XT,Q,2.45,2.6,2.45,2.53,2.6,2.55,14,6255,15787,,bse,2017-01-11
500059,BINANI IND. ,B ,Q,75.2,78.4,74.1,76.2,76.2,74.4,589,34396,2639927,,bse,2017-01-11
500060,BIRLACABLE  ,B ,Q,39,40.7,38.8,40.25,40.25,39.2,65,14748,580333,,bse,2017-01-11
500067,BLUE STAR   ,B ,Q,492,499.9,492,495.75,496,492.9,56,640,317437,,bse,2017-01-11
500068,DISA INDIA  ,XC,Q,4289.9,4289.9,4289.9,4289.9,4289.9,4289.9,1,1,4289,,bse,2017-01-11
